,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1965-66,22.0,NYK,NBA,SF,70.0,877.0,10.7,0.442,0.199,,,,10.3,,,,-0.2,0.2,0.1,0.003,,,,,
1,1966-67,23.0,CHI,NBA,SF,60.0,986.0,10.4,0.455,0.203,,,,5.4,,,,0.0,1.0,0.9,0.045,,,,,
2,1967-68,24.0,CHI,NBA,SF,78.0,1631.0,13.3,0.487,0.254,,,,8.6,,,,1.2,1.6,2.8,0.081,,,,,
3,1968-69,25.0,CHI,NBA,SF,75.0,1444.0,10.9,0.404,0.199,,,,12.6,,,,-1.9,2.0,0.1,0.004,,,,,
4,1969-70,26.0,SEA,NBA,SF,78.0,1487.0,12.1,0.496,0.235,,,,10.3,,,,0.9,0.8,1.7,0.054,,,,,
5,1970-71,27.0,SEA,NBA,SF,78.0,1286.0,12.2,0.501,0.217,,,8.7,9.7,,,,1.2,0.6,1.8,0.068,,,,,
6,1971-72,28.0,SEA,NBA,SF,82.0,1447.0,12.4,0.554,0.186,,,9.5,6.3,,,,2.6,0.8,3.5,0.115,,,,,
7,1972-73,29.0,CLE,NBA,SF,72.0,1119.0,14.9,0.541,0.168,,,9.1,15.2,,,,2.2,1.3,3.5,0.15,,,,,
8,1973-74,30.0,CLE,NBA,SF,71.0,913.0,13.4,0.513,0.211,4.5,14.8,9.3,12.8,1.8,0.1,,0.9,0.7,1.6,0.086,,-1.7,0.2,-1.5,0.1
9,1974-75,31.0,POR,NBA,SF,77.0,952.0,13.2,0.499,0.169,3.8,13.5,8.9,11.7,3.3,0.1,,0.3,1.3,1.6,0.079,,-2.3,1.3,-0.9,0.3
10,1975-76,32.0,POR,NBA,SF,49.0,443.0,13.8,0.54,0.245,6.4,9.7,8.1,10.5,2.7,0.8,,0.6,0.5,1.1,0.116,,-0.6,1.2,0.6,0.3
11,Career,,,NBA,,790.0,12585.0,12.4,0.488,0.209,4.6,13.3,9.0,10.2,2.6,0.3,,7.7,10.9,18.6,0.071,,-1.7,0.8,-0.9,0.7
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3 seasons,,SEA,NBA,,238.0,4220.0,12.2,0.515,0.214,,,9.1,8.8,,,,4.7,2.3,7.0,0.079,,,,,
14,3 seasons,,CHI,NBA,,213.0,4061.0,11.7,0.449,0.221,,,,9.3,,,,-0.8,4.6,3.8,0.045,,,,,
15,2 seasons,,CLE,NBA,,143.0,2032.0,14.2,0.528,0.188,4.5,14.8,9.2,14.1,1.8,0.1,,3.1,2.1,5.1,0.121,,-1.7,0.2,-1.5,0.1
16,2 seasons,,POR,NBA,,126.0,1395.0,13.3,0.511,0.191,4.6,12.3,8.6,11.3,3.1,0.3,,0.9,1.8,2.6,0.09,,-1.8,1.3,-0.5,0.5
17,1 season,,NYK,NBA,,70.0,877.0,10.7,0.442,0.199,,,,10.3,,,,-0.2,0.2,0.1,0.003,,,,,
