,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1973-74,22.0,CAP,NBA,SG,49.0,556.0,13.7,0.484,0.34,4.4,7.6,6.0,13.1,2.5,0.2,,,,0.3,0.8,1.1,0.091,,-1.8,1.3,-0.5,0.2
1,1974-75,23.0,NOJ,NBA,PG,72.0,1898.0,12.8,0.511,0.368,3.8,6.6,5.2,13.9,1.5,0.2,,,,1.5,0.8,2.3,0.059,,-1.4,-0.9,-2.2,-0.1
2,1975-76,24.0,NOJ,NBA,SG,66.0,2030.0,12.3,0.481,0.305,3.9,6.0,4.9,12.2,1.8,0.2,,,,1.3,1.6,2.9,0.069,,-1.0,-0.3,-1.4,0.3
3,1976-77,25.0,SAS,NBA,SG,4.0,57.0,8.4,0.527,0.5,3.7,8.9,6.3,6.4,1.5,0.0,,,,0.0,0.0,0.0,0.032,,-3.6,-0.3,-3.9,0.0
4,1977-78,26.0,TOT,NBA,SG,33.0,406.0,12.5,0.458,0.398,3.0,9.8,6.2,12.3,2.3,0.9,16.2,27.0,,-0.4,0.4,0.0,-0.001,,-1.9,-0.3,-2.2,-0.1
5,1977-78,26.0,KCK,NBA,SG,8.0,53.0,2.4,0.398,0.786,1.9,3.9,2.9,11.1,1.7,1.0,29.8,19.3,,-0.2,0.0,-0.1,-0.117,,-4.6,-0.5,-5.1,-0.1
6,1977-78,26.0,NJN,NBA,SG,25.0,353.0,14.0,0.463,0.371,3.1,10.7,6.7,12.5,2.5,0.9,14.9,28.1,,-0.3,0.4,0.1,0.016,,-1.5,-0.3,-1.8,0.0
7,Career,,,NBA,,224.0,4947.0,12.6,0.49,0.344,3.9,6.8,5.3,12.9,1.8,0.2,16.2,27.0,,2.7,3.6,6.4,0.062,,-1.3,-0.4,-1.7,0.3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,NOJ,NBA,,138.0,3928.0,12.6,0.495,0.335,3.9,6.3,5.1,13.0,1.7,0.2,,,,2.8,2.5,5.3,0.064,,-1.2,-0.6,-1.8,0.2
10,1 season,,CAP,NBA,,49.0,556.0,13.7,0.484,0.34,4.4,7.6,6.0,13.1,2.5,0.2,,,,0.3,0.8,1.1,0.091,,-1.8,1.3,-0.5,0.2
11,1 season,,NJN,NBA,,25.0,353.0,14.0,0.463,0.371,3.1,10.7,6.7,12.5,2.5,0.9,14.9,28.1,,-0.3,0.4,0.1,0.016,,-1.5,-0.3,-1.8,0.0
12,1 season,,KCK,NBA,,8.0,53.0,2.4,0.398,0.786,1.9,3.9,2.9,11.1,1.7,1.0,29.8,19.3,,-0.2,0.0,-0.1,-0.117,,-4.6,-0.5,-5.1,-0.1
13,1 season,,SAS,NBA,,4.0,57.0,8.4,0.527,0.5,3.7,8.9,6.3,6.4,1.5,0.0,,,,0.0,0.0,0.0,0.032,,-3.6,-0.3,-3.9,0.0
