,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1971-72,23.0,HOU,NBA,SF,64.0,757.0,6.9,0.4,0.249,,,8.4,8.5,,,,-1.1,1.0,-0.1,-0.006,,,,,
1,1972-73,24.0,TOT,NBA,SF,67.0,735.0,6.5,0.414,0.284,,,6.7,10.4,,,,-0.6,0.1,-0.6,-0.036,,,,,
2,1972-73,24.0,HOU,NBA,SF,1.0,2.0,-8.1,0.0,0.0,,,0.0,52.2,,,,0.0,0.0,0.0,-0.526,,,,,
3,1972-73,24.0,KCO,NBA,SF,66.0,733.0,6.6,0.416,0.285,,,6.7,10.3,,,,-0.6,0.0,-0.5,-0.035,,,,,
4,1973-74,25.0,SEA,NBA,SF,71.0,1528.0,12.4,0.486,0.287,5.5,8.8,7.1,7.3,1.1,0.6,,1.3,0.8,2.1,0.065,,-1.4,-1.4,-2.8,-0.3
5,1974-75,26.0,WSB,NBA,SF,59.0,424.0,11.0,0.449,0.337,6.1,8.3,7.2,6.2,1.3,0.4,,-0.1,0.6,0.4,0.05,,-3.3,-1.0,-4.3,-0.2
6,1975-76,27.0,BUF,NBA,SF,72.0,866.0,9.8,0.49,0.309,5.2,7.5,6.4,7.7,0.8,0.8,,0.2,0.5,0.7,0.039,,-2.9,-1.4,-4.3,-0.5
7,Career,,,NBA,,333.0,4310.0,9.8,0.459,0.29,5.5,8.3,7.1,8.0,1.0,0.6,,-0.3,2.9,2.6,0.029,,-2.1,-1.3,-3.5,-1.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1 season,,BUF,NBA,,72.0,866.0,9.8,0.49,0.309,5.2,7.5,6.4,7.7,0.8,0.8,,0.2,0.5,0.7,0.039,,-2.9,-1.4,-4.3,-0.5
10,1 season,,SEA,NBA,,71.0,1528.0,12.4,0.486,0.287,5.5,8.8,7.1,7.3,1.1,0.6,,1.3,0.8,2.1,0.065,,-1.4,-1.4,-2.8,-0.3
11,1 season,,KCO,NBA,,66.0,733.0,6.6,0.416,0.285,,,6.7,10.3,,,,-0.6,0.0,-0.5,-0.035,,,,,
12,2 seasons,,HOU,NBA,,65.0,759.0,6.8,0.398,0.248,,,8.3,8.6,,,,-1.1,1.0,-0.1,-0.007,,,,,
13,1 season,,WSB,NBA,,59.0,424.0,11.0,0.449,0.337,6.1,8.3,7.2,6.2,1.3,0.4,,-0.1,0.6,0.4,0.05,,-3.3,-1.0,-4.3,-0.2
