,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,26.0,DNR,ABA,SF,71.0,2495.0,18.5,0.497,0.01,0.221,,,11.9,4.1,9.0,19.9,,3.6,3.5,7.0,0.135,
1,1968-69,27.0,MMF,ABA,SF,75.0,2493.0,14.4,0.504,0.018,0.264,,,10.6,5.8,12.3,18.8,,2.4,2.2,4.6,0.089,
2,1969-70,28.0,TOT,ABA,SF,82.0,1759.0,12.7,0.509,0.029,0.258,,,11.5,5.2,14.4,15.9,,1.5,1.6,3.1,0.084,
3,1969-70,28.0,MMF,ABA,SF,47.0,1321.0,14.0,0.523,0.021,0.264,,,10.7,5.9,14.0,16.9,,1.6,1.0,2.6,0.094,
4,1969-70,28.0,KEN,ABA,SF,35.0,438.0,8.6,0.453,0.059,0.237,,,14.1,3.0,16.1,12.9,,-0.1,0.6,0.5,0.054,
5,Career,,,ABA,,228.0,6747.0,15.5,0.502,0.017,0.246,,,11.3,5.0,11.5,18.4,,7.4,7.3,14.7,0.105,
6,,,,,,,,,,,,,,,,,,,,,,,
7,2 seasons,,MMF,ABA,,122.0,3814.0,14.3,0.51,0.019,0.264,,,10.6,5.8,12.8,18.1,,4.0,3.2,7.2,0.091,
8,1 season,,DNR,ABA,,71.0,2495.0,18.5,0.497,0.01,0.221,,,11.9,4.1,9.0,19.9,,3.6,3.5,7.0,0.135,
9,1 season,,KEN,ABA,,35.0,438.0,8.6,0.453,0.059,0.237,,,14.1,3.0,16.1,12.9,,-0.1,0.6,0.5,0.054,
