,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1969-70,22.0,ATL,NBA,PG,72.0,941.0,15.7,0.54,0.416,,,,16.7,,,,,,1.7,0.5,2.2,0.113,,,,,
1,1971-72,24.0,CLE,NBA,PG,68.0,2434.0,15.7,0.524,0.403,,,5.5,26.3,,,,,,3.7,2.2,5.9,0.115,,,,,
2,1972-73,25.0,SEA,NBA,PG,73.0,1403.0,13.1,0.485,0.322,,,5.9,23.9,,,,,,1.0,0.5,1.5,0.051,,,,,
3,1973-74,26.0,GSW,NBA,PG,79.0,2134.0,15.5,0.559,0.379,6.2,11.0,8.6,17.7,2.2,0.2,,,,3.7,1.9,5.6,0.126,,0.2,0.7,0.9,1.6
4,1974-75,27.0,GSW,NBA,PG,82.0,2521.0,16.1,0.585,0.361,4.5,7.8,6.1,17.6,2.3,0.2,,,,5.6,2.0,7.6,0.144,,0.6,0.3,0.9,1.8
5,1975-76,28.0,TOT,NBA,PG,75.0,1704.0,14.5,0.517,0.387,6.1,12.7,9.4,17.3,2.2,0.3,,,,1.9,1.8,3.7,0.105,,-0.5,1.0,0.5,1.1
6,1975-76,28.0,CLE,NBA,PG,15.0,255.0,14.5,0.456,0.411,5.5,12.1,8.7,23.7,1.9,0.4,,,,0.1,0.3,0.4,0.073,,-1.6,0.3,-1.3,0.1
7,1975-76,28.0,NYK,NBA,PG,60.0,1449.0,14.5,0.53,0.382,6.2,12.8,9.5,16.2,2.3,0.2,,,,1.8,1.5,3.3,0.11,,-0.3,1.1,0.9,1.0
8,1976-77,29.0,NYK,NBA,PG,70.0,1082.0,13.4,0.544,0.372,4.9,10.7,7.9,16.9,2.3,0.2,,,,0.9,1.0,2.0,0.088,,-0.9,1.0,0.1,0.6
9,1977-78,30.0,NYK,NBA,PG,79.0,1979.0,14.6,0.544,0.261,4.0,9.6,6.9,21.5,2.6,0.1,18.4,16.0,,2.8,1.6,4.4,0.107,,-0.1,0.5,0.4,1.2
10,1978-79,31.0,NYK,NBA,PG,7.0,85.0,9.0,0.423,0.0,1.3,11.5,6.3,27.9,3.8,0.0,27.8,16.6,,-0.1,0.1,0.0,-0.012,,-4.0,0.6,-3.4,0.0
11,Career,,,NBA,,605.0,14283.0,15.0,0.54,0.36,5.1,10.1,7.1,20.2,2.3,0.2,18.8,16.1,,21.2,11.6,32.8,0.11,,0.0,0.6,0.6,6.2
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4 seasons,,NYK,NBA,,216.0,4595.0,14.2,0.538,0.317,4.9,10.9,7.9,18.8,2.4,0.2,18.8,16.1,,5.5,4.3,9.7,0.101,,-0.4,0.8,0.4,2.8
14,2 seasons,,GSW,NBA,,161.0,4655.0,15.8,0.573,0.369,5.2,9.2,7.3,17.6,2.3,0.2,,,,9.3,3.9,13.2,0.136,,0.4,0.5,0.9,3.4
15,2 seasons,,CLE,NBA,,83.0,2689.0,15.6,0.518,0.404,5.5,12.1,5.8,26.0,1.9,0.4,,,,3.8,2.5,6.2,0.111,,-1.6,0.3,-1.3,0.1
16,1 season,,SEA,NBA,,73.0,1403.0,13.1,0.485,0.322,,,5.9,23.9,,,,,,1.0,0.5,1.5,0.051,,,,,
17,1 season,,ATL,NBA,,72.0,941.0,15.7,0.54,0.416,,,,16.7,,,,,,1.7,0.5,2.2,0.113,,,,,
