,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1971-72,23.0,NYK,NBA,SG,78.0,1173.0,10.3,0.503,0.478,,,7.7,11.4,,,,0.8,1.3,2.2,0.089,,,,,
1,1972-73,24.0,NYK,NBA,SG,80.0,1453.0,12.4,0.542,0.353,,,7.8,11.6,,,,2.2,2.2,4.4,0.144,,,,,
2,1973-74,25.0,NYK,NBA,SG,78.0,2079.0,11.7,0.534,0.297,6.3,7.9,7.1,10.4,1.4,0.2,,2.7,2.3,5.0,0.115,,-0.2,0.5,0.3,1.2
3,1974-75,26.0,ATL,NBA,PG,80.0,2177.0,13.9,0.515,0.526,3.6,6.2,4.8,24.1,2.4,0.3,,2.5,1.4,3.9,0.086,,-0.1,0.5,0.4,1.3
4,1975-76,27.0,ATL,NBA,SG,68.0,1418.0,12.1,0.46,0.401,4.6,6.4,5.5,21.6,1.8,0.3,,0.5,0.4,1.0,0.033,,-0.9,-0.9,-1.8,0.1
5,1976-77,28.0,NYK,NBA,SG,32.0,254.0,8.0,0.466,0.639,5.1,5.7,5.4,13.2,1.4,0.2,,0.0,0.1,0.2,0.032,,-1.9,0.1,-1.8,0.0
6,Career,,,NBA,,416.0,8554.0,12.1,0.512,0.411,4.8,6.8,6.4,16.2,1.9,0.3,,8.8,7.8,16.6,0.093,,-0.4,0.1,-0.3,2.6
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,NYK,NBA,,268.0,4959.0,11.4,0.527,0.367,6.2,7.6,7.4,11.1,1.4,0.2,,5.8,5.9,11.7,0.113,,-0.3,0.5,0.1,1.3
9,2 seasons,,ATL,NBA,,148.0,3595.0,13.2,0.492,0.472,4.0,6.3,5.1,23.1,2.2,0.3,,3.0,1.9,4.9,0.065,,-0.4,-0.1,-0.5,1.4
