,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1964-65,23.0,NYK,NBA,PG,80.0,2378.0,10.5,0.43,0.249,,,,16.0,,,,-0.5,1.2,0.7,0.014,,,,,
1,1965-66,24.0,NYK,NBA,PG,80.0,2612.0,12.0,0.449,0.251,,,,21.5,,,,0.4,0.6,1.0,0.018,,,,,
2,1966-67,25.0,NYK,NBA,PG,65.0,2282.0,13.0,0.461,0.254,,,,23.2,,,,0.7,0.8,1.5,0.031,,,,,
3,1967-68,26.0,NYK,NBA,PG,78.0,1660.0,9.9,0.426,0.255,,,,18.9,,,,-1.1,1.4,0.3,0.01,,,,,
4,1968-69,27.0,TOT,NBA,PG,85.0,2562.0,11.5,0.444,0.271,,,,20.6,,,,-0.2,1.6,1.4,0.026,,,,,
5,1968-69,27.0,NYK,NBA,PG,32.0,836.0,10.4,0.414,0.278,,,,21.0,,,,-0.7,1.0,0.3,0.018,,,,,
6,1968-69,27.0,DET,NBA,PG,53.0,1726.0,12.1,0.459,0.268,,,,20.4,,,,0.5,0.6,1.1,0.03,,,,,
7,1969-70,28.0,DET,NBA,PG,82.0,2418.0,10.6,0.467,0.267,,,,17.3,,,,-0.1,0.9,0.9,0.017,,,,,
8,1970-71,29.0,DET,NBA,PG,82.0,1932.0,9.7,0.429,0.211,,,3.8,18.6,,,,-1.2,1.4,0.2,0.004,,,,,
9,1971-72,30.0,DET,NBA,PG,79.0,2071.0,9.6,0.435,0.289,,,3.9,18.7,,,,-1.1,0.3,-0.8,-0.019,,,,,
10,1972-73,31.0,BUF,NBA,PG,67.0,1468.0,9.1,0.435,0.228,,,3.8,20.7,,,,-0.5,0.3,-0.1,-0.005,,,,,
11,1973-74,32.0,KCO,NBA,PG,44.0,830.0,8.1,0.453,0.198,1.3,4.2,2.7,15.4,1.7,0.2,,-0.1,0.3,0.1,0.008,,-3.7,-0.3,-4.0,-0.4
12,Career,,,NBA,,742.0,20213.0,10.7,0.444,0.253,1.3,4.2,3.7,19.3,1.7,0.2,,-3.7,8.8,5.0,0.012,,-3.7,-0.3,-4.0,-0.4
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5 seasons,,NYK,NBA,,335.0,9768.0,11.4,0.441,0.254,,,,20.1,,,,-1.2,5.0,3.8,0.019,,,,,
15,4 seasons,,DET,NBA,,296.0,8147.0,10.5,0.448,0.259,,,3.9,18.6,,,,-1.9,3.2,1.3,0.007,,,,,
16,1 season,,BUF,NBA,,67.0,1468.0,9.1,0.435,0.228,,,3.8,20.7,,,,-0.5,0.3,-0.1,-0.005,,,,,
17,1 season,,KCO,NBA,,44.0,830.0,8.1,0.453,0.198,1.3,4.2,2.7,15.4,1.7,0.2,,-0.1,0.3,0.1,0.008,,-3.7,-0.3,-4.0,-0.4
