,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1954-55,22.0,BOS,NBA,SG,53.0,504.0,15.3,0.442,0.237,,,,,,0.3,0.3,0.6,0.053,
1,1955-56,23.0,BOS,NBA,SF,63.0,703.0,14.8,0.439,0.332,,,,,,0.3,0.5,0.8,0.057,
2,1956-57,24.0,TOT,NBA,SF,63.0,1013.0,16.2,0.429,0.306,,,,,,0.5,1.2,1.6,0.078,
3,1956-57,24.0,BOS,NBA,SF,21.0,233.0,13.5,0.397,0.271,,,,,,-0.2,0.4,0.3,0.052,
4,1956-57,24.0,SYR,NBA,SF,42.0,780.0,17.0,0.437,0.316,,,,,,0.6,0.8,1.4,0.086,
5,1957-58,25.0,SYR,NBA,SF,67.0,1001.0,15.8,0.442,0.295,,,,,,1.0,1.0,2.0,0.094,
6,1958-59,26.0,SYR,NBA,SF,71.0,1053.0,14.7,0.437,0.258,,,,,,0.5,1.1,1.7,0.076,
7,1959-60,27.0,SYR,NBA,SF,7.0,70.0,6.0,0.337,0.195,,,,,,-0.2,0.1,-0.2,-0.113,
8,Career,,,NBA,,324.0,4344.0,15.3,0.435,0.287,,,,,,2.3,4.2,6.5,0.072,
9,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,SYR,NBA,,187.0,2904.0,15.5,0.436,0.285,,,,,,1.9,3.0,4.9,0.08,
11,3 seasons,,BOS,NBA,,137.0,1440.0,14.8,0.433,0.29,,,,,,0.4,1.2,1.6,0.055,
