,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1973-74,23.0,HOU,NBA,PF,58.0,1075.0,11.3,0.536,0.296,8.1,16.8,12.5,9.1,1.6,1.0,,,,0.8,0.8,1.7,0.074,,-1.5,0.1,-1.4,0.2
1,1974-75,24.0,NOJ,NBA,PF,77.0,2176.0,10.8,0.485,0.292,8.4,17.1,12.6,6.7,1.7,0.9,,,,0.5,2.1,2.6,0.057,,-2.2,0.0,-2.2,-0.1
2,1975-76,25.0,NOJ,NBA,PF,67.0,1850.0,9.7,0.474,0.186,6.6,16.0,11.3,6.5,1.4,0.9,,,,0.4,2.1,2.5,0.065,,-2.1,0.4,-1.7,0.1
3,1976-77,26.0,NOJ,NBA,PF,77.0,2369.0,9.6,0.489,0.178,6.2,16.1,11.2,5.8,1.2,0.7,,,,0.7,2.6,3.2,0.065,,-2.4,0.2,-2.2,-0.1
4,1977-78,27.0,GSW,NBA,PF,72.0,1801.0,9.1,0.493,0.123,6.5,14.9,10.6,7.1,1.7,0.7,16.8,12.3,,0.6,2.1,2.7,0.071,,-2.7,0.6,-2.2,-0.1
5,1978-79,28.0,HOU,NBA,PF,6.0,39.0,10.9,0.739,0.143,2.8,16.5,9.8,3.2,2.4,0.0,0.0,7.5,,0.1,0.0,0.1,0.169,,-3.7,0.4,-3.2,0.0
6,Career,,,NBA,,357.0,9310.0,10.0,0.492,0.209,7.1,16.2,11.6,6.8,1.5,0.8,16.6,12.2,,3.0,9.8,12.8,0.066,,-2.3,0.2,-2.0,0.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,NOJ,NBA,,221.0,6395.0,10.1,0.483,0.219,7.1,16.4,11.7,6.3,1.4,0.8,,,,1.5,6.8,8.3,0.062,,-2.2,0.2,-2.1,-0.1
9,1 season,,GSW,NBA,,72.0,1801.0,9.1,0.493,0.123,6.5,14.9,10.6,7.1,1.7,0.7,16.8,12.3,,0.6,2.1,2.7,0.071,,-2.7,0.6,-2.2,-0.1
10,2 seasons,,HOU,NBA,,64.0,1114.0,11.2,0.541,0.292,7.9,16.8,12.4,8.9,1.6,1.0,0.0,7.5,,0.9,0.9,1.8,0.077,,-1.5,0.1,-1.4,0.2
