,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1974-75,23.0,PHO,NBA,C,79.0,1040.0,15.2,0.422,0.261,15.2,30.1,22.5,13.1,1.2,1.7,,,,-0.5,1.6,1.0,0.048,,-1.3,-0.3,-1.6,0.1
1,1975-76,24.0,DET,NBA,C,46.0,562.0,15.2,0.49,0.289,18.6,27.7,23.1,4.2,1.8,1.9,,,,0.5,0.8,1.3,0.114,,0.1,-0.8,-0.7,0.2
2,1976-77,25.0,NYN,NBA,C,1.0,7.0,11.2,0.323,3.0,13.8,15.3,14.5,18.2,0.0,8.0,,,,-0.1,0.0,0.0,-0.328,,-4.9,0.0,-4.9,0.0
3,1978-79,27.0,BOS,NBA,C,20.0,273.0,15.3,0.457,0.195,16.5,26.2,21.4,6.3,2.0,1.7,13.0,22.0,,0.0,0.4,0.4,0.069,,-1.7,-0.9,-2.6,0.0
4,Career,,,NBA,,146.0,1882.0,15.2,0.443,0.264,16.4,28.8,22.5,9.5,1.5,1.8,13.0,22.0,,0.0,2.8,2.7,0.069,,-0.9,-0.6,-1.5,0.2
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1 season,,PHO,NBA,,79.0,1040.0,15.2,0.422,0.261,15.2,30.1,22.5,13.1,1.2,1.7,,,,-0.5,1.6,1.0,0.048,,-1.3,-0.3,-1.6,0.1
7,1 season,,DET,NBA,,46.0,562.0,15.2,0.49,0.289,18.6,27.7,23.1,4.2,1.8,1.9,,,,0.5,0.8,1.3,0.114,,0.1,-0.8,-0.7,0.2
8,1 season,,BOS,NBA,,20.0,273.0,15.3,0.457,0.195,16.5,26.2,21.4,6.3,2.0,1.7,13.0,22.0,,0.0,0.4,0.4,0.069,,-1.7,-0.9,-2.6,0.0
9,1 season,,NYN,NBA,,1.0,7.0,11.2,0.323,3.0,13.8,15.3,14.5,18.2,0.0,8.0,,,,-0.1,0.0,0.0,-0.328,,-4.9,0.0,-4.9,0.0
