,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,26.0,MNL,BAA,SF,53,,,0.44,0.287,,,,,,5.3,1.9,7.2,,
1,1949-50,27.0,MNL,NBA,SF,66,,,0.39,0.212,,,,,,1.2,4.1,5.4,,
2,1950-51,28.0,MNL,NBA,SF,54,,,0.395,0.214,,,,,,0.1,4.1,4.2,,
3,1951-52,29.0,MNL,NBA,SF,65,2545.0,16.5,0.396,0.225,,,,,,-0.9,6.6,5.7,0.108,
4,1952-53,30.0,MNL,NBA,SF,66,2403.0,15.9,0.412,0.269,,,,,,0.2,4.3,4.6,0.091,
5,1953-54,31.0,MNL,NBA,SF,71,2483.0,16.0,0.423,0.261,,,,,,1.3,4.5,5.7,0.111,
6,1954-55,32.0,MNL,NBA,SF,63,1960.0,13.5,0.41,0.248,,,,,,-0.5,2.6,2.1,0.052,
7,Career,,,TOT,,438,9391.0,15.6,0.408,0.243,,,,,,6.8,28.0,34.9,0.093,
8,,,,NBA,,385,9391.0,15.6,0.403,0.237,,,,,,1.5,26.2,27.7,0.093,
9,,,,BAA,,53,,,0.44,0.287,,,,,,5.3,1.9,7.2,,
