,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1959-60,22.0,STL,NBA,C,62.0,875.0,11.5,0.466,0.352,,,,,,0.8,0.7,1.4,0.078,
1,1960-61,23.0,DET,NBA,C,79.0,1657.0,16.5,0.5,0.329,,,,,,3.1,0.8,3.9,0.113,
2,1961-62,24.0,DET,NBA,C,80.0,1918.0,17.2,0.493,0.449,,,,,,3.1,1.8,4.9,0.122,
3,1962-63,25.0,DET,NBA,C,79.0,2479.0,12.6,0.473,0.345,,,,,,1.2,2.0,3.1,0.061,
4,1963-64,26.0,DET,NBA,C,74.0,1522.0,16.2,0.493,0.416,,,,,,2.0,0.7,2.7,0.086,
5,1964-65,27.0,BAL,NBA,PF,77.0,1280.0,10.8,0.479,0.589,,,,6.1,,0.9,0.3,1.2,0.044,
6,1965-66,28.0,BAL,NBA,C,66.0,1229.0,12.3,0.457,0.344,,,,11.6,,0.3,0.9,1.2,0.047,
7,1966-67,29.0,BAL,NBA,C,51.0,991.0,11.6,0.46,0.349,,,,11.5,,0.1,0.8,0.9,0.046,
8,1967-68,30.0,BAL,NBA,C,59.0,841.0,11.3,0.454,0.376,,,,9.3,,-0.1,0.9,0.8,0.046,
9,1968-69,31.0,BAL,NBA,C,7.0,36.0,11.1,0.391,0.429,,,,13.6,,-0.1,0.1,0.0,0.012,
10,Career,,,NBA,,634.0,12828.0,13.8,0.48,0.39,,,,9.5,,11.3,8.9,20.2,0.076,
11,,,,,,,,,,,,,,,,,,,,
12,4 seasons,,DET,NBA,,312.0,7576.0,15.3,0.489,0.384,,,,,,9.3,5.3,14.7,0.093,
13,5 seasons,,BAL,NBA,,260.0,4377.0,11.5,0.462,0.41,,,,9.5,,1.2,3.0,4.1,0.045,
14,1 season,,STL,NBA,,62.0,875.0,11.5,0.466,0.352,,,,,,0.8,0.7,1.4,0.078,
