,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1951-52,23.0,MLH,NBA,C,66.0,2618.0,16.8,0.415,0.355,,,,,,0.7,3.0,3.8,0.069,
1,1952-53,24.0,MLH,NBA,C,71.0,2891.0,17.2,0.428,0.35,,,,,,1.4,5.5,6.9,0.115,
2,1953-54,25.0,FTW,NBA,PF,72.0,2934.0,14.7,0.444,0.303,,,,,,2.5,3.4,5.8,0.096,
3,1954-55,26.0,FTW,NBA,PF,72.0,2860.0,13.0,0.425,0.285,,,,,,0.4,3.5,3.9,0.065,
4,1955-56,27.0,FTW,NBA,PF,66.0,2240.0,14.4,0.46,0.289,,,,,,2.1,2.4,4.4,0.095,
5,1956-57,28.0,FTW,NBA,PF,72.0,2647.0,13.1,0.426,0.216,,,,,,0.9,1.9,2.8,0.05,
6,1957-58,29.0,NYK,NBA,PF,18.0,384.0,11.3,0.42,0.328,,,,,,0.1,0.2,0.3,0.041,
7,Career,,,NBA,,437.0,16574.0,14.8,0.432,0.296,,,,,,8.0,19.9,27.9,0.081,
8,,,,,,,,,,,,,,,,,,,,
9,4 seasons,,FTW,NBA,,282.0,10681.0,13.8,0.438,0.27,,,,,,5.8,11.1,16.9,0.076,
10,2 seasons,,MLH,NBA,,137.0,5509.0,17.0,0.422,0.353,,,,,,2.1,8.6,10.7,0.093,
11,1 season,,NYK,NBA,,18.0,384.0,11.3,0.42,0.328,,,,,,0.1,0.2,0.3,0.041,
