,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1962-63,25.0,SFW,NBA,,1,5,31.6,0.5,0.0,,,,,,0.0,0.0,0.0,0.204,
1,Career,,,NBA,,1,5,31.6,0.5,0.0,,,,,,0.0,0.0,0.0,0.204,
