,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1962-63,23.0,SFW,NBA,PF,66.0,1387.0,7.8,0.396,,0.286,,,,,,,,,-1.9,1.1,-0.8,-0.029,
1,1963-64,24.0,SFW,NBA,PF,79.0,2536.0,12.0,0.448,,0.322,,,,,,,,,0.0,4.0,4.0,0.077,
2,1964-65,25.0,TOT,NBA,PF,75.0,1547.0,10.5,0.431,,0.446,,,,4.7,,,,,-0.5,1.2,0.7,0.023,
3,1964-65,25.0,SFW,NBA,PF,48.0,1037.0,10.1,0.429,,0.437,,,,5.0,,,,,-0.4,1.1,0.7,0.033,
4,1964-65,25.0,BAL,NBA,PF,27.0,510.0,11.2,0.434,,0.466,,,,4.1,,,,,-0.1,0.1,0.0,0.003,
5,1965-66,26.0,BAL,NBA,PF,24.0,460.0,10.6,0.415,,0.419,,,,9.5,,,,,-0.4,0.3,0.0,-0.003,
6,1966-67,27.0,TOT,NBA,PF,72.0,1310.0,10.7,0.412,,0.37,,,,6.3,,,,,-1.5,1.3,-0.2,-0.007,
7,1966-67,27.0,BAL,NBA,PF,43.0,746.0,10.2,0.407,,0.403,,,,6.0,,,,,-0.9,0.6,-0.3,-0.02,
8,1966-67,27.0,DET,NBA,PF,29.0,564.0,11.4,0.418,,0.332,,,,6.7,,,,,-0.6,0.7,0.1,0.011,
9,1967-68,28.0,DNR,ABA,PF,74.0,2459.0,17.7,0.47,0.005,0.482,,,10.2,8.9,,10.8,24.0,,2.1,3.6,5.8,0.112,
10,1968-69,29.0,DNR,ABA,PF,67.0,2318.0,14.7,0.491,0.003,0.559,,,12.6,11.3,,15.6,18.2,,1.6,2.6,4.2,0.086,
11,1969-70,30.0,LAS,ABA,PF,27.0,961.0,16.9,0.512,0.005,0.422,,,11.6,10.7,,13.4,21.2,,1.1,1.0,2.2,0.108,
12,1970-71,31.0,TOT,ABA,PF,68.0,2355.0,13.3,0.47,0.004,0.426,,,11.1,10.2,,12.6,17.6,,-0.1,3.0,2.9,0.06,
13,1970-71,31.0,UTS,ABA,PF,35.0,1135.0,13.1,0.463,0.002,0.419,,,10.8,11.6,,14.2,19.0,,-0.2,1.9,1.7,0.072,
14,1970-71,31.0,TEX,ABA,PF,33.0,1220.0,13.4,0.477,0.005,0.432,,,11.5,8.9,,10.9,16.2,,0.1,1.1,1.2,0.048,
15,1971-72,32.0,CAR,ABA,PF,13.0,141.0,13.4,0.438,0.031,0.563,10.7,17.8,14.1,9.7,,13.1,24.0,,-0.2,0.2,0.0,-0.001,
16,Career,,,TOT,,565.0,15474.0,13.1,0.455,0.002,0.421,10.7,17.8,11.4,9.0,,12.9,20.2,,0.3,18.4,18.8,0.058,
17,,,,NBA,,316.0,7240.0,10.5,0.426,,0.355,,,,6.0,,,,,-4.2,8.0,3.7,0.025,
18,,,,ABA,,249.0,8234.0,15.4,0.48,0.005,0.48,10.7,17.8,11.4,10.2,,12.9,20.2,,4.5,10.5,15.0,0.087,
19,,,,,,,,,,,,,,,,,,,,,,,,
20,3 seasons,,SFW,NBA,,193.0,4960.0,10.4,0.43,,0.335,,,,5.0,,,,,-2.2,6.2,3.9,0.038,
21,2 seasons,,DNR,ABA,,141.0,4777.0,16.2,0.479,0.004,0.513,,,11.4,10.1,,12.8,21.2,,3.7,6.3,9.9,0.1,
22,3 seasons,,BAL,NBA,,94.0,1716.0,10.6,0.416,,0.424,,,,6.4,,,,,-1.4,1.1,-0.3,-0.009,
23,2 seasons,,"LAS,UTS",ABA,,62.0,2096.0,14.9,0.486,0.004,0.42,,,11.2,11.2,,13.8,20.0,,0.9,2.9,3.9,0.089,
24,1 season,,TEX,ABA,,33.0,1220.0,13.4,0.477,0.005,0.432,,,11.5,8.9,,10.9,16.2,,0.1,1.1,1.2,0.048,
25,1 season,,DET,NBA,,29.0,564.0,11.4,0.418,,0.332,,,,6.7,,,,,-0.6,0.7,0.1,0.011,
26,1 season,,CAR,ABA,,13.0,141.0,13.4,0.438,0.031,0.563,10.7,17.8,14.1,9.7,,13.1,24.0,,-0.2,0.2,0.0,-0.001,
