,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1955-56,25.0,NYK,NBA,C,60.0,1290.0,13.8,0.491,0.638,,,,,,1.9,0.9,2.8,0.104,
1,1956-57,26.0,MNL,NBA,C,71.0,1866.0,15.8,0.453,0.612,,,,,,1.8,2.4,4.2,0.108,
2,1957-58,27.0,DET,NBA,C,72.0,2184.0,13.6,0.42,0.46,,,,,,0.2,2.2,2.4,0.052,
3,1958-59,28.0,DET,NBA,C,72.0,2338.0,13.9,0.423,0.5,,,,,,-0.1,3.3,3.2,0.066,
4,1959-60,29.0,DET,NBA,C,66.0,2140.0,15.5,0.459,0.583,,,,,,1.8,2.1,3.9,0.087,
5,1960-61,30.0,DET,NBA,C,73.0,2044.0,16.3,0.484,0.567,,,,,,2.4,1.4,3.7,0.088,
6,1961-62,31.0,DET,NBA,C,77.0,1896.0,13.7,0.464,0.45,,,,,,1.0,2.3,3.3,0.084,
7,1962-63,32.0,DET,NBA,C,62.0,913.0,10.0,0.423,0.537,,,,,,-0.5,1.0,0.5,0.027,
8,Career,,,NBA,,553.0,14671.0,14.4,0.451,0.536,,,,,,8.5,15.6,24.0,0.079,
9,,,,,,,,,,,,,,,,,,,,
10,6 seasons,,DET,NBA,,422.0,11515.0,14.2,0.447,0.515,,,,,,4.8,12.3,17.0,0.071,
11,1 season,,MNL,NBA,,71.0,1866.0,15.8,0.453,0.612,,,,,,1.8,2.4,4.2,0.108,
12,1 season,,NYK,NBA,,60.0,1290.0,13.8,0.491,0.638,,,,,,1.9,0.9,2.8,0.104,
