,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1966-67,23.0,DET,NBA,PG,80.0,2762.0,16.5,0.475,0.243,,,,18.1,,,,,,2.0,3.2,5.3,0.092,,,,,
1,1967-68,24.0,DET,NBA,PG,79.0,3209.0,18.5,0.49,0.353,,,,23.0,,,,,,3.8,2.5,6.2,0.093,,,,,
2,1968-69,25.0,DET,NBA,PG,77.0,3039.0,17.8,0.482,0.391,,,,26.0,,,,,,3.3,1.2,4.5,0.071,,,,,
3,1969-70,26.0,DET,NBA,PG,70.0,2334.0,21.3,0.517,0.448,,,,27.5,,,,,,4.1,1.2,5.3,0.109,,,,,
4,1970-71,27.0,DET,NBA,PG,82.0,3065.0,22.5,0.54,0.451,,,5.7,21.7,,,,,,9.3,2.4,11.7,0.183,,,,,
5,1971-72,28.0,DET,NBA,PG,45.0,1936.0,16.2,0.485,0.397,,,4.6,23.8,,,,,,1.4,0.3,1.7,0.042,,,,,
6,1972-73,29.0,DET,NBA,PG,82.0,3361.0,18.3,0.514,0.362,,,4.3,26.3,,,,,,6.0,2.7,8.6,0.123,,,,,
7,1973-74,30.0,DET,NBA,PG,81.0,3124.0,16.4,0.497,0.328,3.6,5.7,4.6,25.8,1.6,0.3,,,,4.1,3.2,7.3,0.113,,1.0,-0.7,0.3,1.8
8,1974-75,31.0,DET,NBA,PG,79.0,3222.0,17.1,0.493,0.318,3.0,6.8,4.9,28.9,1.7,0.4,,,,4.0,1.3,5.3,0.08,,1.2,-1.6,-0.4,1.3
9,1975-76,32.0,WSB,NBA,PG,82.0,2945.0,16.0,0.511,0.379,3.4,4.9,4.2,24.2,1.8,0.4,,,,3.4,2.9,6.3,0.102,,0.4,-0.5,-0.1,1.4
10,1976-77,33.0,WSB,NBA,SG,64.0,1516.0,15.3,0.503,0.295,3.7,5.9,4.8,25.5,1.8,0.2,,,,1.6,1.3,2.9,0.092,,0.1,-0.4,-0.3,0.7
11,1977-78,34.0,BOS,NBA,PG,80.0,2256.0,13.4,0.508,0.315,3.5,6.0,4.8,19.2,1.6,0.4,16.8,22.1,,2.0,1.6,3.6,0.076,,-0.7,-0.6,-1.2,0.4
12,Career,,,NBA,,901.0,32769.0,17.6,0.502,0.36,3.4,5.8,4.7,24.3,1.7,0.4,16.8,22.1,,45.0,23.8,68.8,0.101,,0.5,-0.8,-0.3,5.6
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9 seasons,,DET,NBA,,675.0,26052.0,18.3,0.5,0.365,3.3,6.2,4.8,24.6,1.6,0.4,,,,38.0,18.0,56.0,0.103,,1.1,-1.2,-0.1,3.1
15,2 seasons,,WSB,NBA,,146.0,4461.0,15.8,0.508,0.35,3.5,5.2,4.4,24.7,1.8,0.3,,,,5.0,4.2,9.2,0.099,,0.3,-0.5,-0.2,2.1
16,1 season,,BOS,NBA,,80.0,2256.0,13.4,0.508,0.315,3.5,6.0,4.8,19.2,1.6,0.4,16.8,22.1,,2.0,1.6,3.6,0.076,,-0.7,-0.6,-1.2,0.4
