,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,27.0,TOT,BAA,,48.0,,,0.297,0.204,,,,,,-2.5,1.1,-1.4,,
1,1948-49,27.0,FTW,BAA,,10.0,,,0.293,0.197,,,,,,-0.4,0.2,-0.3,,
2,1948-49,27.0,INJ,BAA,,38.0,,,0.297,0.205,,,,,,-2.1,0.9,-1.1,,
3,Career,,,BAA,,48.0,,,0.297,0.204,,,,,,-2.5,1.1,-1.4,,
4,,,,,,,,,,,,,,,,,,,,
5,1 season,,INJ,BAA,,38.0,,,0.297,0.205,,,,,,-2.1,0.9,-1.1,,
6,1 season,,FTW,BAA,,10.0,,,0.293,0.197,,,,,,-0.4,0.2,-0.3,,
