,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1966-67,22.0,CIN,NBA,PF,33.0,201.0,6.1,0.335,,0.175,,,,3.8,,,,-0.7,0.1,-0.5,-0.127,
1,1967-68,23.0,SDR,NBA,PF,30.0,228.0,6.4,0.326,,0.351,,,,3.9,,,,-0.8,0.2,-0.6,-0.124,
2,1968-69,24.0,DLC,ABA,PF,1.0,15.0,22.6,0.717,0.0,0.5,,,21.4,10.3,17.0,14.9,,0.1,0.0,0.1,0.261,
3,Career,,,TOT,,64.0,444.0,6.8,0.339,0.0,0.268,,,21.4,4.1,17.0,14.9,,-1.4,0.4,-1.0,-0.112,
4,,,,NBA,,63.0,429.0,6.2,0.33,,0.263,,,,3.8,,,,-1.5,0.4,-1.1,-0.125,
5,,,,ABA,,1.0,15.0,22.6,0.717,0.0,0.5,,,21.4,10.3,17.0,14.9,,0.1,0.0,0.1,0.261,
6,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,CIN,NBA,,33.0,201.0,6.1,0.335,,0.175,,,,3.8,,,,-0.7,0.1,-0.5,-0.127,
8,1 season,,SDR,NBA,,30.0,228.0,6.4,0.326,,0.351,,,,3.9,,,,-0.8,0.2,-0.6,-0.124,
9,1 season,,DLC,ABA,,1.0,15.0,22.6,0.717,0.0,0.5,,,21.4,10.3,17.0,14.9,,0.1,0.0,0.1,0.261,
