,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1971-72,22.0,BUF,NBA,C,78.0,3186.0,15.0,0.471,0.285,,,18.0,5.1,,,,,,0.4,1.1,1.5,0.022,,,,,
1,1972-73,23.0,BUF,NBA,C,76.0,2829.0,16.5,0.498,0.271,,,15.6,9.9,,,,,,3.0,0.9,3.9,0.067,,,,,
2,1973-74,24.0,LAL,NBA,C,81.0,2922.0,14.5,0.479,0.262,6.6,21.1,14.2,6.9,1.0,6.4,,,,0.5,5.4,5.9,0.097,,-1.4,2.5,1.1,2.3
3,1974-75,25.0,LAL,NBA,C,74.0,2341.0,15.9,0.5,0.329,8.6,24.3,16.5,8.7,1.6,4.6,,,,1.0,3.7,4.7,0.097,,-0.6,1.7,1.1,1.8
4,1975-76,26.0,MIL,NBA,C,78.0,2809.0,17.7,0.545,0.365,7.7,24.9,16.6,5.0,1.3,4.4,,,,4.1,4.7,8.7,0.149,,0.8,1.3,2.1,2.9
5,1976-77,27.0,TOT,NBA,C,70.0,1464.0,14.9,0.499,0.42,7.8,23.2,15.4,3.9,1.1,5.2,,,,0.7,2.2,2.9,0.094,,-1.7,1.2,-0.4,0.6
6,1976-77,27.0,MIL,NBA,C,34.0,789.0,12.6,0.48,0.415,6.8,20.6,13.6,4.8,1.1,4.4,,,,0.0,0.8,0.8,0.051,,-2.5,0.6,-1.9,0.0
7,1976-77,27.0,CLE,NBA,C,36.0,675.0,17.6,0.517,0.425,9.0,26.3,17.4,2.8,1.1,6.0,,,,0.7,1.4,2.0,0.145,,-0.7,2.0,1.3,0.6
8,1977-78,28.0,CLE,NBA,C,81.0,1996.0,19.9,0.534,0.382,8.9,25.6,17.2,4.2,1.2,4.6,13.0,21.6,,3.0,3.8,6.8,0.164,,0.6,1.4,2.0,2.0
9,1978-79,29.0,CLE,NBA,C,24.0,332.0,14.5,0.551,0.2,14.0,21.4,17.5,5.6,1.0,2.7,22.9,22.0,,0.0,0.3,0.3,0.046,,-2.6,-1.0,-3.6,-0.1
10,Career,,,NBA,,562.0,17879.0,16.2,0.503,0.316,8.0,23.7,16.3,6.4,1.2,5.0,14.4,21.6,,12.7,22.0,34.7,0.093,,-0.4,1.6,1.2,9.4
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2 seasons,,LAL,NBA,,155.0,5263.0,15.1,0.488,0.291,7.5,22.5,15.2,7.7,1.3,5.6,,,,1.5,9.1,10.6,0.097,,-1.0,2.1,1.1,4.1
13,2 seasons,,BUF,NBA,,154.0,6015.0,15.7,0.485,0.278,,,16.9,7.4,,,,,,3.4,2.0,5.4,0.043,,,,,
14,3 seasons,,CLE,NBA,,141.0,3003.0,18.8,0.532,0.371,9.5,25.3,17.3,4.1,1.1,4.7,14.4,21.6,,3.7,5.5,9.2,0.147,,0.0,1.3,1.2,2.4
15,2 seasons,,MIL,NBA,,112.0,3598.0,16.6,0.532,0.375,7.5,24.0,15.9,4.9,1.2,4.4,,,,4.1,5.5,9.6,0.127,,0.1,1.1,1.2,2.9
