,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1963-64,22.0,SFW,NBA,PF,76.0,1966.0,12.1,0.423,0.312,,,,,,,,-0.9,4.4,3.5,0.085,,,,,
1,1964-65,23.0,SFW,NBA,PF,77.0,3173.0,16.5,0.456,0.288,,,,7.1,,,,1.0,5.1,6.1,0.092,,,,,
2,1965-66,24.0,SFW,NBA,C,73.0,2891.0,15.0,0.454,0.382,,,,5.0,,,,0.3,4.0,4.3,0.072,,,,,
3,1966-67,25.0,SFW,NBA,C,65.0,2761.0,17.4,0.48,0.417,,,,7.5,,,,1.7,5.6,7.2,0.125,,,,,
4,1967-68,26.0,SFW,NBA,C,51.0,2222.0,19.0,0.466,0.471,,,,13.0,,,,0.5,4.7,5.2,0.112,,,,,
5,1968-69,27.0,SFW,NBA,C,71.0,3208.0,18.4,0.457,0.445,,,,11.6,,,,0.5,6.1,6.5,0.098,,,,,
6,1969-70,28.0,SFW,NBA,C,43.0,1919.0,18.2,0.483,0.42,,,,10.9,,,,0.7,3.0,3.7,0.093,,,,,
7,1970-71,29.0,SFW,NBA,C,82.0,3351.0,18.5,0.501,0.386,,,14.8,11.1,,,,3.8,3.4,7.2,0.103,,,,,
8,1971-72,30.0,GSW,NBA,C,78.0,3362.0,18.7,0.492,0.386,,,16.6,9.8,,,,2.6,6.4,9.0,0.128,,,,,
9,1972-73,31.0,GSW,NBA,C,79.0,3419.0,17.3,0.499,0.379,,,18.0,10.4,,,,3.2,6.7,9.9,0.14,,,,,
10,1973-74,32.0,GSW,NBA,C,62.0,2463.0,15.0,0.492,0.414,9.8,23.6,16.8,8.2,0.7,3.6,,2.6,3.4,6.0,0.117,,0.5,0.8,1.3,2.1
11,1974-75,33.0,CHI,NBA,C,80.0,2756.0,13.4,0.403,0.327,10.0,24.5,17.3,16.9,0.8,4.0,,-0.8,5.4,4.7,0.081,,-0.9,2.4,1.5,2.4
12,1975-76,34.0,TOT,NBA,C,78.0,1393.0,12.0,0.442,0.365,8.2,23.0,15.3,8.9,0.7,3.9,,0.2,2.2,2.4,0.082,,-1.7,1.6,-0.1,0.7
13,1975-76,34.0,CHI,NBA,C,13.0,260.0,11.4,0.454,0.4,5.1,23.7,13.8,14.1,0.7,2.6,,0.1,0.4,0.4,0.081,,-0.8,1.7,1.0,0.2
14,1975-76,34.0,CLE,NBA,C,65.0,1133.0,12.1,0.441,0.36,8.9,22.8,15.6,7.7,0.8,4.2,,0.1,1.9,1.9,0.082,,-2.0,1.6,-0.3,0.5
15,1976-77,35.0,CLE,NBA,C,49.0,997.0,14.3,0.458,0.431,11.9,26.7,19.1,10.8,0.8,4.4,,0.5,1.8,2.3,0.113,,-1.0,2.0,1.0,0.8
16,Career,,,NBA,,964.0,35881.0,16.5,0.47,0.388,9.8,24.2,16.7,10.0,0.8,3.9,,15.8,62.2,78.0,0.104,,-0.6,1.7,1.1,5.9
17,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11 seasons,,"SFW,GSW",NBA,,757.0,30735.0,17.1,0.475,0.392,9.8,23.6,16.5,9.4,0.7,3.6,,15.8,52.8,68.6,0.107,,0.5,0.8,1.3,2.1
19,2 seasons,,CLE,NBA,,114.0,2130.0,13.1,0.449,0.392,10.3,24.6,17.2,9.2,0.8,4.3,,0.6,3.7,4.3,0.097,,-1.5,1.8,0.3,1.2
20,2 seasons,,CHI,NBA,,93.0,3016.0,13.2,0.406,0.331,9.5,24.5,17.0,16.6,0.8,3.9,,-0.7,5.8,5.1,0.081,,-0.9,2.3,1.4,2.6
