,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1969-70,22.0,SEA,NBA,PG,81.0,1817.0,13.7,0.495,0.36,,,,24.5,,,,,,1.2,1.0,2.2,0.059,,,,,
1,1970-71,23.0,MIL,NBA,PG,61.0,1162.0,12.2,0.485,0.276,,,6.2,16.3,,,,,,0.7,1.2,1.9,0.078,,,,,
2,1971-72,24.0,MIL,NBA,PG,80.0,2316.0,15.9,0.547,0.296,,,5.3,18.6,,,,,,4.8,2.8,7.6,0.157,,,,,
3,1972-73,25.0,MIL,NBA,PG,80.0,2693.0,16.0,0.508,0.177,,,5.0,21.1,,,,,,3.8,3.8,7.6,0.135,,,,,
4,1973-74,26.0,MIL,NBA,PG,72.0,2388.0,18.8,0.536,0.258,4.1,8.1,6.2,21.7,2.6,0.5,,,,4.7,3.4,8.2,0.164,,1.6,1.0,2.5,2.7
5,1974-75,27.0,TOT,NBA,PG,66.0,2353.0,17.5,0.483,0.262,3.7,7.6,5.7,24.6,2.6,0.6,,,,2.0,1.7,3.6,0.074,,0.6,-0.2,0.4,1.4
6,1974-75,27.0,MIL,NBA,PG,10.0,342.0,15.7,0.463,0.226,2.8,6.5,4.7,23.1,1.9,0.2,,,,0.2,0.2,0.4,0.059,,-0.2,-1.0,-1.2,0.1
7,1974-75,27.0,LAL,NBA,PG,56.0,2011.0,17.8,0.486,0.267,3.9,7.8,5.9,24.9,2.7,0.7,,,,1.8,1.4,3.2,0.077,,0.7,0.0,0.7,1.4
8,1975-76,28.0,LAL,NBA,PG,76.0,2388.0,15.1,0.501,0.253,2.7,5.8,4.3,21.1,1.9,0.4,,,,2.4,1.5,3.9,0.079,,-0.4,-0.8,-1.2,0.5
9,1976-77,29.0,LAL,NBA,PG,78.0,2482.0,15.6,0.497,0.243,2.4,7.7,5.2,22.2,2.1,0.4,,,,2.8,2.1,4.9,0.094,,0.3,-0.3,0.0,1.2
10,1977-78,30.0,KCK,NBA,PG,77.0,2147.0,13.3,0.488,0.26,3.1,7.8,5.5,22.8,1.9,0.7,18.7,20.6,,0.7,1.4,2.1,0.046,,-0.3,-0.7,-1.0,0.6
11,1978-79,31.0,KCK,NBA,PG,31.0,413.0,8.7,0.416,0.19,3.6,8.6,6.1,13.6,2.3,0.8,13.7,20.3,,-0.4,0.5,0.1,0.007,,-3.7,0.4,-3.3,-0.1
12,Career,,,NBA,,702.0,20159.0,15.5,0.504,0.257,3.2,7.4,5.4,21.5,2.2,0.5,17.9,20.5,,22.6,19.4,42.0,0.1,,0.2,-0.2,0.1,6.3
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5 seasons,,MIL,NBA,,303.0,8901.0,16.2,0.521,0.243,3.9,7.9,5.5,20.1,2.5,0.4,,,,14.2,11.4,25.6,0.138,,1.4,0.7,2.1,2.8
15,3 seasons,,LAL,NBA,,210.0,6881.0,16.1,0.495,0.255,2.9,7.1,5.1,22.6,2.2,0.5,,,,7.0,5.0,12.0,0.084,,0.2,-0.4,-0.2,3.1
16,2 seasons,,KCK,NBA,,108.0,2560.0,12.6,0.476,0.248,3.2,7.9,5.6,21.4,2.0,0.7,17.9,20.5,,0.3,1.9,2.1,0.04,,-0.9,-0.5,-1.4,0.4
17,1 season,,SEA,NBA,,81.0,1817.0,13.7,0.495,0.36,,,,24.5,,,,,,1.2,1.0,2.2,0.059,,,,,
