,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1967-68,22.0,DET,NBA,PF,28.0,162.0,6.4,0.324,,0.347,,,,8.3,,,,,-0.6,0.1,-0.5,-0.136,
1,1968-69,23.0,DET,NBA,PF,29.0,236.0,13.6,0.509,,0.36,,,,7.1,,,,,0.3,0.1,0.4,0.088,
2,1969-70,24.0,NYA,ABA,PF,80.0,2284.0,14.7,0.5,0.013,0.384,,,11.4,7.0,,14.8,22.3,,2.1,2.2,4.3,0.09,
3,1970-71,25.0,NYA,ABA,PF,83.0,2280.0,13.9,0.499,0.014,0.271,,,14.5,5.6,,16.6,22.5,,1.5,1.5,3.0,0.063,
4,1971-72,26.0,NYA,ABA,PF,2.0,9.0,3.3,0.475,0.0,0.6,11.1,0.0,5.4,16.3,,24.0,36.0,,0.0,0.0,0.0,0.019,
5,Career,,,TOT,,222.0,4971.0,14.0,0.494,0.012,0.33,11.1,0.0,12.9,6.4,,15.7,22.4,,3.3,3.9,7.2,0.07,
6,,,,ABA,,165.0,4573.0,14.3,0.5,0.014,0.328,11.1,0.0,12.9,6.3,,15.7,22.4,,3.6,3.7,7.2,0.076,
7,,,,NBA,,57.0,398.0,10.7,0.43,,0.354,,,,7.6,,,,,-0.3,0.2,0.0,-0.003,
8,,,,,,,,,,,,,,,,,,,,,,,,
9,3 seasons,,NYA,ABA,,165.0,4573.0,14.3,0.5,0.014,0.328,11.1,0.0,12.9,6.3,,15.7,22.4,,3.6,3.7,7.2,0.076,
10,2 seasons,,DET,NBA,,57.0,398.0,10.7,0.43,,0.354,,,,7.6,,,,,-0.3,0.2,0.0,-0.003,
