,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1969-70,22.0,CAR,ABA,SF,57.0,701.0,11.2,0.46,0.0,0.427,,,11.2,6.7,,14.0,18.6,,-0.1,0.8,0.7,0.049,
1,1970-71,23.0,TOT,ABA,SF,72.0,1123.0,9.3,0.554,0.0,0.506,,,9.9,6.2,,19.8,12.3,,1.2,0.7,2.0,0.084,
2,1970-71,23.0,NYA,ABA,SF,39.0,687.0,8.3,0.524,0.0,0.457,,,10.1,6.2,,21.9,12.9,,0.5,0.4,0.9,0.06,
3,1970-71,23.0,VIR,ABA,SF,33.0,436.0,11.0,0.601,0.0,0.585,,,9.6,6.3,,16.3,11.4,,0.7,0.4,1.1,0.12,
4,1971-72,24.0,VIR,ABA,SF,16.0,115.0,3.3,0.445,0.067,1.133,2.3,9.1,5.7,2.8,,18.2,8.6,,0.0,0.1,0.0,0.02,
5,Career,,,ABA,,145.0,1939.0,9.6,0.505,0.002,0.486,2.3,9.1,10.1,6.2,,17.1,14.4,,1.1,1.6,2.7,0.067,
6,,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,CAR,ABA,,57.0,701.0,11.2,0.46,0.0,0.427,,,11.2,6.7,,14.0,18.6,,-0.1,0.8,0.7,0.049,
8,2 seasons,,VIR,ABA,,49.0,551.0,9.4,0.576,0.009,0.661,2.3,9.1,8.8,5.6,,16.6,10.8,,0.7,0.4,1.1,0.099,
9,1 season,,NYA,ABA,,39.0,687.0,8.3,0.524,0.0,0.457,,,10.1,6.2,,21.9,12.9,,0.5,0.4,0.9,0.06,
