,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,28.0,TOT,BAA,,60.0,,,0.339,0.341,,,,,,-1.4,3.0,1.6,,
1,1948-49,28.0,FTW,BAA,,22.0,,,0.33,0.338,,,,,,-0.6,1.0,0.4,,
2,1948-49,28.0,INJ,BAA,,38.0,,,0.342,0.342,,,,,,-0.7,2.0,1.2,,
3,1949-50,29.0,BLB,NBA,,68.0,,,0.389,0.298,,,,,,0.7,1.9,2.6,,
4,Career,,,TOT,,128.0,,,0.362,0.321,,,,,,-0.7,4.9,4.2,,
5,,,,NBA,,68.0,,,0.389,0.298,,,,,,0.7,1.9,2.6,,
6,,,,BAA,,60.0,,,0.339,0.341,,,,,,-1.4,3.0,1.6,,
7,,,,,,,,,,,,,,,,,,,,
8,1 season,,BLB,NBA,,68.0,,,0.389,0.298,,,,,,0.7,1.9,2.6,,
9,1 season,,INJ,BAA,,38.0,,,0.342,0.342,,,,,,-0.7,2.0,1.2,,
10,1 season,,FTW,BAA,,22.0,,,0.33,0.338,,,,,,-0.6,1.0,0.4,,
