,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1966-67,24.0,LAL,NBA,C,27.0,141.0,7.7,0.392,0.255,,,,4.2,,,,-0.2,0.2,0.0,-0.005,,,,,
1,1967-68,25.0,SDR,NBA,C,53.0,1116.0,17.5,0.534,0.388,,,,9.4,,,,2.3,1.1,3.4,0.146,,,,,
2,1968-69,26.0,SDR,NBA,C,35.0,332.0,13.1,0.5,0.369,,,,8.1,,,,0.3,0.5,0.9,0.123,,,,,
3,1969-70,27.0,BOS,NBA,C,80.0,1866.0,13.1,0.494,0.341,,,,7.3,,,,1.0,2.4,3.4,0.087,,,,,
4,1970-71,28.0,BOS,NBA,C,80.0,1234.0,12.1,0.478,0.26,,,12.0,8.1,,,,0.5,1.8,2.3,0.091,,,,,
5,1971-72,29.0,BOS,NBA,C,78.0,736.0,11.1,0.434,0.291,,,15.6,10.0,,,,-0.5,1.5,1.0,0.068,,,,,
6,1972-73,30.0,BOS,NBA,C,76.0,496.0,11.4,0.47,0.301,,,13.7,6.5,,,,0.1,1.1,1.2,0.119,,,,,
7,1973-74,31.0,BOS,NBA,C,60.0,427.0,11.6,0.497,0.331,9.5,20.7,15.3,8.1,0.3,0.8,,0.3,0.6,0.9,0.096,,-2.1,0.0,-2.1,0.0
8,1974-75,32.0,BOS,NBA,C,62.0,518.0,7.5,0.429,0.333,6.4,15.0,10.8,7.7,0.6,0.3,,-0.2,0.6,0.4,0.038,,-3.7,-0.1,-3.8,-0.2
9,Career,,,NBA,,551.0,6866.0,12.6,0.487,0.325,7.8,17.6,13.2,8.1,0.5,0.5,,3.6,9.9,13.5,0.094,,-3.0,0.0,-3.0,-0.2
10,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6 seasons,,BOS,NBA,,436.0,5277.0,11.7,0.475,0.308,7.8,17.6,13.2,7.9,0.5,0.5,,1.2,8.1,9.3,0.084,,-3.0,0.0,-3.0,-0.2
12,2 seasons,,SDR,NBA,,88.0,1448.0,16.5,0.528,0.385,,,,9.1,,,,2.6,1.6,4.3,0.141,,,,,
13,1 season,,LAL,NBA,,27.0,141.0,7.7,0.392,0.255,,,,4.2,,,,-0.2,0.2,0.0,-0.005,,,,,
