,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23,OBPM,DBPM,BPM,VORP
0,1971-72,22.0,DET,NBA,PF,82.0,2661.0,12.3,0.501,0.358,,,12.5,5.0,,,,,,1.8,0.4,2.3,0.041,,,,,
1,1972-73,23.0,DET,NBA,PF,81.0,3009.0,15.6,0.545,0.311,,,12.3,7.7,,,,,,5.7,2.5,8.3,0.132,,,,,
2,1973-74,24.0,DET,NBA,PF,82.0,2499.0,12.2,0.521,0.22,6.9,14.3,10.6,7.5,0.9,0.8,,,,3.0,3.1,6.1,0.117,,0.0,-0.1,-0.1,1.2
3,1974-75,25.0,DET,NBA,PF,82.0,2787.0,13.0,0.521,0.26,6.9,16.1,11.5,6.4,0.9,0.9,,,,3.6,1.6,5.2,0.09,,0.1,-1.3,-1.2,0.6
4,1975-76,26.0,DET,NBA,PF,80.0,2998.0,14.7,0.513,0.311,7.8,16.3,12.0,8.5,0.7,0.8,,,,4.5,1.7,6.2,0.099,,1.1,-1.4,-0.3,1.3
5,1976-77,27.0,BOS,NBA,PF,79.0,2190.0,12.6,0.542,0.38,8.5,16.7,12.6,6.7,0.5,1.1,,,,2.7,2.5,5.2,0.114,,-0.3,0.1,-0.2,1.0
6,1977-78,28.0,BOS,NBA,PF,51.0,911.0,9.7,0.5,0.326,8.5,14.1,11.3,6.6,0.7,0.4,19.6,16.5,,0.2,0.7,0.9,0.046,,-2.1,-1.0,-3.1,-0.2
7,1978-79,29.0,BOS,NBA,PF,53.0,1222.0,7.7,0.467,0.217,7.1,14.9,11.0,7.3,0.6,0.6,18.8,14.9,,-0.5,0.6,0.0,0.001,,-2.7,-1.4,-4.1,-0.6
8,Career,,,NBA,,590.0,18277.0,12.9,0.519,0.3,7.5,15.6,11.8,7.0,0.7,0.8,19.2,15.6,,20.9,13.2,34.1,0.09,,-0.2,-0.8,-1.0,3.2
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5 seasons,,DET,NBA,,407.0,13954.0,13.7,0.521,0.294,7.2,15.6,11.8,7.1,0.8,0.8,,,,18.6,9.4,28.0,0.096,,0.4,-1.0,-0.5,3.1
11,3 seasons,,BOS,NBA,,183.0,4323.0,10.6,0.513,0.323,8.1,15.6,11.9,6.9,0.6,0.8,19.2,15.6,,2.3,3.8,6.1,0.068,,-1.4,-0.5,-1.9,0.1
