,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1967-68,26.0,HSM,ABA,PF,76.0,2689.0,20.4,0.523,0.01,0.301,,,11.5,5.8,,,10.1,21.4,,6.2,3.4,9.6,0.171,
1,1968-69,27.0,HSM,ABA,SF,78.0,2429.0,14.2,0.526,0.003,0.27,,,10.4,6.3,,,13.6,17.1,,3.3,2.1,5.4,0.106,
2,1969-70,28.0,INA,ABA,PF,82.0,1504.0,16.7,0.558,0.002,0.231,,,11.4,4.4,,,8.5,18.1,,3.2,1.4,4.6,0.147,
3,1970-71,29.0,TOT,ABA,PF,80.0,1643.0,16.7,0.543,0.011,0.211,,,11.4,4.5,,,8.7,19.6,,2.8,1.6,4.4,0.129,
4,1970-71,29.0,INA,ABA,PF,51.0,840.0,15.3,0.541,0.016,0.184,,,11.7,3.7,,,9.2,20.0,,1.4,0.9,2.3,0.13,
5,1970-71,29.0,DNR,ABA,PF,29.0,803.0,18.2,0.546,0.005,0.238,,,11.1,5.4,,,8.2,19.1,,1.4,0.7,2.1,0.128,
6,1971-72,30.0,DNR,ABA,PF,84.0,2193.0,13.2,0.498,0.003,0.204,6.7,12.9,9.7,7.2,,,11.3,20.0,,1.1,2.7,3.7,0.082,
7,1972-73,31.0,TOT,ABA,PF,14.0,96.0,16.0,0.655,0.036,0.393,5.2,13.9,9.5,1.6,,,13.2,15.8,,0.3,0.0,0.3,0.173,
8,1972-73,31.0,NYA,ABA,PF,8.0,46.0,17.8,0.632,0.063,0.313,2.3,10.7,6.6,3.4,,,5.2,17.1,,0.2,0.0,0.2,0.162,
9,1972-73,31.0,DLC,ABA,PF,6.0,50.0,14.3,0.683,0.0,0.5,7.8,16.8,12.2,0.0,,,21.5,14.6,,0.2,0.0,0.2,0.183,
10,Career,,,ABA,,414.0,10554.0,16.3,0.527,0.006,0.25,6.6,12.9,10.8,5.8,,,10.7,19.3,,16.8,11.3,28.1,0.128,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,2 seasons,,HSM,ABA,,154.0,5118.0,17.5,0.525,0.007,0.288,,,11.0,6.0,,,11.6,19.3,,9.5,5.5,15.0,0.141,
13,2 seasons,,INA,ABA,,133.0,2344.0,16.2,0.552,0.007,0.213,,,11.5,4.1,,,8.8,18.8,,4.5,2.3,6.9,0.14,
14,2 seasons,,DNR,ABA,,113.0,2996.0,14.6,0.511,0.004,0.214,6.7,12.9,10.1,6.7,,,10.4,19.8,,2.5,3.4,5.9,0.094,
15,1 season,,NYA,ABA,,8.0,46.0,17.8,0.632,0.063,0.313,2.3,10.7,6.6,3.4,,,5.2,17.1,,0.2,0.0,0.2,0.162,
16,1 season,,DLC,ABA,,6.0,50.0,14.3,0.683,0.0,0.5,7.8,16.8,12.2,0.0,,,21.5,14.6,,0.2,0.0,0.2,0.183,
