,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1966-67,23.0,DET,NBA,PF,35.0,311.0,10.0,0.463,0.659,,,,4.9,,0.1,0.4,0.5,0.072,
1,1967-68,24.0,SEA,NBA,PF,81.0,1494.0,12.8,0.499,0.504,,,,5.6,,1.2,1.0,2.2,0.07,
2,1968-69,25.0,SEA,NBA,PF,38.0,465.0,12.1,0.448,0.5,,,,6.2,,-0.1,0.3,0.2,0.024,
3,1969-70,26.0,SEA,NBA,C,81.0,1079.0,13.1,0.52,0.542,,,,8.9,,1.1,0.8,1.9,0.083,
4,1970-71,27.0,TOT,NBA,PF,71.0,716.0,10.4,0.508,0.629,,,13.6,5.4,,0.6,1.0,1.6,0.109,
5,1970-71,27.0,POR,NBA,PF,2.0,20.0,16.3,0.507,1.833,,,15.2,5.6,,0.0,0.0,0.0,0.118,
6,1970-71,27.0,BAL,NBA,PF,69.0,696.0,10.2,0.508,0.587,,,13.6,5.4,,0.6,1.0,1.6,0.108,
7,1971-72,28.0,BAL,NBA,PF,51.0,421.0,7.8,0.423,0.345,,,14.1,5.2,,-0.3,0.5,0.1,0.017,
8,Career,,,NBA,,357.0,4486.0,11.7,0.49,0.525,,,13.8,6.3,,2.6,3.9,6.5,0.07,
9,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,SEA,NBA,,200.0,3038.0,12.8,0.496,0.516,,,,6.8,,2.2,2.0,4.3,0.068,
11,2 seasons,,BAL,NBA,,120.0,1117.0,9.3,0.476,0.491,,,13.8,5.3,,0.3,1.5,1.7,0.074,
12,1 season,,DET,NBA,,35.0,311.0,10.0,0.463,0.659,,,,4.9,,0.1,0.4,0.5,0.072,
13,1 season,,POR,NBA,,2.0,20.0,16.3,0.507,1.833,,,15.2,5.6,,0.0,0.0,0.0,0.118,
