,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1965-66,24.0,NYK,NBA,SF,80.0,1893.0,16.3,0.509,0.459,,,,13.5,,,,3.2,0.5,3.7,0.095,,,,,
1,1966-67,25.0,NYK,NBA,SF,76.0,1889.0,15.8,0.517,0.392,,,,10.4,,,,3.1,0.7,3.9,0.098,,,,,
2,1969-70,28.0,NYK,NBA,SF,82.0,1375.0,14.2,0.487,0.404,,,,12.8,,,,0.6,2.8,3.4,0.119,,,,,
3,1970-71,29.0,NYK,NBA,SF,81.0,1565.0,14.8,0.483,0.336,,,10.3,9.3,,,,1.0,2.8,3.8,0.116,,,,,
4,1971-72,30.0,TOT,NBA,SF,78.0,2040.0,12.9,0.479,0.242,,,10.0,10.8,,,,0.7,2.1,2.8,0.066,,,,,
5,1971-72,30.0,NYK,NBA,SF,14.0,225.0,12.1,0.459,0.398,,,7.6,15.0,,,,0.0,0.3,0.2,0.053,,,,,
6,1971-72,30.0,BAL,NBA,SF,64.0,1815.0,13.0,0.481,0.222,,,10.3,10.2,,,,0.7,1.8,2.5,0.067,,,,,
7,1972-73,31.0,BAL,NBA,SF,73.0,1217.0,11.7,0.457,0.232,,,9.1,11.8,,,,0.0,1.7,1.7,0.065,,,,,
8,1973-74,32.0,CAP,NBA,SF,45.0,458.0,15.0,0.466,0.294,10.7,15.4,13.0,7.6,2.8,0.4,,0.3,0.8,1.1,0.117,,-1.0,1.1,0.1,0.2
9,1974-75,33.0,NYK,NBA,SF,7.0,57.0,7.6,0.278,0.0,10.8,26.0,18.3,4.6,2.4,2.8,,-0.2,0.1,0.0,-0.04,,-4.2,0.3,-3.9,0.0
10,Career,,,NBA,,522.0,10494.0,14.4,0.491,0.348,10.7,16.5,10.2,11.2,2.7,0.7,,8.8,11.5,20.3,0.093,,-1.4,1.0,-0.4,0.2
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6 seasons,,NYK,NBA,,340.0,7004.0,15.2,0.499,0.397,10.8,26.0,10.2,11.6,2.4,2.8,,7.8,7.2,15.0,0.103,,-4.2,0.3,-3.9,0.0
13,3 seasons,,"BAL,CAP",NBA,,182.0,3490.0,12.8,0.471,0.236,10.7,15.4,10.2,10.4,2.8,0.4,,1.0,4.3,5.3,0.073,,-1.0,1.1,0.1,0.2
