,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1960-61,24.0,SYR,NBA,SF,68.0,800.0,9.9,0.406,,0.296,,,,,,,,-0.6,0.8,0.2,0.014,
1,1961-62,25.0,SYR,NBA,PF,80.0,1642.0,10.4,0.437,,0.313,,,,,,,,-0.2,2.2,1.9,0.056,
2,1962-63,26.0,SYR,NBA,PF,33.0,466.0,10.1,0.414,,0.26,,,,,,,,-0.5,0.5,0.0,0.004,
3,1967-68,31.0,KEN,ABA,SF,37.0,564.0,6.7,0.408,0.021,0.342,,,10.7,3.5,15.2,13.3,,-0.4,0.6,0.2,0.019,
4,Career,,,TOT,,218.0,3472.0,9.7,0.422,0.002,0.304,,,10.7,3.5,15.2,13.3,,-1.7,4.1,2.4,0.033,
5,,,,NBA,,181.0,2908.0,10.2,0.424,,0.299,,,,,,,,-1.3,3.5,2.2,0.036,
6,,,,ABA,,37.0,564.0,6.7,0.408,0.021,0.342,,,10.7,3.5,15.2,13.3,,-0.4,0.6,0.2,0.019,
7,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,SYR,NBA,,181.0,2908.0,10.2,0.424,,0.299,,,,,,,,-1.3,3.5,2.2,0.036,
9,1 season,,KEN,ABA,,37.0,564.0,6.7,0.408,0.021,0.342,,,10.7,3.5,15.2,13.3,,-0.4,0.6,0.2,0.019,
