,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1962-63,22.0,SYR,NBA,PF,80.0,1241.0,17.2,0.501,,0.394,,,,,,,,,1.7,1.5,3.2,0.123,
1,1963-64,23.0,TOT,NBA,PF,79.0,2505.0,16.7,0.495,,0.34,,,,,,,,,3.4,0.2,3.6,0.069,
2,1963-64,23.0,PHI,NBA,,1.0,16.0,0.3,0.174,,1.0,,,,,,,,,0.0,0.0,0.0,-0.102,
3,1963-64,23.0,NYK,NBA,PF,78.0,2489.0,16.8,0.496,,0.339,,,,,,,,,3.5,0.2,3.7,0.07,
4,1964-65,24.0,NYK,NBA,C,43.0,655.0,12.9,0.436,,0.272,,,,3.6,,,,,-0.2,0.3,0.1,0.009,
5,1965-66,25.0,NYK,NBA,PF,46.0,545.0,11.2,0.452,,0.328,,,,6.4,,,,,0.0,0.1,0.1,0.013,
6,1966-67,26.0,TOT,NBA,"C,PF",73.0,708.0,11.5,0.455,,0.259,,,,6.3,,,,,0.0,0.5,0.5,0.034,
7,1966-67,26.0,CHI,NBA,PF,19.0,179.0,13.1,0.478,,0.236,,,,9.7,,,,,0.1,0.2,0.3,0.085,
8,1966-67,26.0,CIN,NBA,C,54.0,529.0,11.0,0.445,,0.268,,,,5.2,,,,,-0.1,0.3,0.2,0.017,
9,1967-68,27.0,TOT,NBA,"C,PF",67.0,1064.0,19.0,0.559,,0.424,,,,6.9,,,,,2.8,0.9,3.7,0.168,
10,1967-68,27.0,CIN,NBA,PF,10.0,65.0,18.1,0.552,,0.333,,,,11.0,,,,,0.2,0.0,0.2,0.137,
11,1967-68,27.0,DET,NBA,C,57.0,999.0,19.0,0.56,,0.43,,,,6.6,,,,,2.7,0.9,3.5,0.17,
12,1968-69,28.0,MIL,NBA,PF,80.0,2207.0,16.0,0.503,,0.335,,,,6.2,,,,,3.1,1.6,4.7,0.102,
13,1969-70,29.0,MIL,NBA,SF,75.0,1134.0,14.9,0.504,,0.403,,,,6.4,,,,,1.1,1.1,2.1,0.09,
14,1970-71,30.0,TOT,NBA,PF,48.0,537.0,13.4,0.511,,0.442,,,12.8,4.2,,,,,0.6,0.2,0.9,0.076,
15,1970-71,30.0,CLE,NBA,,6.0,86.0,11.4,0.464,,0.368,,,10.1,1.8,,,,,0.0,0.0,0.0,0.014,
16,1970-71,30.0,ATL,NBA,PF,42.0,451.0,13.8,0.522,,0.46,,,13.3,4.7,,,,,0.6,0.2,0.8,0.088,
17,1971-72,31.0,DLC,ABA,PF,79.0,1403.0,15.9,0.508,0.0,0.378,10.4,12.5,11.4,7.5,,9.6,19.5,,1.1,1.8,2.9,0.099,
18,Career,,,TOT,,670.0,11999.0,15.6,0.498,0.0,0.356,10.4,12.5,11.8,6.2,,9.6,19.5,,13.6,8.3,21.9,0.088,
19,,,,NBA,,591.0,10596.0,15.6,0.497,,0.354,,,12.8,6.0,,,,,12.5,6.5,19.0,0.086,
20,,,,ABA,,79.0,1403.0,15.9,0.508,0.0,0.378,10.4,12.5,11.4,7.5,,9.6,19.5,,1.1,1.8,2.9,0.099,
21,,,,,,,,,,,,,,,,,,,,,,,,
22,3 seasons,,NYK,NBA,,167.0,3689.0,15.3,0.478,,0.324,,,,4.9,,,,,3.3,0.6,3.9,0.051,
23,2 seasons,,MIL,NBA,,155.0,3341.0,15.6,0.504,,0.359,,,,6.3,,,,,4.2,2.6,6.8,0.098,
24,2 seasons,,"SYR,PHI",NBA,,81.0,1257.0,17.0,0.5,,0.396,,,,,,,,,1.6,1.5,3.1,0.12,
25,1 season,,DLC,ABA,,79.0,1403.0,15.9,0.508,0.0,0.378,10.4,12.5,11.4,7.5,,9.6,19.5,,1.1,1.8,2.9,0.099,
26,2 seasons,,CIN,NBA,,64.0,594.0,11.8,0.458,,0.276,,,,5.8,,,,,0.0,0.4,0.4,0.03,
27,1 season,,DET,NBA,,57.0,999.0,19.0,0.56,,0.43,,,,6.6,,,,,2.7,0.9,3.5,0.17,
28,1 season,,ATL,NBA,,42.0,451.0,13.8,0.522,,0.46,,,13.3,4.7,,,,,0.6,0.2,0.8,0.088,
29,1 season,,CHI,NBA,,19.0,179.0,13.1,0.478,,0.236,,,,9.7,,,,,0.1,0.2,0.3,0.085,
30,1 season,,CLE,NBA,,6.0,86.0,11.4,0.464,,0.368,,,10.1,1.8,,,,,0.0,0.0,0.0,0.014,
