,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1967-68,24.0,TOT,ABA,PG,64.0,1020.0,7.0,0.419,0.134,0.158,,,4.6,19.0,,21.6,20.1,,-0.5,0.8,0.3,0.014,
1,1967-68,24.0,ANA,ABA,PG,23.0,622.0,7.0,0.441,0.113,0.183,,,5.1,16.7,,23.1,17.4,,0.0,0.2,0.2,0.016,
2,1967-68,24.0,DNR,ABA,PG,41.0,398.0,6.9,0.394,0.157,0.131,,,4.0,22.5,,19.8,24.4,,-0.6,0.7,0.1,0.012,
3,1968-69,25.0,DNR,ABA,PG,59.0,979.0,7.1,0.458,0.112,0.307,,,4.3,17.3,,23.6,15.7,,0.0,0.9,0.9,0.046,
4,1969-70,26.0,DNR,ABA,PG,83.0,2461.0,10.8,0.472,0.23,0.248,,,4.2,22.7,,19.3,16.0,,0.6,3.8,4.3,0.085,
5,1970-71,27.0,TOT,ABA,PG,80.0,1562.0,7.0,0.428,0.181,0.197,,,4.1,20.0,,21.5,16.0,,-1.1,1.8,0.7,0.021,
6,1970-71,27.0,UTS,ABA,PG,38.0,983.0,6.2,0.404,0.223,0.175,,,3.9,19.3,,20.6,17.0,,-1.2,1.4,0.2,0.011,
7,1970-71,27.0,NYA,ABA,PG,42.0,579.0,8.4,0.481,0.087,0.247,,,4.6,21.2,,23.5,14.3,,0.1,0.3,0.4,0.037,
8,1971-72,28.0,DLC,ABA,PG,20.0,261.0,9.8,0.422,0.081,0.233,3.1,7.0,5.0,19.5,,12.1,17.2,,-0.3,0.3,0.0,0.006,
9,Career,,,ABA,,306.0,6283.0,8.6,0.447,0.176,0.225,3.1,7.0,4.3,20.5,,20.6,16.7,,-1.3,7.6,6.3,0.048,
10,,,,,,,,,,,,,,,,,,,,,,,,
11,3 seasons,,DNR,ABA,,183.0,3838.0,9.5,0.458,0.192,0.243,,,4.2,21.3,,20.4,16.8,,0.1,5.3,5.4,0.067,
12,2 seasons,,"ANA,UTS",ABA,,61.0,1605.0,6.5,0.418,0.18,0.178,,,4.3,18.3,,21.6,17.2,,-1.2,1.6,0.4,0.013,
13,1 season,,NYA,ABA,,42.0,579.0,8.4,0.481,0.087,0.247,,,4.6,21.2,,23.5,14.3,,0.1,0.3,0.4,0.037,
14,1 season,,DLC,ABA,,20.0,261.0,9.8,0.422,0.081,0.233,3.1,7.0,5.0,19.5,,12.1,17.2,,-0.3,0.3,0.0,0.006,
