,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1968-69,22.0,CHI,NBA,C,81.0,1159.0,11.2,0.425,,0.293,,,,7.3,,,,-0.9,1.7,0.8,0.034,
1,1969-70,23.0,ATL,NBA,C,64.0,612.0,12.7,0.474,,0.26,,,,9.1,,,,0.1,0.4,0.4,0.033,
2,1970-71,24.0,CAR,ABA,C,31.0,457.0,14.7,0.497,0.0,0.287,,,15.6,8.5,14.8,21.9,,0.3,0.4,0.7,0.073,
3,Career,,,TOT,,176.0,2228.0,12.3,0.455,0.0,0.282,,,15.6,8.0,14.8,21.9,,-0.5,2.5,1.9,0.042,
4,,,,NBA,,145.0,1771.0,11.7,0.444,,0.28,,,,7.9,,,,-0.8,2.1,1.2,0.034,
5,,,,ABA,,31.0,457.0,14.7,0.497,0.0,0.287,,,15.6,8.5,14.8,21.9,,0.3,0.4,0.7,0.073,
6,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,CHI,NBA,,81.0,1159.0,11.2,0.425,,0.293,,,,7.3,,,,-0.9,1.7,0.8,0.034,
8,1 season,,ATL,NBA,,64.0,612.0,12.7,0.474,,0.26,,,,9.1,,,,0.1,0.4,0.4,0.033,
9,1 season,,CAR,ABA,,31.0,457.0,14.7,0.497,0.0,0.287,,,15.6,8.5,14.8,21.9,,0.3,0.4,0.7,0.073,
