,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,25.0,DLC,ABA,PG,58.0,2175.0,9.4,0.459,0.021,0.393,,,5.9,14.9,19.9,21.4,,1.0,0.9,1.8,0.041,
1,1968-69,26.0,TOT,ABA,"PG,SG",76.0,2148.0,10.4,0.474,0.028,0.344,,,4.5,17.9,19.5,23.2,,0.8,1.6,2.4,0.053,
2,1968-69,26.0,NYA,ABA,SG,24.0,645.0,9.9,0.474,0.015,0.402,,,5.3,17.6,20.4,22.2,,0.2,0.3,0.6,0.042,
3,1968-69,26.0,MMF,ABA,PG,52.0,1503.0,10.7,0.473,0.033,0.322,,,4.2,18.0,19.2,23.6,,0.5,1.3,1.8,0.058,
4,1969-70,27.0,TOT,ABA,"PG,SG",55.0,992.0,7.3,0.465,0.093,0.335,,,5.1,19.0,25.1,21.6,,0.1,0.8,0.8,0.039,
5,1969-70,27.0,MMF,ABA,PG,11.0,319.0,4.1,0.413,0.025,0.314,,,4.6,18.6,25.5,20.3,,-0.3,0.3,-0.1,-0.011,
6,1969-70,27.0,PTP,ABA,SG,17.0,380.0,8.5,0.504,0.038,0.394,,,4.4,18.9,27.6,20.2,,0.3,0.3,0.6,0.078,
7,1969-70,27.0,DLC,ABA,SG,27.0,293.0,9.2,0.471,0.203,0.297,,,6.6,19.4,22.0,24.6,,0.1,0.2,0.3,0.043,
8,Career,,,ABA,,189.0,5315.0,9.4,0.466,0.037,0.361,,,5.2,16.9,20.7,22.1,,1.8,3.2,5.0,0.045,
9,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,DLC,ABA,,85.0,2468.0,9.4,0.461,0.047,0.379,,,6.0,15.4,20.2,21.7,,1.0,1.1,2.1,0.041,
11,2 seasons,,MMF,ABA,,63.0,1822.0,9.5,0.465,0.032,0.321,,,4.3,18.1,20.2,23.1,,0.2,1.5,1.7,0.046,
12,1 season,,NYA,ABA,,24.0,645.0,9.9,0.474,0.015,0.402,,,5.3,17.6,20.4,22.2,,0.2,0.3,0.6,0.042,
13,1 season,,PTP,ABA,,17.0,380.0,8.5,0.504,0.038,0.394,,,4.4,18.9,27.6,20.2,,0.3,0.3,0.6,0.078,
