,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1968-69,22.0,BOS,NBA,C,31.0,163.0,9.0,0.401,,0.303,,,,5.9,,,,-0.3,0.3,0.1,0.022,
1,1969-70,23.0,BOS,NBA,C,65.0,898.0,10.5,0.485,,0.194,,,,4.8,,,,0.3,0.9,1.2,0.062,
2,1970-71,24.0,TOT,TOT,"C,PF",39.0,555.0,13.0,0.519,0.0,0.276,,,12.8,4.5,11.2,16.2,,0.5,0.4,0.9,0.08,
3,1970-71,24.0,TOT,ABA,"C,PF",38.0,542.0,12.8,0.512,0.0,0.283,,,12.7,4.6,11.2,16.2,,0.4,0.4,0.8,0.073,
4,1970-71,24.0,BOS,NBA,C,1.0,13.0,22.2,0.8,,0.0,,,16.6,0.0,,,,0.1,0.0,0.1,0.406,
5,1970-71,24.0,FLO,ABA,C,7.0,117.0,9.0,0.579,0.0,0.25,,,12.4,5.6,29.5,14.0,,0.2,0.1,0.3,0.104,
6,1970-71,24.0,CAR,ABA,PF,25.0,395.0,13.4,0.5,0.0,0.272,,,12.6,3.6,6.6,16.6,,0.2,0.3,0.5,0.061,
7,1970-71,24.0,PTC,ABA,C,6.0,30.0,20.5,0.512,0.0,0.5,,,15.5,13.1,12.0,19.4,,0.0,0.0,0.1,0.099,
8,Career,,,TOT,,135.0,1616.0,11.2,0.485,0.0,0.232,,,12.8,4.8,11.2,16.2,,0.5,1.6,2.2,0.064,
9,,,,NBA,,97.0,1074.0,10.4,0.473,,0.21,,,16.6,4.9,,,,0.1,1.2,1.3,0.06,
10,,,,ABA,,38.0,542.0,12.8,0.512,0.0,0.283,,,12.7,4.6,11.2,16.2,,0.4,0.4,0.8,0.073,
11,,,,,,,,,,,,,,,,,,,,,,,
12,3 seasons,,BOS,NBA,,97.0,1074.0,10.4,0.473,,0.21,,,16.6,4.9,,,,0.1,1.2,1.3,0.06,
13,1 season,,CAR,ABA,,25.0,395.0,13.4,0.5,0.0,0.272,,,12.6,3.6,6.6,16.6,,0.2,0.3,0.5,0.061,
14,1 season,,FLO,ABA,,7.0,117.0,9.0,0.579,0.0,0.25,,,12.4,5.6,29.5,14.0,,0.2,0.1,0.3,0.104,
15,1 season,,PTC,ABA,,6.0,30.0,20.5,0.512,0.0,0.5,,,15.5,13.1,12.0,19.4,,0.0,0.0,0.1,0.099,
