,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1968-69,22.0,TOT,NBA,C,34.0,272.0,11.9,0.457,,0.236,,,,7.9,,,,,0.0,0.2,0.2,0.038,
1,1968-69,22.0,DET,NBA,C,16.0,123.0,11.6,0.467,,0.213,,,,9.7,,,,,0.0,0.1,0.1,0.037,
2,1968-69,22.0,MIL,NBA,C,18.0,149.0,12.2,0.45,,0.254,,,,6.4,,,,,0.0,0.1,0.1,0.038,
3,1969-70,23.0,TOT,TOT,C,69.0,1484.0,17.7,0.519,0.0,0.32,,,17.9,9.0,,17.1,21.4,,2.0,2.4,4.4,0.143,
4,1969-70,23.0,BOS,NBA,C,6.0,18.0,6.5,0.51,,0.4,,,,13.7,,,,,0.0,0.0,0.0,0.107,
5,1969-70,23.0,CAR,ABA,C,63.0,1466.0,17.8,0.519,0.0,0.319,,,17.9,9.0,,17.1,21.4,,2.0,2.4,4.4,0.144,
6,1970-71,24.0,FLO,ABA,C,51.0,642.0,14.1,0.533,0.0,0.249,,,18.6,6.4,,17.6,18.8,,0.8,0.6,1.4,0.107,
7,1971-72,25.0,DLC,ABA,C,33.0,524.0,9.9,0.536,0.0,0.347,8.8,21.2,14.9,6.3,,19.3,11.1,,0.4,0.8,1.2,0.109,
8,Career,,,TOT,,187.0,2922.0,14.9,0.517,0.0,0.298,8.8,21.2,17.5,7.8,,17.4,18.8,,3.2,4.0,7.3,0.119,
9,,,,ABA,,147.0,2632.0,15.3,0.524,0.0,0.304,8.8,21.2,17.5,7.8,,17.4,18.8,,3.2,3.8,7.0,0.128,
10,,,,NBA,,40.0,290.0,11.6,0.46,,0.243,,,,8.3,,,,,0.0,0.2,0.3,0.042,
11,,,,,,,,,,,,,,,,,,,,,,,,
12,1 season,,CAR,ABA,,63.0,1466.0,17.8,0.519,0.0,0.319,,,17.9,9.0,,17.1,21.4,,2.0,2.4,4.4,0.144,
13,1 season,,FLO,ABA,,51.0,642.0,14.1,0.533,0.0,0.249,,,18.6,6.4,,17.6,18.8,,0.8,0.6,1.4,0.107,
14,1 season,,DLC,ABA,,33.0,524.0,9.9,0.536,0.0,0.347,8.8,21.2,14.9,6.3,,19.3,11.1,,0.4,0.8,1.2,0.109,
15,1 season,,MIL,NBA,,18.0,149.0,12.2,0.45,,0.254,,,,6.4,,,,,0.0,0.1,0.1,0.038,
16,1 season,,DET,NBA,,16.0,123.0,11.6,0.467,,0.213,,,,9.7,,,,,0.0,0.1,0.1,0.037,
17,1 season,,BOS,NBA,,6.0,18.0,6.5,0.51,,0.4,,,,13.7,,,,,0.0,0.0,0.0,0.107,
