,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1968-69,22.0,SEA,NBA,SG,80.0,2556.0,9.0,0.426,0.238,,,,13.8,,-1.6,1.2,-0.4,-0.007,
1,1969-70,23.0,TOT,NBA,SG,81.0,1553.0,9.3,0.419,0.185,,,,20.0,,-2.0,0.6,-1.4,-0.044,
2,1969-70,23.0,SEA,NBA,SG,5.0,178.0,7.6,0.39,0.123,,,,14.4,,-0.3,0.1,-0.2,-0.066,
3,1969-70,23.0,PHO,NBA,SG,76.0,1375.0,9.5,0.423,0.192,,,,20.7,,-1.7,0.5,-1.2,-0.041,
4,1970-71,24.0,PHO,NBA,PG,56.0,952.0,11.5,0.437,0.233,,,4.8,20.5,,-0.6,1.1,0.4,0.021,
5,1971-72,25.0,PHO,NBA,SG,21.0,145.0,4.8,0.347,0.3,,,4.3,16.6,,-0.5,0.1,-0.4,-0.119,
6,Career,,,NBA,,238.0,5206.0,9.4,0.424,0.223,,,4.8,17.0,,-4.7,3.0,-1.7,-0.016,
7,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,PHO,NBA,,153.0,2472.0,10.0,0.424,0.215,,,4.8,20.4,,-2.8,1.7,-1.1,-0.022,
9,2 seasons,,SEA,NBA,,85.0,2734.0,8.9,0.424,0.231,,,,13.9,,-1.9,1.3,-0.6,-0.011,
