,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1963-64,21.0,DET,NBA,C,39.0,1158.0,12.4,0.426,,0.213,,,,,,,,-0.6,0.6,0.0,0.0,
1,1964-65,22.0,DET,NBA,C,78.0,2699.0,13.0,0.435,,0.212,,,,8.9,,,,-0.4,3.5,3.1,0.056,
2,1966-67,24.0,DET,NBA,C,74.0,1367.0,12.0,0.475,,0.269,,,,8.9,,,,0.5,2.0,2.6,0.09,
3,1967-68,25.0,TOT,TOT,C,39.0,1145.0,14.5,0.457,0.003,0.319,,,17.9,8.8,17.9,19.1,,0.3,1.3,1.6,0.066,
4,1967-68,25.0,CHI,NBA,C,14.0,305.0,8.0,0.38,,0.465,,,,7.4,,,,-0.4,0.4,0.0,-0.002,
5,1967-68,25.0,INA,ABA,C,25.0,840.0,16.9,0.475,0.003,0.287,,,17.9,9.4,17.9,19.1,,0.6,1.0,1.6,0.091,
6,Career,,,TOT,,230.0,6369.0,12.9,0.444,0.0,0.241,,,17.9,8.9,17.9,19.1,,-0.2,7.5,7.3,0.055,
7,,,,NBA,,205.0,5529.0,12.3,0.439,,0.233,,,,8.8,,,,-0.8,6.5,5.7,0.049,
8,,,,ABA,,25.0,840.0,16.9,0.475,0.003,0.287,,,17.9,9.4,17.9,19.1,,0.6,1.0,1.6,0.091,
9,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,DET,NBA,,191.0,5224.0,12.6,0.441,,0.224,,,,8.9,,,,-0.5,6.2,5.7,0.052,
11,1 season,,INA,ABA,,25.0,840.0,16.9,0.475,0.003,0.287,,,17.9,9.4,17.9,19.1,,0.6,1.0,1.6,0.091,
12,1 season,,CHI,NBA,,14.0,305.0,8.0,0.38,,0.465,,,,7.4,,,,-0.4,0.4,0.0,-0.002,
