,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1965-66,23.0,BAL,NBA,PG,8.0,98.0,10.2,0.47,,0.256,,,,12.2,,,,0.1,0.1,0.1,0.056,
1,1967-68,25.0,HSM,ABA,PG,61.0,2334.0,20.5,0.533,0.103,0.441,,,5.7,15.5,11.6,22.9,,6.6,2.8,9.4,0.193,
2,1968-69,26.0,TOT,ABA,PG,74.0,3118.0,16.3,0.498,0.092,0.386,,,4.6,14.0,10.9,23.0,,3.3,1.9,5.3,0.081,
3,1968-69,26.0,HSM,ABA,PG,43.0,1793.0,16.5,0.495,0.088,0.449,,,4.7,14.8,10.7,23.0,,1.8,1.4,3.2,0.085,
4,1968-69,26.0,NYA,ABA,PG,31.0,1325.0,16.2,0.501,0.097,0.304,,,4.6,12.9,11.0,23.1,,1.5,0.6,2.1,0.076,
5,Career,,,TOT,,143.0,5550.0,18.0,0.511,0.095,0.406,,,5.1,14.6,11.2,23.0,,10.0,4.8,14.8,0.128,
6,,,,ABA,,135.0,5452.0,18.1,0.512,0.096,0.409,,,5.1,14.6,11.2,23.0,,9.9,4.7,14.7,0.129,
7,,,,NBA,,8.0,98.0,10.2,0.47,,0.256,,,,12.2,,,,0.1,0.1,0.1,0.056,
8,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,HSM,ABA,,104.0,4127.0,18.7,0.516,0.096,0.445,,,5.2,15.2,11.2,22.9,,8.4,4.2,12.6,0.146,
10,1 season,,NYA,ABA,,31.0,1325.0,16.2,0.501,0.097,0.304,,,4.6,12.9,11.0,23.1,,1.5,0.6,2.1,0.076,
11,1 season,,BAL,NBA,,8.0,98.0,10.2,0.47,,0.256,,,,12.2,,,,0.1,0.1,0.1,0.056,
