,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1967-68,24.0,ANA,ABA,PF,54.0,1816.0,18.1,0.501,0.009,0.466,,,13.6,6.3,,,12.3,20.7,,2.8,0.6,3.4,0.09,
1,1968-69,25.0,LAS,ABA,PF,78.0,2406.0,16.1,0.551,0.003,0.609,,,14.7,7.7,,,16.9,16.5,,4.1,1.7,5.8,0.116,
2,1969-70,26.0,TOT,ABA,PF,80.0,2647.0,17.0,0.556,0.003,0.485,,,14.8,12.4,,,20.8,18.2,,5.0,3.1,8.1,0.146,
3,1969-70,26.0,LAS,ABA,PF,46.0,1502.0,17.6,0.554,0.002,0.414,,,14.6,10.1,,,18.9,20.1,,3.1,1.8,4.9,0.155,
4,1969-70,26.0,PTP,ABA,PF,34.0,1145.0,16.3,0.558,0.007,0.618,,,15.1,15.5,,,23.9,15.8,,1.9,1.3,3.2,0.134,
5,1970-71,27.0,FLO,ABA,PF,76.0,1995.0,14.1,0.504,0.003,0.437,,,15.0,11.4,,,17.6,18.6,,1.4,1.8,3.2,0.076,
6,1971-72,28.0,TOT,ABA,PF,86.0,2331.0,13.6,0.529,0.003,0.427,9.2,18.0,13.3,10.1,,,18.3,16.1,,2.3,3.3,5.7,0.116,
7,1971-72,28.0,CAR,ABA,PF,41.0,1348.0,13.3,0.52,0.002,0.351,8.9,16.8,12.7,9.4,,,17.5,17.8,,1.2,1.4,2.6,0.094,
8,1971-72,28.0,MMP,ABA,PF,45.0,983.0,13.9,0.546,0.004,0.574,9.5,19.8,14.3,11.0,,,19.7,13.8,,1.1,1.9,3.0,0.147,
9,1972-73,29.0,MMT,ABA,SF,73.0,1895.0,13.5,0.562,0.0,0.456,7.6,19.0,13.2,10.1,,,17.7,14.8,,2.6,0.8,3.4,0.086,
10,Career,,,ABA,,447.0,13090.0,15.4,0.533,0.004,0.482,8.5,18.4,14.1,9.8,,,17.4,17.4,,18.2,11.3,29.5,0.108,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,3 seasons,,"ANA,LAS",ABA,,178.0,5724.0,17.1,0.534,0.005,0.502,,,14.3,7.9,,,15.8,18.8,,10.0,4.1,14.1,0.118,
13,2 seasons,,"MMP,MMT",ABA,,118.0,2878.0,13.7,0.557,0.001,0.494,8.3,19.2,13.6,10.4,,,18.4,14.5,,3.7,2.7,6.4,0.107,
14,1 season,,FLO,ABA,,76.0,1995.0,14.1,0.504,0.003,0.437,,,15.0,11.4,,,17.6,18.6,,1.4,1.8,3.2,0.076,
15,1 season,,CAR,ABA,,41.0,1348.0,13.3,0.52,0.002,0.351,8.9,16.8,12.7,9.4,,,17.5,17.8,,1.2,1.4,2.6,0.094,
16,1 season,,PTP,ABA,,34.0,1145.0,16.3,0.558,0.007,0.618,,,15.1,15.5,,,23.9,15.8,,1.9,1.3,3.2,0.134,
