,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1967-68,22.0,SDR,NBA,SG,80.0,1263.0,10.3,0.419,0.306,,,,15.5,,,,-1.5,0.9,-0.6,-0.023,,,,,
1,1968-69,23.0,SDR,NBA,SG,56.0,1027.0,11.6,0.443,0.269,,,,18.0,,,,-0.2,1.2,1.0,0.048,,,,,
2,1969-70,24.0,SDR,NBA,SF,36.0,474.0,11.6,0.465,0.306,,,,21.9,,,,0.0,0.7,0.6,0.065,,,,,
3,1970-71,25.0,LAL,NBA,SG,54.0,506.0,12.3,0.455,0.343,,,4.8,19.3,,,,-0.1,0.4,0.3,0.027,,,,,
4,1971-72,26.0,LAL,NBA,SG,67.0,926.0,11.8,0.474,0.168,,,6.1,10.4,,,,0.2,1.1,1.3,0.067,,,,,
5,1972-73,27.0,LAL,NBA,SG,55.0,801.0,11.3,0.468,0.21,,,3.7,13.7,,,,0.2,0.8,1.0,0.06,,,,,
6,1973-74,28.0,LAL,NBA,SG,72.0,1361.0,12.3,0.468,0.216,2.7,5.8,4.3,15.9,1.7,0.1,,0.2,0.9,1.1,0.04,,-2.7,-1.2,-3.9,-0.6
7,1974-75,29.0,LAL,NBA,SF,46.0,1016.0,12.4,0.45,0.178,2.4,5.6,4.0,18.5,1.6,0.2,,-0.2,0.3,0.0,0.002,,-2.7,-1.8,-4.5,-0.6
8,1975-76,30.0,TOT,NBA,SG,62.0,813.0,7.6,0.431,0.256,2.1,4.5,3.3,9.8,1.2,0.4,,-0.7,0.4,-0.3,-0.019,,-4.8,-1.6,-6.5,-0.9
9,1975-76,30.0,LAL,NBA,SG,2.0,23.0,7.4,0.384,0.231,4.3,8.1,6.3,0.0,1.9,2.1,,-0.1,0.0,0.0,-0.093,,-4.6,-0.2,-4.8,0.0
10,1975-76,30.0,PHO,NBA,SG,60.0,790.0,7.6,0.434,0.257,2.1,4.4,3.2,10.0,1.2,0.3,,-0.6,0.4,-0.3,-0.017,,-4.8,-1.7,-6.5,-0.9
11,Career,,,NBA,,528.0,8187.0,11.3,0.451,0.242,2.4,5.4,4.4,15.5,1.5,0.2,,-2.1,6.6,4.5,0.026,,-3.2,-1.5,-4.7,-2.2
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6 seasons,,LAL,NBA,,296.0,4633.0,12.0,0.463,0.211,2.6,5.7,4.5,15.3,1.7,0.2,,0.3,3.4,3.7,0.038,,-2.7,-1.4,-4.1,-1.3
14,3 seasons,,SDR,NBA,,172.0,2764.0,11.0,0.434,0.292,,,,17.5,,,,-1.8,2.8,1.1,0.019,,,,,
15,1 season,,PHO,NBA,,60.0,790.0,7.6,0.434,0.257,2.1,4.4,3.2,10.0,1.2,0.3,,-0.6,0.4,-0.3,-0.017,,-4.8,-1.7,-6.5,-0.9
