,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1965-66,23.0,SFW,NBA,SF,56.0,722.0,13.9,0.434,0.229,,,,5.3,,-0.4,0.9,0.5,0.034,
1,1966-67,24.0,SFW,NBA,PF,77.0,2123.0,12.4,0.453,0.254,,,,6.6,,-0.2,3.0,2.9,0.065,
2,1967-68,25.0,SFW,NBA,SF,77.0,2394.0,15.8,0.488,0.368,,,,7.9,,2.3,2.8,5.1,0.102,
3,1968-69,26.0,TOT,NBA,SF,84.0,2276.0,15.6,0.503,0.341,,,,7.0,,3.2,1.3,4.5,0.095,
4,1968-69,26.0,MIL,NBA,SF,53.0,1591.0,15.7,0.484,0.332,,,,7.5,,1.5,1.2,2.6,0.079,
5,1968-69,26.0,CIN,NBA,SF,31.0,685.0,15.2,0.552,0.366,,,,6.1,,1.8,0.1,1.9,0.13,
6,1969-70,27.0,PHI,NBA,SF,63.0,757.0,14.6,0.531,0.263,,,,7.4,,1.1,0.9,2.0,0.127,
7,1970-71,28.0,LAL,NBA,SF,59.0,613.0,12.4,0.486,0.301,,,10.9,7.9,,0.4,0.5,0.9,0.07,
8,Career,,,NBA,,416.0,8885.0,14.5,0.482,0.311,,,10.9,7.1,,6.4,9.5,15.9,0.086,
9,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,SFW,NBA,,210.0,5239.0,14.2,0.468,0.306,,,,7.0,,1.7,6.8,8.5,0.078,
11,1 season,,PHI,NBA,,63.0,757.0,14.6,0.531,0.263,,,,7.4,,1.1,0.9,2.0,0.127,
12,1 season,,LAL,NBA,,59.0,613.0,12.4,0.486,0.301,,,10.9,7.9,,0.4,0.5,0.9,0.07,
13,1 season,,MIL,NBA,,53.0,1591.0,15.7,0.484,0.332,,,,7.5,,1.5,1.2,2.6,0.079,
14,1 season,,CIN,NBA,,31.0,685.0,15.2,0.552,0.366,,,,6.1,,1.8,0.1,1.9,0.13,
