,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,20.0,BOS,BAA,,21.0,,,0.3,0.178,,,,,,-1.6,0.9,-0.6,,
1,1949-50,21.0,TOT,NBA,,61.0,,,0.29,0.209,,,,,,-3.2,0.7,-2.5,,
2,1949-50,21.0,BOS,NBA,,37.0,,,0.294,0.211,,,,,,-1.9,0.6,-1.3,,
3,1949-50,21.0,STB,NBA,,24.0,,,0.281,0.207,,,,,,-1.3,0.1,-1.2,,
4,Career,,,TOT,,82.0,,,0.294,0.196,,,,,,-4.8,1.6,-3.1,,
5,,,,NBA,,61.0,,,0.29,0.209,,,,,,-3.2,0.7,-2.5,,
6,,,,BAA,,21.0,,,0.3,0.178,,,,,,-1.6,0.9,-0.6,,
7,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,BOS,BAA,,58.0,,,0.298,0.193,,,,,,-3.4,1.5,-1.9,,
9,1 season,,STB,NBA,,24.0,,,0.281,0.207,,,,,,-1.3,0.1,-1.2,,
