,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1967-68,22.0,SDR,NBA,PG,42.0,603.0,9.9,0.433,,0.297,,,,19.4,,,,,,-0.3,0.5,0.2,0.013,
1,1968-69,23.0,TOT,ABA,,7.0,81.0,0.3,0.326,0.071,0.214,,,4.6,9.9,,,16.4,17.0,,-0.2,0.0,-0.2,-0.103,
2,1968-69,23.0,DLC,ABA,,4.0,60.0,-1.6,0.309,0.1,0.3,,,3.8,11.2,,,20.9,18.1,,-0.2,0.0,-0.2,-0.123,
3,1968-69,23.0,MMF,ABA,,3.0,21.0,5.9,0.375,0.0,0.0,,,6.7,6.3,,,0.0,13.8,,0.0,0.0,0.0,-0.048,
4,1970-71,25.0,SFW,NBA,SG,81.0,1183.0,11.4,0.476,,0.289,,,4.1,13.9,,,,,,0.5,0.7,1.3,0.051,
5,1971-72,26.0,GSW,NBA,SG,65.0,478.0,9.7,0.482,,0.311,,,3.6,13.2,,,,,,0.2,0.5,0.7,0.073,
6,1972-73,27.0,DLC,ABA,PG,3.0,16.0,2.9,0.429,0.0,0.375,6.1,0.0,3.2,9.3,,,17.7,27.6,,0.0,0.0,0.0,-0.071,
7,Career,,,TOT,,198.0,2361.0,10.2,0.462,0.002,0.294,6.1,0.0,4.0,15.0,,,16.7,18.7,,0.2,1.7,1.9,0.04,
8,,,,NBA,,188.0,2264.0,10.6,0.467,,0.295,,,4.0,15.2,,,,,,0.5,1.7,2.1,0.046,
9,,,,ABA,,10.0,97.0,0.7,0.35,0.056,0.25,6.1,0.0,4.3,9.8,,,16.7,18.7,,-0.2,0.0,-0.2,-0.098,
10,,,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,"SFW,GSW",NBA,,146.0,1661.0,10.9,0.478,,0.295,,,4.0,13.7,,,,,,0.8,1.2,2.0,0.057,
12,1 season,,SDR,NBA,,42.0,603.0,9.9,0.433,,0.297,,,,19.4,,,,,,-0.3,0.5,0.2,0.013,
13,2 seasons,,DLC,ABA,,7.0,76.0,-0.7,0.344,0.071,0.321,6.1,0.0,3.7,10.8,,,20.0,20.1,,-0.2,0.0,-0.2,-0.112,
14,1 season,,MMF,ABA,,3.0,21.0,5.9,0.375,0.0,0.0,,,6.7,6.3,,,0.0,13.8,,0.0,0.0,0.0,-0.048,
