Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,25-359,BOS,PHI,1.0,38.56666666666667,14.0,24.0,0.583,4.0,12.0,0.333,3.0,3.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,4.0,1.0,35.0,24.4,7.0,12.0,10.0,0.8333333333333334,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,12.0,66.0,3.882352941176471,23.200000000000006,73.30000000000001,4.311764705882354,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,W (+9),W (+9)
2.0,2.0,2022-10-21,25-362,BOS,MIA,1.0,34.016666666666666,12.0,18.0,0.667,2.0,3.0,0.667,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,28.0,22.3,-4.0,15.0,10.0,0.6666666666666666,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,16.0,70.0,4.117647058823529,21.5,71.59999999999998,4.211764705882352,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,W (+7),W (+7)
3.0,3.0,2022-10-22,25-363,BOS,ORL,1.0,37.5,4.0,16.0,0.25,1.0,6.0,0.167,3.0,4.0,0.75,1.0,8.0,9.0,4.0,1.0,1.0,2.0,1.0,12.0,7.2,14.0,10.0,3.0,0.3,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,5.0,89.0,5.235294117647059,6.0,107.6,6.329411764705882,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,W (+6),W (+6)
4.0,4.0,2022-10-24,26-000,BOS,CHI,1.0,35.38333333333333,8.0,23.0,0.348,2.0,7.0,0.286,3.0,4.0,0.75,3.0,3.0,6.0,2.0,0.0,2.0,1.0,4.0,21.0,10.9,-10.0,16.0,6.0,0.375,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,3.0,76.0,4.470588235294118,9.699999999999996,72.3,4.252941176470588,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,L (-18),L (-18)
5.0,5.0,2022-10-28,26-004,BOS,CLE,1.0,42.8,11.0,22.0,0.5,2.0,7.0,0.286,8.0,12.0,0.667,0.0,8.0,8.0,4.0,2.0,0.0,6.0,3.0,32.0,19.4,-21.0,15.0,9.0,0.6,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,6.0,61.0,3.588235294117647,16.199999999999996,75.10000000000001,4.41764705882353,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,L (-9),L (-9)
6.0,6.0,2022-10-30,26-006,BOS,WAS,1.0,29.966666666666665,7.0,18.0,0.389,4.0,9.0,0.444,6.0,6.0,1.0,0.0,10.0,10.0,2.0,0.0,0.0,2.0,1.0,24.0,16.2,13.0,9.0,3.0,0.3333333333333333,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,10.0,74.0,4.352941176470588,13.800000000000002,73.10000000000001,4.300000000000001,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,W (+18),W (+18)
7.0,7.0,2022-11-02,26-009,BOS,CLE,1.0,44.6,10.0,26.0,0.385,3.0,10.0,0.3,7.0,7.0,1.0,2.0,6.0,8.0,4.0,1.0,0.0,3.0,5.0,30.0,17.8,7.0,16.0,7.0,0.4375,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,7.0,70.0,4.117647058823529,14.999999999999991,66.80000000000001,3.929411764705883,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,L (-1),L (-1)
8.0,8.0,2022-11-04,26-011,BOS,CHI,1.0,33.833333333333336,6.0,14.0,0.429,0.0,3.0,0.0,4.0,5.0,0.8,1.0,4.0,5.0,2.0,0.0,0.0,3.0,2.0,16.0,7.7,-13.0,11.0,6.0,0.5454545454545454,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,1.0,64.0,3.764705882352941,6.099999999999996,79.30000000000001,4.6647058823529415,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,W (+4),W (+4)
9.0,9.0,2022-11-05,26-012,BOS,NYK,1.0,37.31666666666667,10.0,19.0,0.526,6.0,11.0,0.545,4.0,4.0,1.0,2.0,3.0,5.0,3.0,0.0,0.0,1.0,5.0,30.0,22.1,-5.0,8.0,4.0,0.5,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,14.0,79.0,4.647058823529412,20.5,90.0,5.294117647058823,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,W (+15),W (+15)
10.0,10.0,2022-11-07,26-014,BOS,MEM,1.0,38.266666666666666,8.0,20.0,0.4,1.0,6.0,0.167,4.0,5.0,0.8,0.0,9.0,9.0,2.0,1.0,0.0,7.0,4.0,21.0,6.3,-6.0,14.0,7.0,0.5,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,1.0,87.0,5.117647058823529,4.6999999999999975,99.9,5.876470588235295,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,W (+3),W (+3)
11.0,11.0,2022-11-09,26-016,BOS,DET,1.0,30.016666666666666,11.0,19.0,0.579,2.0,6.0,0.333,6.0,7.0,0.857,2.0,5.0,7.0,3.0,1.0,0.0,0.0,0.0,30.0,26.7,25.0,13.0,9.0,0.6923076923076923,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,15.0,77.0,4.529411764705882,24.3,78.3,4.605882352941176,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,W (+16),W (+16)
12.0,12.0,2022-11-11,26-018,BOS,DEN,1.0,34.78333333333333,11.0,15.0,0.733,3.0,4.0,0.75,0.0,0.0,,0.0,8.0,8.0,8.0,0.0,0.0,3.0,3.0,25.0,22.7,8.0,11.0,8.0,0.7272727272727273,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,23.0,78.0,4.588235294117647,22.7,89.79999999999998,5.28235294117647,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,W (+19),W (+19)
13.0,,2022-11-12,26-019,BOS,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,55,30,67,64,61,8,20,55,57,53,1,21,35,25,65,63.0,41.0,,82.0,79.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.873015873015873,0.7317073170731707,,0.8170731707317073,0.810126582278481,0.8243243243243243,0.6666666666666666,0.8695652173913043,0.7971014492753623,0.8507462686567164,0.8688524590163934,0.25,0.9130434782608696,0.7291666666666666,0.7142857142857143,0.8125,2,15,72.0,5.0,63.0,0.0,0.4,0.238095238095238,17,,82.0,4.823529411764706,0.0,99.6,5.858823529411764,19.1,5.0,1.3,1.5,-0.2,0.1844690311239789,0.581,0.352,0.249,2.0,1.6,W (+9),W (+9)
