Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,24-314,BOS,PHI,0,3.3166666666666664,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4,+3,0.0,0.0,,61,40,80,77,65,73,12,23,67,65,59,4,23,47,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,0.9682539682539684,0.975609756097561,,0.975609756097561,0.9746835443037974,0.9701492537313432,0.9864864864864864,1.0,1.0,0.9710144927536232,0.9701492537313432,0.9672131147540984,1.0,1.0,0.9791666666666666,0.9428571428571428,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,0.0,78.0,4.588235294117647,-0.4,96.90000000000002,5.700000000000001,12.7,3.4,1.0,0.6,0.4,0.0529417847171957,0.634,0.846,0.043,1.0,1.8,W (+9),W (+9)
2.0,2.0,2022-10-21,24-317,BOS,MIA,0,12.916666666666666,2.0,3.0,.667,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,4.9,+12,0.0,0.0,,61,40,80,77,65,73,12,23,67,65,59,4,23,47,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,0.9682539682539684,0.975609756097561,,0.975609756097561,0.9746835443037974,0.9701492537313432,0.9864864864864864,1.0,1.0,0.9710144927536232,0.9701492537313432,0.9672131147540984,1.0,1.0,0.9791666666666666,0.9428571428571428,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,4.0,82.0,4.823529411764706,4.9,88.2,5.188235294117647,12.7,3.4,1.0,0.6,0.4,0.0529417847171957,0.634,0.846,0.043,1.0,1.8,W (+7),W (+7)
3.0,3.0,2022-10-22,24-318,BOS,ORL,0,6.766666666666667,3.0,4.0,.750,3.0,4.0,.750,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,+2,0.0,0.0,,61,40,80,77,65,73,12,23,67,65,59,4,23,47,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,0.9682539682539684,0.975609756097561,,0.975609756097561,0.9746835443037974,0.9701492537313432,0.9864864864864864,1.0,1.0,0.9710144927536232,0.9701492537313432,0.9672131147540984,1.0,1.0,0.9791666666666666,0.9428571428571428,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,7.0,87.0,5.117647058823529,7.999999999999999,105.6,6.211764705882352,12.7,3.4,1.0,0.6,0.4,0.0529417847171957,0.634,0.846,0.043,1.0,1.8,W (+6),W (+6)
4.0,4.0,2022-10-24,24-320,BOS,CHI,0,11.116666666666667,1.0,4.0,.250,1.0,4.0,.250,1,2.0,.500,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.9,-11,0.0,0.0,,61,40,80,77,65,73,12,23,67,65,59,4,23,47,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,0.9682539682539684,0.975609756097561,,0.975609756097561,0.9746835443037974,0.9701492537313432,0.9864864864864864,1.0,1.0,0.9710144927536232,0.9701492537313432,0.9672131147540984,1.0,1.0,0.9791666666666666,0.9428571428571428,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,1.0,78.0,4.588235294117647,2.500000000000001,79.5,4.676470588235294,12.7,3.4,1.0,0.6,0.4,0.0529417847171957,0.634,0.846,0.043,1.0,1.8,L (-18),L (-18)
5.0,5.0,2022-10-28,24-324,BOS,CLE,0,11.716666666666669,2.0,3.0,.667,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,2.6,+23,1.0,1.0,1.0,61,40,80,77,65,73,12,23,67,65,59,4,23,47,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,0.9682539682539684,0.975609756097561,,0.975609756097561,0.9746835443037974,0.9701492537313432,0.9864864864864864,1.0,1.0,0.9710144927536232,0.9701492537313432,0.9672131147540984,1.0,1.0,0.9791666666666666,0.9428571428571428,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,2.0,65.0,3.823529411764706,2.6,88.69999999999999,5.217647058823529,12.7,3.4,1.0,0.6,0.4,0.0529417847171957,0.634,0.846,0.043,1.0,1.8,L (-9),L (-9)
6.0,6.0,2022-10-30,24-326,BOS,WAS,0,22.85,3.0,5.0,.600,3.0,5.0,.600,0,0.0,,0.0,5.0,5.0,2.0,1.0,1.0,0.0,1.0,9.0,10.9,+11,0.0,0.0,,61,40,80,77,65,73,12,23,67,65,59,4,23,47,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,0.9682539682539684,0.975609756097561,,0.975609756097561,0.9746835443037974,0.9701492537313432,0.9864864864864864,1.0,1.0,0.9710144927536232,0.9701492537313432,0.9672131147540984,1.0,1.0,0.9791666666666666,0.9428571428571428,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,13.0,71.0,4.176470588235294,10.9,76.0,4.470588235294118,12.7,3.4,1.0,0.6,0.4,0.0529417847171957,0.634,0.846,0.043,1.0,1.8,W (+18),W (+18)
7.0,7.0,2022-11-02,24-329,BOS,CLE,0,10.033333333333331,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.9,-9,0.0,0.0,,61,40,80,77,65,73,12,23,67,65,59,4,23,47,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,0.9682539682539684,0.975609756097561,,0.975609756097561,0.9746835443037974,0.9701492537313432,0.9864864864864864,1.0,1.0,0.9710144927536232,0.9701492537313432,0.9672131147540984,1.0,1.0,0.9791666666666666,0.9428571428571428,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,-1.0,78.0,4.588235294117647,-1.9,83.69999999999999,4.923529411764705,12.7,3.4,1.0,0.6,0.4,0.0529417847171957,0.634,0.846,0.043,1.0,1.8,L (-1),L (-1)
8.0,8.0,2022-11-04,24-331,BOS,CHI,0,18.15,3.0,6.0,.500,2.0,4.0,.500,0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,+19,2.0,1.0,0.5,61,40,80,77,65,73,12,23,67,65,59,4,23,47,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,0.9682539682539684,0.975609756097561,,0.975609756097561,0.9746835443037974,0.9701492537313432,0.9864864864864864,1.0,1.0,0.9710144927536232,0.9701492537313432,0.9672131147540984,1.0,1.0,0.9791666666666666,0.9428571428571428,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,6.0,59.0,3.4705882352941178,7.0,78.4,4.611764705882353,12.7,3.4,1.0,0.6,0.4,0.0529417847171957,0.634,0.846,0.043,1.0,1.8,W (+4),W (+4)
9.0,9.0,2022-11-05,24-332,BOS,NYK,0,21.1,6.0,9.0,.667,5.0,8.0,.625,0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,17.0,15.0,+14,1.0,1.0,1.0,61,40,80,77,65,73,12,23,67,65,59,4,23,47,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,0.9682539682539684,0.975609756097561,,0.975609756097561,0.9746835443037974,0.9701492537313432,0.9864864864864864,1.0,1.0,0.9710144927536232,0.9701492537313432,0.9672131147540984,1.0,1.0,0.9791666666666666,0.9428571428571428,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,13.0,80.0,4.705882352941177,14.999999999999996,95.5,5.617647058823529,12.7,3.4,1.0,0.6,0.4,0.0529417847171957,0.634,0.846,0.043,1.0,1.8,W (+15),W (+15)
10.0,10.0,2022-11-07,24-334,BOS,MEM,0,11.033333333333331,1.0,2.0,.500,1.0,2.0,.500,2,2.0,1.000,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,5.6,+9,0.0,0.0,,61,40,80,77,65,73,12,23,67,65,59,4,23,47,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,0.9682539682539684,0.975609756097561,,0.975609756097561,0.9746835443037974,0.9701492537313432,0.9864864864864864,1.0,1.0,0.9710144927536232,0.9701492537313432,0.9672131147540984,1.0,1.0,0.9791666666666666,0.9428571428571428,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,4.0,84.0,4.941176470588236,4.8,99.8,5.870588235294117,12.7,3.4,1.0,0.6,0.4,0.0529417847171957,0.634,0.846,0.043,1.0,1.8,W (+3),W (+3)
