Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,29-311,BOS,PHI,0.0,23.866666666666667,7.0,11.0,0.636,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,1.0,2.0,16.0,15.1,9.0,9.0,7.0,0.7777777777777778,52,33,67,64,57,60,5,20,56,52,1,20,37,29,65,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8253968253968254,0.8048780487804879,,0.8170731707317073,0.810126582278481,0.8507462686567164,0.8108108108108109,0.4166666666666667,0.8695652173913043,0.8115942028985508,0.8524590163934426,0.25,0.8695652173913043,0.7708333333333334,0.8285714285714286,0.8125,1,14,72.0,5.0,63.0,0.0,0.2,0.2222222222222222,17,10.0,68.0,4.0,14.3,82.20000000000002,4.835294117647059,18.2,5.8,2.8,2.3,0.6,0.1034019232757729,0.615,0.406,0.251,2.1,3.6,W (+9),W (+9)
2.0,2.0,2022-10-21,29-314,BOS,MIA,0.0,24.85,2.0,9.0,0.222,1.0,3.0,0.333,2.0,2.0,1.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,2.0,7.0,3.5,7.0,6.0,1.0,0.1666666666666666,52,33,67,64,57,60,5,20,56,52,1,20,37,29,65,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8253968253968254,0.8048780487804879,,0.8170731707317073,0.810126582278481,0.8507462686567164,0.8108108108108109,0.4166666666666667,0.8695652173913043,0.8115942028985508,0.8524590163934426,0.25,0.8695652173913043,0.7708333333333334,0.8285714285714286,0.8125,1,14,72.0,5.0,63.0,0.0,0.2,0.2222222222222222,17,2.0,84.0,4.941176470588236,2.6999999999999984,90.4,5.31764705882353,18.2,5.8,2.8,2.3,0.6,0.1034019232757729,0.615,0.406,0.251,2.1,3.6,W (+7),W (+7)
3.0,3.0,2022-10-22,29-315,BOS,ORL,0.0,20.666666666666668,4.0,10.0,0.4,1.0,4.0,0.25,4.0,5.0,0.8,1.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,13.0,8.6,-2.0,6.0,3.0,0.5,52,33,67,64,57,60,5,20,56,52,1,20,37,29,65,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8253968253968254,0.8048780487804879,,0.8170731707317073,0.810126582278481,0.8507462686567164,0.8108108108108109,0.4166666666666667,0.8695652173913043,0.8115942028985508,0.8524590163934426,0.25,0.8695652173913043,0.7708333333333334,0.8285714285714286,0.8125,1,14,72.0,5.0,63.0,0.0,0.2,0.2222222222222222,17,2.0,92.0,5.411764705882353,6.999999999999998,106.6,6.270588235294118,18.2,5.8,2.8,2.3,0.6,0.1034019232757729,0.615,0.406,0.251,2.1,3.6,W (+6),W (+6)
4.0,4.0,2022-10-24,29-317,BOS,CHI,0.0,22.166666666666668,5.0,13.0,0.385,2.0,6.0,0.333,0.0,0.0,,1.0,5.0,6.0,2.0,1.0,0.0,3.0,2.0,12.0,5.7,-24.0,7.0,3.0,0.4285714285714285,52,33,67,64,57,60,5,20,56,52,1,20,37,29,65,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8253968253968254,0.8048780487804879,,0.8170731707317073,0.810126582278481,0.8507462686567164,0.8108108108108109,0.4166666666666667,0.8695652173913043,0.8115942028985508,0.8524590163934426,0.25,0.8695652173913043,0.7708333333333334,0.8285714285714286,0.8125,1,14,72.0,5.0,63.0,0.0,0.2,0.2222222222222222,17,5.0,74.0,4.352941176470588,5.6999999999999975,76.3,4.488235294117647,18.2,5.8,2.8,2.3,0.6,0.1034019232757729,0.615,0.406,0.251,2.1,3.6,L (-18),L (-18)
5.0,5.0,2022-10-28,29-321,BOS,CLE,0.0,22.266666666666666,3.0,5.0,0.6,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,0.0,1.0,3.0,9.0,9.6,-1.0,4.0,2.0,0.5,52,33,67,64,57,60,5,20,56,52,1,20,37,29,65,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8253968253968254,0.8048780487804879,,0.8170731707317073,0.810126582278481,0.8507462686567164,0.8108108108108109,0.4166666666666667,0.8695652173913043,0.8115942028985508,0.8524590163934426,0.25,0.8695652173913043,0.7708333333333334,0.8285714285714286,0.8125,1,14,72.0,5.0,63.0,0.0,0.2,0.2222222222222222,17,9.0,58.0,3.411764705882353,8.799999999999997,82.5,4.852941176470588,18.2,5.8,2.8,2.3,0.6,0.1034019232757729,0.615,0.406,0.251,2.1,3.6,L (-9),L (-9)
6.0,6.0,2022-10-30,29-323,BOS,WAS,0.0,23.316666666666663,6.0,12.0,0.5,3.0,5.0,0.6,8.0,8.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,23.0,20.4,9.0,7.0,3.0,0.4285714285714285,52,33,67,64,57,60,5,20,56,52,1,20,37,29,65,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8253968253968254,0.8048780487804879,,0.8170731707317073,0.810126582278481,0.8507462686567164,0.8108108108108109,0.4166666666666667,0.8695652173913043,0.8115942028985508,0.8524590163934426,0.25,0.8695652173913043,0.7708333333333334,0.8285714285714286,0.8125,1,14,72.0,5.0,63.0,0.0,0.2,0.2222222222222222,17,9.0,75.0,4.411764705882353,17.200000000000003,69.7,4.1000000000000005,18.2,5.8,2.8,2.3,0.6,0.1034019232757729,0.615,0.406,0.251,2.1,3.6,W (+18),W (+18)
7.0,7.0,2022-11-02,29-326,BOS,CLE,0.0,24.416666666666668,6.0,11.0,0.545,1.0,3.0,0.333,2.0,2.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,3.0,1.0,15.0,9.6,2.0,8.0,5.0,0.625,52,33,67,64,57,60,5,20,56,52,1,20,37,29,65,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8253968253968254,0.8048780487804879,,0.8170731707317073,0.810126582278481,0.8507462686567164,0.8108108108108109,0.4166666666666667,0.8695652173913043,0.8115942028985508,0.8524590163934426,0.25,0.8695652173913043,0.7708333333333334,0.8285714285714286,0.8125,1,14,72.0,5.0,63.0,0.0,0.2,0.2222222222222222,17,6.0,71.0,4.176470588235294,8.799999999999995,72.99999999999999,4.294117647058823,18.2,5.8,2.8,2.3,0.6,0.1034019232757729,0.615,0.406,0.251,2.1,3.6,L (-1),L (-1)
8.0,8.0,2022-11-04,29-328,BOS,CHI,0.0,28.83333333333333,9.0,10.0,0.9,0.0,0.0,,7.0,9.0,0.778,0.0,2.0,2.0,4.0,0.0,1.0,4.0,2.0,25.0,20.1,4.0,10.0,9.0,0.9,52,33,67,64,57,60,5,20,56,52,1,20,37,29,65,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8253968253968254,0.8048780487804879,,0.8170731707317073,0.810126582278481,0.8507462686567164,0.8108108108108109,0.4166666666666667,0.8695652173913043,0.8115942028985508,0.8524590163934426,0.25,0.8695652173913043,0.7708333333333334,0.8285714285714286,0.8125,1,14,72.0,5.0,63.0,0.0,0.2,0.2222222222222222,17,9.0,56.0,3.294117647058824,17.3,68.10000000000001,4.005882352941177,18.2,5.8,2.8,2.3,0.6,0.1034019232757729,0.615,0.406,0.251,2.1,3.6,W (+4),W (+4)
9.0,9.0,2022-11-05,29-329,BOS,NYK,0.0,28.316666666666663,5.0,14.0,0.357,2.0,5.0,0.4,2.0,2.0,1.0,0.0,5.0,5.0,5.0,2.0,0.0,1.0,1.0,14.0,11.8,20.0,9.0,3.0,0.3333333333333333,52,33,67,64,57,60,5,20,56,52,1,20,37,29,65,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8253968253968254,0.8048780487804879,,0.8170731707317073,0.810126582278481,0.8507462686567164,0.8108108108108109,0.4166666666666667,0.8695652173913043,0.8115942028985508,0.8524590163934426,0.25,0.8695652173913043,0.7708333333333334,0.8285714285714286,0.8125,1,14,72.0,5.0,63.0,0.0,0.2,0.2222222222222222,17,9.0,84.0,4.941176470588236,11.0,99.5,5.852941176470588,18.2,5.8,2.8,2.3,0.6,0.1034019232757729,0.615,0.406,0.251,2.1,3.6,W (+15),W (+15)
10.0,10.0,2022-11-07,29-331,BOS,MEM,0.0,19.466666666666665,3.0,12.0,0.25,2.0,7.0,0.286,0.0,0.0,,3.0,7.0,10.0,4.0,0.0,0.0,1.0,0.0,8.0,6.8,6.0,5.0,1.0,0.2,52,33,67,64,57,60,5,20,56,52,1,20,37,29,65,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,61.0,4.0,23.0,48.0,35.0,80.0,0.8253968253968254,0.8048780487804879,,0.8170731707317073,0.810126582278481,0.8507462686567164,0.8108108108108109,0.4166666666666667,0.8695652173913043,0.8115942028985508,0.8524590163934426,0.25,0.8695652173913043,0.7708333333333334,0.8285714285714286,0.8125,1,14,72.0,5.0,63.0,0.0,0.2,0.2222222222222222,17,9.0,79.0,4.647058823529412,6.800000000000001,97.8,5.752941176470588,18.2,5.8,2.8,2.3,0.6,0.1034019232757729,0.615,0.406,0.251,2.1,3.6,W (+3),W (+3)
