Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1,2022-10-18,28-108,BOS,PHI,1,24.03333333333333,1.0,3.0,0.333,0.0,1.0,0.0,0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,3.2,9,2.0,1.0,0.5,63,41,79,67,74,12,23,69,67,61,4,23,48,35,80,63.0,41.0,,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,5.0,73.0,4.294117647058823,3.2,93.3,5.488235294117647,15.4,7.4,2.4,1.1,1.3,0.105159755971461,0.604,0.516,0.253,2.6,4.4,W (+9),W (+9)
2.0,2,2022-10-21,28-111,BOS,MIA,1,24.65,2.0,5.0,0.4,2.0,4.0,0.5,4,4.0,1.0,0.0,7.0,7.0,1.0,0.0,3.0,1.0,4.0,10.0,9.6,1,1.0,0.0,0.0,63,41,79,67,74,12,23,69,67,61,4,23,48,35,80,63.0,41.0,,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,11.0,75.0,4.411764705882353,8.0,85.1,5.005882352941176,15.4,7.4,2.4,1.1,1.3,0.105159755971461,0.604,0.516,0.253,2.6,4.4,W (+7),W (+7)
3.0,3,2022-10-22,28-112,BOS,ORL,1,36.95,10.0,17.0,0.588,5.0,9.0,0.556,2,3.0,0.667,2.0,2.0,4.0,4.0,1.0,0.0,0.0,2.0,27.0,23.7,7,8.0,5.0,0.625,63,41,79,67,74,12,23,69,67,61,4,23,48,35,80,63.0,41.0,,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,16.0,78.0,4.588235294117647,22.9,90.7,5.335294117647059,15.4,7.4,2.4,1.1,1.3,0.105159755971461,0.604,0.516,0.253,2.6,4.4,W (+6),W (+6)
4.0,4,2022-10-24,28-114,BOS,CHI,1,25.633333333333333,2.0,8.0,0.25,1.0,5.0,0.2,0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,1.0,4.0,5.0,0.7,5,3.0,1.0,0.3333333333333333,63,41,79,67,74,12,23,69,67,61,4,23,48,35,80,63.0,41.0,,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,1.0,78.0,4.588235294117647,0.6999999999999988,81.3,4.782352941176471,15.4,7.4,2.4,1.1,1.3,0.105159755971461,0.604,0.516,0.253,2.6,4.4,L (-18),L (-18)
5.0,5,2022-10-28,28-118,BOS,CLE,1,22.2,3.0,5.0,0.6,1.0,2.0,0.5,2,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,9.0,6.1,-1,3.0,2.0,0.6666666666666666,63,41,79,67,74,12,23,69,67,61,4,23,48,35,80,63.0,41.0,,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,4.0,63.0,3.7058823529411766,5.299999999999999,86.0,5.0588235294117645,15.4,7.4,2.4,1.1,1.3,0.105159755971461,0.604,0.516,0.253,2.6,4.4,L (-9),L (-9)
6.0,6,2022-10-30,28-120,BOS,WAS,1,23.6,2.0,6.0,0.333,1.0,2.0,0.5,0,0.0,,1.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,5.0,3.7,15,4.0,1.0,0.25,63,41,79,67,74,12,23,69,67,61,4,23,48,35,80,63.0,41.0,,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,6.0,78.0,4.588235294117647,3.7,83.20000000000002,4.894117647058825,15.4,7.4,2.4,1.1,1.3,0.105159755971461,0.604,0.516,0.253,2.6,4.4,W (+18),W (+18)
7.0,7,2022-11-02,28-123,BOS,CLE,1,32.166666666666664,1.0,4.0,0.25,1.0,3.0,0.333,0,0.0,,0.0,3.0,3.0,6.0,0.0,2.0,0.0,4.0,3.0,5.5,7,1.0,0.0,0.0,63,41,79,67,74,12,23,69,67,61,4,23,48,35,80,63.0,41.0,,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,10.0,67.0,3.941176470588236,5.5,76.29999999999998,4.488235294117646,15.4,7.4,2.4,1.1,1.3,0.105159755971461,0.604,0.516,0.253,2.6,4.4,L (-1),L (-1)
8.0,8,2022-11-04,28-125,BOS,CHI,1,26.183333333333334,3.0,6.0,0.5,1.0,3.0,0.333,0,0.0,,0.0,3.0,3.0,2.0,1.0,2.0,0.0,4.0,7.0,7.1,-10,3.0,2.0,0.6666666666666666,63,41,79,67,74,12,23,69,67,61,4,23,48,35,80,63.0,41.0,,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,9.0,56.0,3.294117647058824,7.100000000000001,78.3,4.605882352941176,15.4,7.4,2.4,1.1,1.3,0.105159755971461,0.604,0.516,0.253,2.6,4.4,W (+4),W (+4)
9.0,9,2022-11-05,28-126,BOS,NYK,1,22.28333333333333,3.0,5.0,0.6,1.0,2.0,0.5,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,7.0,5.3,-5,3.0,2.0,0.6666666666666666,63,41,79,67,74,12,23,69,67,61,4,23,48,35,80,63.0,41.0,,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,5.0,88.0,5.176470588235294,5.299999999999997,105.2,6.188235294117647,15.4,7.4,2.4,1.1,1.3,0.105159755971461,0.604,0.516,0.253,2.6,4.4,W (+15),W (+15)
10.0,10,2022-11-07,28-128,BOS,MEM,0,18.15,2.0,5.0,0.4,0.0,2.0,0.0,0,0.0,,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,4.0,3.9,-3,3.0,2.0,0.6666666666666666,63,41,79,67,74,12,23,69,67,61,4,23,48,35,80,63.0,41.0,,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,20,72.0,5.0,63.0,0.0,0.4,0.3174603174603174,17,4.0,84.0,4.941176470588236,3.9,100.7,5.923529411764706,15.4,7.4,2.4,1.1,1.3,0.105159755971461,0.604,0.516,0.253,2.6,4.4,W (+3),W (+3)
