Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-18,33-216,BOS,PHI,0,8.283333333333333,0.0,2.0,.000,0.0,1.0,.000,1,2.0,.500,2.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,-5,1.0,0.0,0.0,23,41,39,30,35,8,11,36,33,29,4,11,23,14,40,63.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.365079365079365,,0.5,0.4936708860759494,0.4477611940298507,0.4729729729729729,0.6666666666666666,0.4782608695652174,0.5217391304347826,0.4925373134328358,0.4754098360655737,1.0,0.4782608695652174,0.4791666666666667,0.4,0.5,12,72.0,5.0,63.0,0.0,0.0,0.1904761904761904,16,3.0,75.0,4.6875,0.5999999999999999,95.90000000000002,5.993750000000001,13.1,1.8,0.1,-1.4,1.5,0.0175783269568814,0.59,0.508,0.246,0.3,1.0,W (+9),W (+9)
2.0,,2022-10-21,33-219,BOS,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,41,39,30,35,8,11,36,33,29,4,11,23,14,40,63.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.365079365079365,,0.5,0.4936708860759494,0.4477611940298507,0.4729729729729729,0.6666666666666666,0.4782608695652174,0.5217391304347826,0.4925373134328358,0.4754098360655737,1.0,0.4782608695652174,0.4791666666666667,0.4,0.5,12,72.0,5.0,63.0,0.0,0.0,0.1904761904761904,16,,86.0,5.375,0.0,93.1,5.81875,13.1,1.8,0.1,-1.4,1.5,0.0175783269568814,0.59,0.508,0.246,0.3,1.0,W (+7),W (+7)
3.0,2.0,2022-10-22,33-220,BOS,ORL,0,9.55,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,-4,0.0,0.0,,23,41,39,30,35,8,11,36,33,29,4,11,23,14,40,63.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.365079365079365,,0.5,0.4936708860759494,0.4477611940298507,0.4729729729729729,0.6666666666666666,0.4782608695652174,0.5217391304347826,0.4925373134328358,0.4754098360655737,1.0,0.4782608695652174,0.4791666666666667,0.4,0.5,12,72.0,5.0,63.0,0.0,0.0,0.1904761904761904,16,1.0,93.0,5.8125,0.6,113.0,7.0625,13.1,1.8,0.1,-1.4,1.5,0.0175783269568814,0.59,0.508,0.246,0.3,1.0,W (+6),W (+6)
4.0,3.0,2022-10-24,33-222,BOS,CHI,0,5.45,1.0,4.0,.250,0.0,0.0,,0,0.0,,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,2.7,+3,4.0,1.0,0.25,23,41,39,30,35,8,11,36,33,29,4,11,23,14,40,63.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.365079365079365,,0.5,0.4936708860759494,0.4477611940298507,0.4729729729729729,0.6666666666666666,0.4782608695652174,0.5217391304347826,0.4925373134328358,0.4754098360655737,1.0,0.4782608695652174,0.4791666666666667,0.4,0.5,12,72.0,5.0,63.0,0.0,0.0,0.1904761904761904,16,3.0,76.0,4.75,2.7,79.3,4.95625,13.1,1.8,0.1,-1.4,1.5,0.0175783269568814,0.59,0.508,0.246,0.3,1.0,L (-18),L (-18)
5.0,4.0,2022-10-28,33-226,BOS,CLE,0,11.7,1.0,1.0,1.000,1.0,1.0,1.000,4,4.0,1.000,0.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,7.0,4.7,-1,0.0,0.0,,23,41,39,30,35,8,11,36,33,29,4,11,23,14,40,63.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.365079365079365,,0.5,0.4936708860759494,0.4477611940298507,0.4729729729729729,0.6666666666666666,0.4782608695652174,0.5217391304347826,0.4925373134328358,0.4754098360655737,1.0,0.4782608695652174,0.4791666666666667,0.4,0.5,12,72.0,5.0,63.0,0.0,0.0,0.1904761904761904,16,3.0,64.0,4.0,3.1000000000000014,88.19999999999999,5.512499999999999,13.1,1.8,0.1,-1.4,1.5,0.0175783269568814,0.59,0.508,0.246,0.3,1.0,L (-9),L (-9)
6.0,,2022-10-30,33-228,BOS,WAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,41,39,30,35,8,11,36,33,29,4,11,23,14,40,63.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.365079365079365,,0.5,0.4936708860759494,0.4477611940298507,0.4729729729729729,0.6666666666666666,0.4782608695652174,0.5217391304347826,0.4925373134328358,0.4754098360655737,1.0,0.4782608695652174,0.4791666666666667,0.4,0.5,12,72.0,5.0,63.0,0.0,0.0,0.1904761904761904,16,,84.0,5.25,0.0,86.9,5.43125,13.1,1.8,0.1,-1.4,1.5,0.0175783269568814,0.59,0.508,0.246,0.3,1.0,W (+18),W (+18)
7.0,,2022-11-02,33-231,BOS,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,41,39,30,35,8,11,36,33,29,4,11,23,14,40,63.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.365079365079365,,0.5,0.4936708860759494,0.4477611940298507,0.4729729729729729,0.6666666666666666,0.4782608695652174,0.5217391304347826,0.4925373134328358,0.4754098360655737,1.0,0.4782608695652174,0.4791666666666667,0.4,0.5,12,72.0,5.0,63.0,0.0,0.0,0.1904761904761904,16,,77.0,4.8125,0.0,81.79999999999998,5.112499999999999,13.1,1.8,0.1,-1.4,1.5,0.0175783269568814,0.59,0.508,0.246,0.3,1.0,L (-1),L (-1)
8.0,,2022-11-04,33-233,BOS,CHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,41,39,30,35,8,11,36,33,29,4,11,23,14,40,63.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.365079365079365,,0.5,0.4936708860759494,0.4477611940298507,0.4729729729729729,0.6666666666666666,0.4782608695652174,0.5217391304347826,0.4925373134328358,0.4754098360655737,1.0,0.4782608695652174,0.4791666666666667,0.4,0.5,12,72.0,5.0,63.0,0.0,0.0,0.1904761904761904,16,,65.0,4.0625,0.0,85.4,5.3375,13.1,1.8,0.1,-1.4,1.5,0.0175783269568814,0.59,0.508,0.246,0.3,1.0,W (+4),W (+4)
9.0,5.0,2022-11-05,33-234,BOS,NYK,1,15.083333333333334,3.0,4.0,.750,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,7.0,4.7,+6,2.0,2.0,1.0,23,41,39,30,35,8,11,36,33,29,4,11,23,14,40,63.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.365079365079365,,0.5,0.4936708860759494,0.4477611940298507,0.4729729729729729,0.6666666666666666,0.4782608695652174,0.5217391304347826,0.4925373134328358,0.4754098360655737,1.0,0.4782608695652174,0.4791666666666667,0.4,0.5,12,72.0,5.0,63.0,0.0,0.0,0.1904761904761904,16,4.0,89.0,5.5625,4.7,105.79999999999998,6.612499999999999,13.1,1.8,0.1,-1.4,1.5,0.0175783269568814,0.59,0.508,0.246,0.3,1.0,W (+15),W (+15)
10.0,,2022-11-07,33-236,BOS,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,23,41,39,30,35,8,11,36,33,29,4,11,23,14,40,63.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.365079365079365,,0.5,0.4936708860759494,0.4477611940298507,0.4729729729729729,0.6666666666666666,0.4782608695652174,0.5217391304347826,0.4925373134328358,0.4754098360655737,1.0,0.4782608695652174,0.4791666666666667,0.4,0.5,12,72.0,5.0,63.0,0.0,0.0,0.1904761904761904,16,,88.0,5.5,0.0,104.6,6.5375,13.1,1.8,0.1,-1.4,1.5,0.0175783269568814,0.59,0.508,0.246,0.3,1.0,W (+3),W (+3)
