Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Mfiondu Kabengele,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,25-087,BOS,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,4,4,4,1,3,3,2,4,1,1,1,4,1,4,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,23.0,48.0,35.0,80.0,0.0317460317460317,0.0975609756097561,,0.048780487804878,0.050632911392405,0.0149253731343283,0.0405405405405405,0.25,0.0869565217391304,0.0579710144927536,0.0149253731343283,0.0163934426229508,0.0434782608695652,0.0833333333333333,0.0285714285714285,0.05,4,1,72.0,5.0,63.0,0.0,0.0,0.0158730158730158,17,,92.0,5.411764705882353,0.0,102.6,6.035294117647059,8.1,0.1,-8.9,-6.6,-2.4,0.0006204115396546,0.381,0.429,0.286,-0.1,0.0,W (+16),W (+16)
12.0,,2022-11-11,25-089,BOS,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,4,4,4,1,3,3,2,4,1,1,1,4,1,4,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,23.0,48.0,35.0,80.0,0.0317460317460317,0.0975609756097561,,0.048780487804878,0.050632911392405,0.0149253731343283,0.0405405405405405,0.25,0.0869565217391304,0.0579710144927536,0.0149253731343283,0.0163934426229508,0.0434782608695652,0.0833333333333333,0.0285714285714285,0.05,4,1,72.0,5.0,63.0,0.0,0.0,0.0158730158730158,17,,101.0,5.941176470588236,0.0,112.5,6.617647058823529,8.1,0.1,-8.9,-6.6,-2.4,0.0006204115396546,0.381,0.429,0.286,-0.1,0.0,W (+19),W (+19)
13.0,,2022-11-12,25-090,BOS,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,4,4,4,1,3,3,2,4,1,1,1,4,1,4,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,23.0,48.0,35.0,80.0,0.0317460317460317,0.0975609756097561,,0.048780487804878,0.050632911392405,0.0149253731343283,0.0405405405405405,0.25,0.0869565217391304,0.0579710144927536,0.0149253731343283,0.0163934426229508,0.0434782608695652,0.0833333333333333,0.0285714285714285,0.05,4,1,72.0,5.0,63.0,0.0,0.0,0.0158730158730158,17,,82.0,4.823529411764706,0.0,99.6,5.858823529411764,8.1,0.1,-8.9,-6.6,-2.4,0.0006204115396546,0.381,0.429,0.286,-0.1,0.0,W (+9),W (+9)
14.0,,2022-11-14,25-092,BOS,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,4,4,4,1,3,3,2,4,1,1,1,4,1,4,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,23.0,48.0,35.0,80.0,0.0317460317460317,0.0975609756097561,,0.048780487804878,0.050632911392405,0.0149253731343283,0.0405405405405405,0.25,0.0869565217391304,0.0579710144927536,0.0149253731343283,0.0163934426229508,0.0434782608695652,0.0833333333333333,0.0285714285714285,0.05,4,1,72.0,5.0,63.0,0.0,0.0,0.0158730158730158,17,,82.0,4.823529411764706,0.0,102.09999999999998,6.005882352941176,8.1,0.1,-8.9,-6.6,-2.4,0.0006204115396546,0.381,0.429,0.286,-0.1,0.0,W (+4),W (+4)
15.0,,2022-11-16,25-094,BOS,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,4,4,4,1,3,3,2,4,1,1,1,4,1,4,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,23.0,48.0,35.0,80.0,0.0317460317460317,0.0975609756097561,,0.048780487804878,0.050632911392405,0.0149253731343283,0.0405405405405405,0.25,0.0869565217391304,0.0579710144927536,0.0149253731343283,0.0163934426229508,0.0434782608695652,0.0833333333333333,0.0285714285714285,0.05,4,1,72.0,5.0,63.0,0.0,0.0,0.0158730158730158,17,,105.0,6.176470588235294,0.0,106.2,6.247058823529412,8.1,0.1,-8.9,-6.6,-2.4,0.0006204115396546,0.381,0.429,0.286,-0.1,0.0,W (+25),W (+25)
16.0,,2022-11-18,25-096,BOS,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,4,4,4,1,3,3,2,4,1,1,1,4,1,4,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,23.0,48.0,35.0,80.0,0.0317460317460317,0.0975609756097561,,0.048780487804878,0.050632911392405,0.0149253731343283,0.0405405405405405,0.25,0.0869565217391304,0.0579710144927536,0.0149253731343283,0.0163934426229508,0.0434782608695652,0.0833333333333333,0.0285714285714285,0.05,4,1,72.0,5.0,63.0,0.0,0.0,0.0158730158730158,17,,94.0,5.529411764705882,0.0,107.79999999999998,6.341176470588234,8.1,0.1,-8.9,-6.6,-2.4,0.0006204115396546,0.381,0.429,0.286,-0.1,0.0,W (+8),W (+8)
17.0,,2022-11-21,25-099,BOS,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,4,4,4,1,3,3,2,4,1,1,1,4,1,4,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,23.0,48.0,35.0,80.0,0.0317460317460317,0.0975609756097561,,0.048780487804878,0.050632911392405,0.0149253731343283,0.0405405405405405,0.25,0.0869565217391304,0.0579710144927536,0.0149253731343283,0.0163934426229508,0.0434782608695652,0.0833333333333333,0.0285714285714285,0.05,4,1,72.0,5.0,63.0,0.0,0.0,0.0158730158730158,17,,74.0,4.352941176470588,0.0,87.29999999999998,5.1352941176470575,8.1,0.1,-8.9,-6.6,-2.4,0.0006204115396546,0.381,0.429,0.286,-0.1,0.0,L (-14),L (-14)
18.0,,2022-11-23,25-101,BOS,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,4,4,4,1,3,3,2,4,1,1,1,4,1,4,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,23.0,48.0,35.0,80.0,0.0317460317460317,0.0975609756097561,,0.048780487804878,0.050632911392405,0.0149253731343283,0.0405405405405405,0.25,0.0869565217391304,0.0579710144927536,0.0149253731343283,0.0163934426229508,0.0434782608695652,0.0833333333333333,0.0285714285714285,0.05,4,1,72.0,5.0,63.0,0.0,0.0,0.0158730158730158,17,,91.0,5.352941176470588,0.0,106.79999999999998,6.28235294117647,8.1,0.1,-8.9,-6.6,-2.4,0.0006204115396546,0.381,0.429,0.286,-0.1,0.0,W (+13),W (+13)
19.0,,2022-11-25,25-103,BOS,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,4,4,4,1,3,3,2,4,1,1,1,4,1,4,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,23.0,48.0,35.0,80.0,0.0317460317460317,0.0975609756097561,,0.048780487804878,0.050632911392405,0.0149253731343283,0.0405405405405405,0.25,0.0869565217391304,0.0579710144927536,0.0149253731343283,0.0163934426229508,0.0434782608695652,0.0833333333333333,0.0285714285714285,0.05,4,1,72.0,5.0,63.0,0.0,0.0,0.0158730158730158,17,,89.0,5.235294117647059,0.0,104.09999999999997,6.123529411764704,8.1,0.1,-8.9,-6.6,-2.4,0.0006204115396546,0.381,0.429,0.286,-0.1,0.0,W (+18),W (+18)
20.0,,2022-11-27,25-105,BOS,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,4,4,4,1,3,3,2,4,1,1,1,4,1,4,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,23.0,48.0,35.0,80.0,0.0317460317460317,0.0975609756097561,,0.048780487804878,0.050632911392405,0.0149253731343283,0.0405405405405405,0.25,0.0869565217391304,0.0579710144927536,0.0149253731343283,0.0163934426229508,0.0434782608695652,0.0833333333333333,0.0285714285714285,0.05,4,1,72.0,5.0,63.0,0.0,0.0,0.0158730158730158,17,,78.0,4.588235294117647,0.0,97.7,5.747058823529412,8.1,0.1,-8.9,-6.6,-2.4,0.0006204115396546,0.381,0.429,0.286,-0.1,0.0,W (+9),W (+9)
