Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Sam Hauser,Shared Games with Robert Williams,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-09,25-023,BOS,,DET,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,92.0,5.111111111111111,0.0,102.6,5.699999999999999
11,12,,2022-11-11,25-025,BOS,,DEN,W (+19),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,101.0,5.611111111111111,0.0,112.5,6.25
12,13,,2022-11-12,25-026,BOS,@,DET,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,82.0,4.555555555555555,0.0,99.6,5.533333333333333
13,14,,2022-11-14,25-028,BOS,,OKC,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,82.0,4.555555555555555,0.0,102.09999999999998,5.672222222222221
14,15,,2022-11-16,25-030,BOS,@,ATL,W (+25),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,105.0,5.833333333333333,0.0,106.2,5.9
15,16,,2022-11-18,25-032,BOS,@,NOP,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,94.0,5.222222222222222,0.0,107.79999999999998,5.988888888888888
16,17,,2022-11-21,25-035,BOS,@,CHI,L (-14),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,74.0,4.111111111111111,0.0,87.29999999999998,4.849999999999999
17,18,,2022-11-23,25-037,BOS,,DAL,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,91.0,5.055555555555555,0.0,106.79999999999998,5.933333333333333
18,19,,2022-11-25,25-039,BOS,,SAC,W (+18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,89.0,4.944444444444445,0.0,104.09999999999997,5.783333333333331
19,20,,2022-11-27,25-041,BOS,,WAS,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,78.0,4.333333333333333,0.0,97.7,5.427777777777778
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-28,25-042,BOS,,CHO,W (+35),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,120.0,6.666666666666667,0.0,130.1,7.227777777777778
22,22,,2022-11-30,25-044,BOS,,MIA,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,97.0,5.388888888888889,0.0,118.0,6.555555555555555
23,23,,2022-12-02,25-046,BOS,,MIA,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,76.0,4.222222222222222,0.0,95.7,5.316666666666666
24,24,,2022-12-04,25-048,BOS,@,BRK,W (+11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,85.0,4.722222222222222,0.0,90.9,5.050000000000001
25,25,,2022-12-05,25-049,BOS,@,TOR,W (+6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,30,14,35,34,25,30,4,7,30,29,23,1,2,23,33,63.0,41.0,,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,80.0,0.4761904761904761,0.3414634146341463,,0.4268292682926829,0.430379746835443,0.373134328358209,0.4054054054054054,0.3333333333333333,0.3043478260869565,0.4347826086956521,0.4328358208955223,0.3770491803278688,0.25,0.0869565217391304,0.4791666666666667,0.4125,35,2,13,72.0,5.0,63.0,0.0,0.4,0.2063492063492063,18,,82.0,4.555555555555555,0.0,94.40000000000002,5.244444444444445
