Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,+/-,GmSc,Al Horford,Blake Griffin,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,STL,BLK,TOV,CO_EFF,EFF,avg_EFF,HGS,avg_HGS,Co_Points_Share,New Column,Result
1.0,,2022-10-18,34-071,BOS,PHI,,0.0,,,,,,,,,,,,,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,78.0,0.0,96.5,0.0,,W (+9),W (+9)
2.0,,2022-10-21,34-074,BOS,MIA,,0.0,,,,,,,,,,,,,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,86.0,0.0,93.1,0.0,,W (+7),W (+7)
3.0,,2022-10-22,34-075,BOS,ORL,,0.0,,,,,,,,,,,,,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,94.0,0.0,113.6,0.0,,W (+6),W (+6)
4.0,,2022-10-24,34-077,BOS,CHI,,0.0,,,,,,,,,,,,,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,79.0,0.0,81.99999999999999,0.0,,L (-18),L (-18)
5.0,,2022-10-28,34-081,BOS,CLE,,0.0,,,,,,,,,,,,,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,67.0,0.0,91.29999999999998,0.0,,L (-9),L (-9)
6.0,,2022-10-30,34-083,BOS,WAS,,0.0,,,,,,,,,,,,,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,84.0,0.0,86.9,0.0,,W (+18),W (+18)
7.0,,2022-11-02,34-086,BOS,CLE,,0.0,,,,,,,,,,,,,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,77.0,0.0,81.79999999999998,0.0,,L (-1),L (-1)
8.0,,2022-11-04,34-088,BOS,CHI,,0.0,,,,,,,,,,,,,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,65.0,0.0,85.4,0.0,,W (+4),W (+4)
9.0,,2022-11-05,34-089,BOS,NYK,,0.0,,,,,,,,,,,,,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,93.0,0.0,110.5,0.0,,W (+15),W (+15)
10.0,,2022-11-07,34-091,BOS,MEM,,0.0,,,,,,,,,,,,,63.0,41.0,82.0,79.0,67.0,74.0,12.0,23.0,69.0,67.0,61.0,4.0,23.0,48.0,35.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,5.0,63.0,0.0,0.0,0.0,0,0,0,0,,88.0,0.0,104.6,0.0,,W (+3),W (+3)
