Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Marcus Smart,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Marcus Smart,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Marcus Smart,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
1,1,2022/10/18,23-322,BOS,PHI,0,23.95,5,5,1,3,3,1,2,3,0.667,0,1,1,1,0,0,0,3,15,12.9,-3,2,2,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,9,69,4.058823529,12.1,84.4,4.964705882,0.066280633,W (+9),W (+9)
2,2,2022/10/21,23-325,BOS,MIA,0,25.4,4,6,0.667,2,4,0.5,0,0,,1,6,7,2,0,2,1,1,10,11.3,15,2,2,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,14,72,4.235294118,11.3,81.8,4.811764706,0.066280633,W (+7),W (+7)
3,3,2022/10/22,23-326,BOS,ORL,0,31.05,3,3,1,3,3,1,4,4,1,0,6,6,2,0,2,0,5,13,14.7,7,0,0,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,16,78,4.588235294,13.1,100.5,5.911764706,0.066280633,W (+6),W (+6)
4,4,2022/10/24,23-328,BOS,CHI,0,18.28333333,0,3,0,0,2,0,0,0,,1,2,3,1,1,0,1,3,0,-1.3,-26,1,0,0,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,1,78,4.588235294,-1.3,83.3,4.9,0.066280633,L (-18),L (-18)
5,,2022/10/28,23-332,BOS,CLE,Not With Team,0,0,0,Not With Team,,,Not With Team,Not With Team,0,Not With Team,0,0,,0,0,0,0,0,0,Not With Team,Not With Team,,,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,,67,3.941176471,0,91.3,5.370588235,0.066280633,L (-9),L (-9)
6,5,2022/10/30,23-334,BOS,WAS,0,24.75,4,6,0.667,2,3,0.667,0,0,,0,3,3,3,0,1,0,1,10,10.7,8,3,2,0.666666667,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,11,73,4.294117647,10.7,76.2,4.482352941,0.066280633,W (+18),W (+18)
7,6,2022/11/2,23-337,BOS,CLE,0,31.61666667,3,7,0.429,2,6,0.333,3,4,0.75,2,5,7,0,2,1,0,5,11,10.5,4,1,1,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,10,67,3.941176471,9.3,72.5,4.264705882,0.066280633,L (-1),L (-1)
8,7,2022/11/4,23-339,BOS,CHI,0,20.53333333,2,3,0.667,0,1,0,0,0,,0,4,4,3,0,0,2,2,4,3.2,15,2,2,1,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,6,59,3.470588235,3.2,82.2,4.835294118,0.066280633,W (+4),W (+4)
9,8,2022/11/5,23-340,BOS,NYK,0,27.53333333,4,7,0.571,2,4,0.5,2,2,1,1,3,4,1,2,0,2,0,12,11,10,3,2,0.666666667,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,8,85,5,10.2,100.3,5.9,0.066280633,W (+15),W (+15)
10,9,2022/11/7,23-342,BOS,MEM,1,37.58333333,0,0,,0,0,,2,2,1,2,3,5,1,1,1,2,3,2,3.5,6,0,0,,60,39,79,64,71,12,23,68,64,58,4,22,48,34,77,63,41,,82,67,74,12,23,69,67,61,4,23,48,35,80,0.952380952,0.951219512,,0.963414634,0.955223881,0.959459459,1,1,0.985507246,0.955223881,0.950819672,1,0.956521739,1,0.971428571,0.9625,2,19,72,5,63,0,0.4,0.301587302,17,6,82,4.823529412,2.7,101.9,5.994117647,0.066280633,W (+3),W (+3)
