Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Al Horford,Shared Games with Blake Griffin,Shared Games with Derrick White,Shared Games with Grant Williams,Shared Games with Jaylen Brown,Shared Games with Jayson Tatum,Shared Games with JD Davison,Shared Games with Justin Jackson,Shared Games with Luke Kornet,Shared Games with Malcolm Brogdon,Shared Games with Mfiondu Kabengele,Shared Games with Noah Vonleh,Shared Games with Payton Pritchard,Shared Games with Robert Williams,Shared Games with Sam Hauser,Al Horford,Blake Griffin,Danilo Gallinari,Derrick White,Grant Williams,Jaylen Brown,Jayson Tatum,JD Davison,Justin Jackson,Luke Kornet,Malcolm Brogdon,Mfiondu Kabengele,Noah Vonleh,Payton Pritchard,Robert Williams,Sam Hauser,co_inf with Al Horford,co_inf with Blake Griffin,co_inf with Danilo Gallinari,co_inf with Derrick White,co_inf with Grant Williams,co_inf with Jaylen Brown,co_inf with Jayson Tatum,co_inf with JD Davison,co_inf with Justin Jackson,co_inf with Luke Kornet,co_inf with Malcolm Brogdon,co_inf with Mfiondu Kabengele,co_inf with Noah Vonleh,co_inf with Payton Pritchard,co_inf with Robert Williams,co_inf with Sam Hauser,Shared Games with Justin Champagnie,Shared Games with Mike Muscala,AJ Griffin,Justin Champagnie,Mike Muscala,co_inf with AJ Griffin,co_inf with Justin Champagnie,co_inf with Mike Muscala,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,1,2022/10/18,28-226,BOS,PHI,1,36.08333333,3,8,0.375,1,4,0.25,7,8,0.875,1,2,3,7,1,0,1,3,14,14.2,0,4,2,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,8,70,4.117647059,11.4,85.1,5.005882353,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+9),W (+9)
2,2,2022/10/21,28-229,BOS,MIA,1,33.38333333,4,9,0.444,0,4,0,0,0,,1,4,5,3,0,0,5,2,8,1.5,-2,5,4,0.8,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,2,84,4.941176471,1.5,91.6,5.388235294,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+7),W (+7)
3,3,2022/10/22,28-230,BOS,ORL,1,36.51666667,2,11,0.182,1,9,0.111,1,1,1,0,2,2,8,1,0,2,3,6,3.1,0,2,1,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,3,91,5.352941176,2.7,110.9,6.523529412,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+6),W (+6)
4,4,2022/10/24,28-232,BOS,CHI,1,32.61666667,4,6,0.667,3,5,0.6,0,0,,0,1,1,6,2,2,1,3,11,14.1,-11,1,1,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,15,64,3.764705882,14.1,67.9,3.994117647,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-18),L (-18)
5,5,2022/10/28,28-236,BOS,CLE,1,37.83333333,3,15,0.2,2,9,0.222,3,4,0.75,0,5,5,7,2,0,2,4,11,6.1,-26,6,1,0.166666667,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,4,63,3.705882353,4.9,86.4,5.082352941,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-9),L (-9)
6,6,2022/10/30,28-238,BOS,WAS,1,29.01666667,2,6,0.333,1,5,0.2,2,2,1,0,3,3,6,2,0,0,2,7,9.9,11,1,1,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,10,74,4.352941176,9.1,77.8,4.576470588,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+18),W (+18)
7,7,2022/11/2,28-241,BOS,CLE,1,36.78333333,5,12,0.417,1,5,0.2,5,5,1,0,6,6,5,0,0,1,3,16,12.7,-3,7,4,0.571428571,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,9,68,4,10.7,71.1,4.182352941,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-1),L (-1)
8,8,2022/11/4,28-243,BOS,CHI,1,24.51666667,5,10,0.5,2,4,0.5,0,0,,0,1,1,1,1,0,2,5,12,5,-10,6,3,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,3,62,3.647058824,5,80.4,4.729411765,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+4),W (+4)
9,9,2022/11/5,28-244,BOS,NYK,1,35.63333333,5,9,0.556,3,5,0.6,0,0,,0,2,2,11,0,0,1,2,13,15.2,3,4,2,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,16,77,4.529411765,15.2,95.3,5.605882353,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+15),W (+15)
10,10,2022/11/7,28-246,BOS,MEM,1,35.73333333,6,11,0.545,2,6,0.333,1,3,0.333,0,7,7,12,0,0,2,4,15,15.8,4,5,4,0.8,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,18,70,4.117647059,15.4,89.2,5.247058824,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+3),W (+3)
11,11,2022/11/9,28-248,BOS,DET,1,23.38333333,1,6,0.167,0,4,0,0,0,,0,3,3,11,2,0,1,2,2,7,22,2,1,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,11,81,4.764705882,7,95.6,5.623529412,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+16),W (+16)
12,12,2022/11/11,28-250,BOS,DEN,1,23.8,2,4,0.5,0,0,,0,0,,0,0,0,4,0,0,1,5,4,1.8,28,4,2,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,3,98,5.764705882,1.8,110.7,6.511764706,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+19),W (+19)
13,13,2022/11/12,28-251,BOS,DET,1,43.01666667,7,17,0.412,4,10,0.4,0,0,,1,1,2,10,5,1,1,1,18,21.2,4,7,3,0.428571429,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,18,64,3.764705882,21.2,78.4,4.611764706,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+9),W (+9)
14,14,2022/11/14,28-253,BOS,OKC,1,29.31666667,8,12,0.667,1,2,0.5,5,6,0.833,1,4,5,8,0,1,3,5,22,19.6,-11,10,7,0.7,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,15,67,3.941176471,17.6,84.5,4.970588235,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+4),W (+4)
15,,2022/11/16,28-255,BOS,ATL,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,105,6.176470588,0,106.2,6.247058824,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+25),W (+25)
16,,2022/11/18,28-257,BOS,NOP,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,94,5.529411765,0,107.8,6.341176471,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+8),W (+8)
17,15,2022/11/21,28-260,BOS,CHI,1,34.96666667,3,9,0.333,2,5,0.4,0,0,,0,1,1,8,1,1,3,3,8,6.3,-15,4,1,0.25,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,7,67,3.941176471,6.3,81,4.764705882,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-14),L (-14)
18,16,2022/11/23,28-262,BOS,DAL,1,33.55,5,9,0.556,3,4,0.75,0,0,,1,1,2,9,1,1,3,4,13,13.1,21,5,2,0.4,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,14,77,4.529411765,13.1,93.7,5.511764706,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+13),W (+13)
19,17,2022/11/25,28-264,BOS,SAC,1,29.31666667,0,4,0,0,3,0,4,4,1,0,4,4,5,0,0,4,5,4,-0.1,12,1,0,0,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,1,88,5.176470588,-1.7,105.8,6.223529412,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+18),W (+18)
20,18,2022/11/27,28-266,BOS,WAS,1,27.33333333,5,8,0.625,2,4,0.5,2,2,1,0,4,4,7,0,0,4,3,14,11.3,15,4,3,0.75,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,11,67,3.941176471,10.5,87.2,5.129411765,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+9),W (+9)
21,19,2022/11/28,28-267,BOS,CHO,1,30.61666667,8,11,0.727,6,9,0.667,0,0,,0,2,2,15,2,0,3,0,22,27.6,44,2,2,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,27,93,5.470588235,27.6,102.5,6.029411765,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,,
22,20,2022/11/30,28-269,BOS,MIA,1,34.91666667,3,7,0.429,2,3,0.667,2,2,1,2,3,5,9,1,0,3,3,10,11.7,10,4,1,0.25,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,13,84,4.941176471,10.9,107.1,6.3,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+35),W (+35)
23,21,2022/12/2,28-271,BOS,MIA,1,42.06666667,8,14,0.571,1,7,0.143,1,4,0.25,2,1,3,9,2,1,4,2,18,16.1,10,7,7,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,11,65,3.823529412,15.7,80,4.705882353,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+13),W (+13)
24,,2022/12/4,28-273,BOS,BRK,,0,0,0,,,,,,0,,0,0,,0,0,0,0,0,0,,,,,,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,,85,5,0,90.9,5.347058824,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-4),L (-4)
25,22,2022/12/5,28-274,BOS,TOR,1,38.96666667,7,14,0.5,4,8,0.5,0,2,0,0,3,3,7,2,0,2,2,18,15.2,9,6,3,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,12,70,4.117647059,15.2,79.2,4.658823529,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+11),W (+11)
26,23,2022/12/7,28-276,BOS,PHO,1,25.68333333,2,5,0.4,0,3,0,0,0,,1,3,4,6,3,0,5,3,4,3.9,23,2,2,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,7,92,5.411764706,3.9,105.6,6.211764706,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+6),W (+6)
27,24,2022/12/10,28-279,BOS,GSW,1,34.78333333,4,12,0.333,2,6,0.333,3,4,0.75,1,3,4,5,3,2,2,1,13,12.9,-6,6,2,0.333333333,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,9,48,2.823529412,11.7,70.2,4.129411765,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+27),W (+27)
28,25,2022/12/12,28-281,BOS,LAC,1,31.65,1,6,0.167,1,4,0.25,0,0,,0,1,1,3,0,1,3,5,3,-2.7,-25,2,0,0,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,-1,58,3.411764706,-2.7,75,4.411764706,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-16),L (-16)
29,26,2022/12/13,28-282,BOS,LAL,1,42.28333333,7,17,0.412,4,11,0.364,0,0,,1,4,5,6,2,0,3,4,18,12.4,3,6,3,0.5,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,11,76,4.470588235,12.4,87.7,5.158823529,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-20),L (-20)
30,27,2022/12/16,28-285,BOS,ORL,1,34.25,3,9,0.333,1,7,0.143,3,4,0.75,1,0,1,8,1,1,1,3,10,10.3,-1,2,2,1,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,7,57,3.352941176,9.1,75.2,4.423529412,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,W (+4),W (+4)
31,28,2022/12/18,28-287,BOS,ORL,1,30.66666667,5,13,0.385,3,7,0.429,2,2,1,3,4,7,7,1,0,4,4,15,11.5,0,6,2,0.333333333,49,29,61,58,53,56,8,16,49,52,1,22,29,23,59,63,41,,82,79,67,74,12,23,69,67,4,23,48,35,80,0.777777778,0.707317073,,0.743902439,0.734177215,0.791044776,0.756756757,0.666666667,0.695652174,0.710144928,0.776119403,0.25,0.956521739,0.604166667,0.657142857,0.7375,2,14,72,5,63,0,0.4,0.222222222,17,11,72,4.235294118,10.7,75.9,4.464705882,12.1,3.7,-1,-1.8,0.8,0.072691552,0.538,0.568,0.196,0.5,1,L (-8),L (-8)
