Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
0,1,,2022-10-19,19-160,SAS,,CHO,L (-27),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,42.0,2.210526315789474,0.0,51.59999999999999,2.7157894736842096
1,2,,2022-10-21,19-162,SAS,@,IND,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,61.0,3.210526315789474,0.0,65.39999999999999,3.4421052631578943
2,3,,2022-10-22,19-163,SAS,@,PHI,W (+9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,63.0,3.3157894736842106,0.0,71.0,3.736842105263158
3,4,,2022-10-24,19-165,SAS,@,MIN,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,72.0,3.789473684210526,0.0,76.59999999999998,4.03157894736842
4,5,,2022-10-26,19-167,SAS,@,MIN,L (-12),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,68.0,3.5789473684210527,0.0,87.5,4.605263157894737
5,6,,2022-10-28,19-169,SAS,,CHI,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,,67.0,3.526315789473684,0.0,81.3,4.278947368421052
6,7,1,2022-10-30,19-171,SAS,,MIN,W (+9),0,19:00,1.0,7.0,.143,1.0,4.0,.250,2,2.0,1.000,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,2.5,+2,3.0,0.0,0.0,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,0.0,57.0,3.0,1.7000000000000015,67.89999999999999,3.573684210526315
7,8,2,2022-11-02,19-174,SAS,,TOR,L (-43),0,22:42,4.0,11.0,.364,2.0,6.0,.333,3,4.0,.750,1.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,13.0,8.2,-11,5.0,2.0,0.4,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,2.0,61.0,3.210526315789474,7.0,50.09999999999998,2.636842105263157
8,9,3,2022-11-04,19-176,SAS,,LAC,L (-7),1,13:55,1.0,3.0,.333,0.0,1.0,.000,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,1.5,+1,2.0,1.0,0.5,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,3.0,62.0,3.263157894736842,1.5000000000000004,78.69999999999999,4.1421052631578945
9,10,4,2022-11-05,19-177,SAS,@,DEN,L (-25),1,22:37,2.0,7.0,.286,0.0,4.0,.000,0,0.0,,0.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,4.0,0.9,-7,3.0,2.0,0.6666666666666666,34,26,25,26,50,24,30,33,40,29,53,50,35,16,54,54,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,43.0,30.0,68.0,63.0,0.0,0.918918918918919,0.7428571428571429,0.6578947368421053,0.9285714285714286,0.78125,0.7741935483870968,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.0,0.4461538461538462,0.0,0.7910447761194029,0.7936507936507936,0.813953488372093,0.5333333333333333,0.7941176470588235,0.8571428571428571,18,14,17,73.0,17.0,23.0,20.0,43.0,0.2465753424657534,0.8235294117647058,0.0,0.0,0.3953488372093023,19,0.0,66.0,3.473684210526316,0.8999999999999995,73.8,3.884210526315789
