Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1,1.0,2022-10-19,19-299,SAS,CHO,0.0,25.85,3.0,11.0,0.273,0.0,3.0,0.0,4.0,4.0,1.0,0.0,3.0,3.0,5.0,0.0,1.0,3.0,2.0,10.0,4.8,-18.0,8.0,3.0,0.375,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,1.0,41.0,0.0,3.200000000000002,0,,6.1,-0.1,-6.3,-4.7,-1.6,0.0030208220951558,0.467,0.462,0.346,-0.1,-0.2,L (-27),L (-27)
2,2.0,2022-10-21,19-301,SAS,IND,0.0,20.816666666666663,1.0,2.0,0.5,0.0,1.0,0.0,1.0,2.0,0.5,0.0,4.0,4.0,7.0,1.0,0.0,3.0,2.0,3.0,4.9,14.0,1.0,1.0,1.0,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,8.0,53.0,0.0,4.499999999999999,0,,6.1,-0.1,-6.3,-4.7,-1.6,0.0030208220951558,0.467,0.462,0.346,-0.1,-0.2,W (+3),W (+3)
3,3.0,2022-10-22,19-302,SAS,PHI,0.0,22.1,2.0,8.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.0,3.0,3.0,4.0,0.0,1.0,1.0,2.0,5.0,2.8,6.0,4.0,1.0,0.25,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,4.0,59.0,0.0,2.8,0,,6.1,-0.1,-6.3,-4.7,-1.6,0.0030208220951558,0.467,0.462,0.346,-0.1,-0.2,W (+9),W (+9)
4,4.0,2022-10-24,19-304,SAS,MIN,0.0,24.58333333333333,3.0,5.0,0.6,2.0,4.0,0.5,2.0,3.0,0.667,2.0,1.0,3.0,2.0,0.0,0.0,4.0,2.0,10.0,5.6,-4.0,1.0,1.0,1.0,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,3.0,69.0,0.0,4.800000000000001,0,,6.1,-0.1,-6.3,-4.7,-1.6,0.0030208220951558,0.467,0.462,0.346,-0.1,-0.2,W (+9),W (+9)
5,,2022-10-26,19-306,SAS,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,,68.0,0.0,0.0,0,,6.1,-0.1,-6.3,-4.7,-1.6,0.0030208220951558,0.467,0.462,0.346,-0.1,-0.2,L (-12),L (-12)
6,,2022-10-28,19-308,SAS,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17.0,23.0,20.0,43.0,0.0,0.0,0.0,0.0,0.0,0,,67.0,0.0,0.0,0,,6.1,-0.1,-6.3,-4.7,-1.6,0.0030208220951558,0.467,0.462,0.346,-0.1,-0.2,W (+5),W (+5)
