Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,23-008,SAS,CHO,1,29.65,8.0,17.0,.471,3.0,7.0,.429,1,2.0,.500,2.0,9.0,11.0,4.0,2.0,0.0,2.0,2.0,20.0,17.0,-11,10.0,5.0,0.5,24,29,30,15,51,25,37,41,46,37,48,50,30,27,53,49,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.8285714285714286,0.7894736842105263,0.5357142857142857,0.796875,0.8064516129032258,0.8809523809523809,0.5694444444444444,0.8214285714285714,0.0,0.5692307692307692,0.0,0.7164179104477612,0.7575757575757576,0.6976744186046512,0.9,0.7794117647058824,0.7777777777777778,12,8,9,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.4705882352941176,0.0,0.0,0.2093023255813953,19,16.0,26.0,1.368421052631579,16.599999999999994,34.99999999999999,1.8421052631578945,15.3,1.3,-1.8,0.7,-2.5,0.1494228072068184,0.551,0.366,0.294,0.1,0.7,L (-27),L (-27)
2.0,2.0,2022-10-21,23-010,SAS,IND,1,33.4,8.0,15.0,.533,4.0,9.0,.444,3,4.0,.750,0.0,3.0,3.0,6.0,1.0,0.0,2.0,4.0,23.0,17.8,+16,6.0,4.0,0.6666666666666666,24,29,30,15,51,25,37,41,46,37,48,50,30,27,53,49,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.8285714285714286,0.7894736842105263,0.5357142857142857,0.796875,0.8064516129032258,0.8809523809523809,0.5694444444444444,0.8214285714285714,0.0,0.5692307692307692,0.0,0.7164179104477612,0.7575757575757576,0.6976744186046512,0.9,0.7794117647058824,0.7777777777777778,12,8,9,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.4705882352941176,0.0,0.0,0.2093023255813953,19,12.0,49.0,2.5789473684210527,16.599999999999994,48.80000000000001,2.5684210526315794,15.3,1.3,-1.8,0.7,-2.5,0.1494228072068184,0.551,0.366,0.294,0.1,0.7,W (+3),W (+3)
3.0,3.0,2022-10-22,23-011,SAS,PHI,1,31.75,7.0,17.0,.412,3.0,8.0,.375,4,5.0,.800,2.0,6.0,8.0,0.0,1.0,0.0,3.0,1.0,21.0,12.3,+13,9.0,4.0,0.4444444444444444,24,29,30,15,51,25,37,41,46,37,48,50,30,27,53,49,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.8285714285714286,0.7894736842105263,0.5357142857142857,0.796875,0.8064516129032258,0.8809523809523809,0.5694444444444444,0.8214285714285714,0.0,0.5692307692307692,0.0,0.7164179104477612,0.7575757575757576,0.6976744186046512,0.9,0.7794117647058824,0.7777777777777778,12,8,9,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.4705882352941176,0.0,0.0,0.2093023255813953,19,5.0,58.0,3.0526315789473686,10.7,60.3,3.173684210526316,15.3,1.3,-1.8,0.7,-2.5,0.1494228072068184,0.551,0.366,0.294,0.1,0.7,W (+9),W (+9)
4.0,4.0,2022-10-24,23-013,SAS,MIN,1,33.8,8.0,20.0,.400,1.0,6.0,.167,1,4.0,.250,0.0,3.0,3.0,4.0,2.0,0.0,1.0,0.0,18.0,10.7,+5,14.0,7.0,0.5,24,29,30,15,51,25,37,41,46,37,48,50,30,27,53,49,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.8285714285714286,0.7894736842105263,0.5357142857142857,0.796875,0.8064516129032258,0.8809523809523809,0.5694444444444444,0.8214285714285714,0.0,0.5692307692307692,0.0,0.7164179104477612,0.7575757575757576,0.6976744186046512,0.9,0.7794117647058824,0.7777777777777778,12,8,9,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.4705882352941176,0.0,0.0,0.2093023255813953,19,2.0,70.0,3.684210526315789,10.3,66.29999999999998,3.4894736842105254,15.3,1.3,-1.8,0.7,-2.5,0.1494228072068184,0.551,0.366,0.294,0.1,0.7,W (+9),W (+9)
5.0,5.0,2022-10-26,23-015,SAS,MIN,1,33.28333333333333,9.0,20.0,.450,5.0,10.0,.500,4,4.0,1.000,0.0,4.0,4.0,3.0,0.0,0.0,3.0,2.0,27.0,16.1,-2,10.0,4.0,0.4,24,29,30,15,51,25,37,41,46,37,48,50,30,27,53,49,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.8285714285714286,0.7894736842105263,0.5357142857142857,0.796875,0.8064516129032258,0.8809523809523809,0.5694444444444444,0.8214285714285714,0.0,0.5692307692307692,0.0,0.7164179104477612,0.7575757575757576,0.6976744186046512,0.9,0.7794117647058824,0.7777777777777778,12,8,9,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.4705882352941176,0.0,0.0,0.2093023255813953,19,7.0,61.0,3.210526315789474,14.499999999999996,72.99999999999999,3.842105263157894,15.3,1.3,-1.8,0.7,-2.5,0.1494228072068184,0.551,0.366,0.294,0.1,0.7,L (-12),L (-12)
6.0,6.0,2022-10-28,23-017,SAS,CHI,1,34.666666666666664,8.0,19.0,.421,6.0,12.0,.500,11,12.0,.917,0.0,3.0,3.0,4.0,2.0,0.0,4.0,2.0,33.0,23.4,+10,7.0,2.0,0.2857142857142857,24,29,30,15,51,25,37,41,46,37,48,50,30,27,53,49,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.8285714285714286,0.7894736842105263,0.5357142857142857,0.796875,0.8064516129032258,0.8809523809523809,0.5694444444444444,0.8214285714285714,0.0,0.5692307692307692,0.0,0.7164179104477612,0.7575757575757576,0.6976744186046512,0.9,0.7794117647058824,0.7777777777777778,12,8,9,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.4705882352941176,0.0,0.0,0.2093023255813953,19,7.0,60.0,3.1578947368421053,19.0,62.29999999999999,3.278947368421052,15.3,1.3,-1.8,0.7,-2.5,0.1494228072068184,0.551,0.366,0.294,0.1,0.7,W (+5),W (+5)
7.0,7.0,2022-10-30,23-019,SAS,MIN,1,38.05,8.0,15.0,.533,5.0,10.0,.500,4,4.0,1.000,0.0,6.0,6.0,8.0,1.0,1.0,5.0,1.0,25.0,21.4,+20,5.0,3.0,0.6,24,29,30,15,51,25,37,41,46,37,48,50,30,27,53,49,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.8285714285714286,0.7894736842105263,0.5357142857142857,0.796875,0.8064516129032258,0.8809523809523809,0.5694444444444444,0.8214285714285714,0.0,0.5692307692307692,0.0,0.7164179104477612,0.7575757575757576,0.6976744186046512,0.9,0.7794117647058824,0.7777777777777778,12,8,9,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.4705882352941176,0.0,0.0,0.2093023255813953,19,17.0,40.0,2.1052631578947367,19.800000000000004,49.8,2.621052631578947,15.3,1.3,-1.8,0.7,-2.5,0.1494228072068184,0.551,0.366,0.294,0.1,0.7,W (+9),W (+9)
8.0,,2022-11-02,23-022,SAS,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,29,30,15,51,25,37,41,46,37,48,50,30,27,53,49,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.8285714285714286,0.7894736842105263,0.5357142857142857,0.796875,0.8064516129032258,0.8809523809523809,0.5694444444444444,0.8214285714285714,0.0,0.5692307692307692,0.0,0.7164179104477612,0.7575757575757576,0.6976744186046512,0.9,0.7794117647058824,0.7777777777777778,12,8,9,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.4705882352941176,0.0,0.0,0.2093023255813953,19,,63.0,3.3157894736842106,0.0,57.09999999999999,3.005263157894736,15.3,1.3,-1.8,0.7,-2.5,0.1494228072068184,0.551,0.366,0.294,0.1,0.7,L (-43),L (-43)
9.0,8.0,2022-11-04,23-024,SAS,LAC,1,34.416666666666664,7.0,19.0,.368,2.0,9.0,.222,0,1.0,.000,1.0,6.0,7.0,3.0,0.0,0.0,0.0,3.0,16.0,8.5,-12,10.0,5.0,0.5,24,29,30,15,51,25,37,41,46,37,48,50,30,27,53,49,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.8285714285714286,0.7894736842105263,0.5357142857142857,0.796875,0.8064516129032258,0.8809523809523809,0.5694444444444444,0.8214285714285714,0.0,0.5692307692307692,0.0,0.7164179104477612,0.7575757575757576,0.6976744186046512,0.9,0.7794117647058824,0.7777777777777778,12,8,9,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.4705882352941176,0.0,0.0,0.2093023255813953,19,6.0,59.0,3.1052631578947367,8.5,71.69999999999999,3.7736842105263153,15.3,1.3,-1.8,0.7,-2.5,0.1494228072068184,0.551,0.366,0.294,0.1,0.7,L (-7),L (-7)
10.0,9.0,2022-11-05,23-025,SAS,DEN,1,31.133333333333333,8.0,14.0,.571,4.0,7.0,.571,5,6.0,.833,0.0,3.0,3.0,4.0,0.0,0.0,3.0,0.0,25.0,18.7,-16,7.0,4.0,0.5714285714285714,24,29,30,15,51,25,37,41,46,37,48,50,30,27,53,49,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.8285714285714286,0.7894736842105263,0.5357142857142857,0.796875,0.8064516129032258,0.8809523809523809,0.5694444444444444,0.8214285714285714,0.0,0.5692307692307692,0.0,0.7164179104477612,0.7575757575757576,0.6976744186046512,0.9,0.7794117647058824,0.7777777777777778,12,8,9,73.0,17.0,23.0,20.0,43.0,0.1643835616438356,0.4705882352941176,0.0,0.0,0.2093023255813953,19,9.0,57.0,3.0,16.700000000000003,57.99999999999999,3.052631578947368,15.3,1.3,-1.8,0.7,-2.5,0.1494228072068184,0.551,0.366,0.294,0.1,0.7,L (-25),L (-25)
