Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,26-269,SAS,CHO,0,4.933333333333334,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.7,-14,1.0,1.0,1.0,35,29,31,27,51,28,34,35,44,29,48,53,29,25,53,50,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.945945945945946,0.8285714285714286,0.8157894736842105,0.9642857142857144,0.796875,0.9032258064516128,0.8095238095238095,0.4861111111111111,0.7857142857142857,0.0,0.4461538461538462,0.0,0.7619047619047619,0.803030303030303,0.6744186046511628,0.8333333333333334,0.7794117647058824,0.7936507936507936,19,14,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8235294117647058,0.0,0.0,0.4186046511627907,19,0.0,42.0,2.210526315789474,0.7,50.899999999999984,2.678947368421052,14.9,2.7,-0.6,0.3,-0.9,0.0698025676987808,0.609,0.305,0.323,0.5,2.1,L (-27),L (-27)
2.0,2.0,2022-10-21,26-271,SAS,IND,0,8.533333333333333,2.0,3.0,.667,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.4,+1,3.0,2.0,0.6666666666666666,35,29,31,27,51,28,34,35,44,29,48,53,29,25,53,50,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.945945945945946,0.8285714285714286,0.8157894736842105,0.9642857142857144,0.796875,0.9032258064516128,0.8095238095238095,0.4861111111111111,0.7857142857142857,0.0,0.4461538461538462,0.0,0.7619047619047619,0.803030303030303,0.6744186046511628,0.8333333333333334,0.7794117647058824,0.7936507936507936,19,14,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8235294117647058,0.0,0.0,0.4186046511627907,19,2.0,59.0,3.1052631578947367,3.4000000000000004,62.0,3.263157894736842,14.9,2.7,-0.6,0.3,-0.9,0.0698025676987808,0.609,0.305,0.323,0.5,2.1,W (+3),W (+3)
3.0,3.0,2022-10-22,26-272,SAS,PHI,0,4.033333333333333,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.7,0,0.0,0.0,,35,29,31,27,51,28,34,35,44,29,48,53,29,25,53,50,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.945945945945946,0.8285714285714286,0.8157894736842105,0.9642857142857144,0.796875,0.9032258064516128,0.8095238095238095,0.4861111111111111,0.7857142857142857,0.0,0.4461538461538462,0.0,0.7619047619047619,0.803030303030303,0.6744186046511628,0.8333333333333334,0.7794117647058824,0.7936507936507936,19,14,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8235294117647058,0.0,0.0,0.4186046511627907,19,2.0,61.0,3.210526315789474,2.7,68.3,3.594736842105263,14.9,2.7,-0.6,0.3,-0.9,0.0698025676987808,0.609,0.305,0.323,0.5,2.1,W (+9),W (+9)
4.0,4.0,2022-10-24,26-274,SAS,MIN,0,0.4333333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,35,29,31,27,51,28,34,35,44,29,48,53,29,25,53,50,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.945945945945946,0.8285714285714286,0.8157894736842105,0.9642857142857144,0.796875,0.9032258064516128,0.8095238095238095,0.4861111111111111,0.7857142857142857,0.0,0.4461538461538462,0.0,0.7619047619047619,0.803030303030303,0.6744186046511628,0.8333333333333334,0.7794117647058824,0.7936507936507936,19,14,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8235294117647058,0.0,0.0,0.4186046511627907,19,0.0,72.0,3.789473684210526,0.0,76.59999999999998,4.03157894736842,14.9,2.7,-0.6,0.3,-0.9,0.0698025676987808,0.609,0.305,0.323,0.5,2.1,W (+9),W (+9)
5.0,5.0,2022-10-26,26-276,SAS,MIN,0,14.75,6.0,9.0,.667,0.0,0.0,,3,3.0,1.000,1.0,3.0,4.0,1.0,1.0,0.0,3.0,0.0,15.0,11.4,0,9.0,6.0,0.6666666666666666,35,29,31,27,51,28,34,35,44,29,48,53,29,25,53,50,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.945945945945946,0.8285714285714286,0.8157894736842105,0.9642857142857144,0.796875,0.9032258064516128,0.8095238095238095,0.4861111111111111,0.7857142857142857,0.0,0.4461538461538462,0.0,0.7619047619047619,0.803030303030303,0.6744186046511628,0.8333333333333334,0.7794117647058824,0.7936507936507936,19,14,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8235294117647058,0.0,0.0,0.4186046511627907,19,6.0,62.0,3.263157894736842,10.199999999999996,77.29999999999998,4.068421052631578,14.9,2.7,-0.6,0.3,-0.9,0.0698025676987808,0.609,0.305,0.323,0.5,2.1,L (-12),L (-12)
6.0,6.0,2022-10-28,26-278,SAS,CHI,0,14.833333333333334,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.7,+2,3.0,2.0,0.6666666666666666,35,29,31,27,51,28,34,35,44,29,48,53,29,25,53,50,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.945945945945946,0.8285714285714286,0.8157894736842105,0.9642857142857144,0.796875,0.9032258064516128,0.8095238095238095,0.4861111111111111,0.7857142857142857,0.0,0.4461538461538462,0.0,0.7619047619047619,0.803030303030303,0.6744186046511628,0.8333333333333334,0.7794117647058824,0.7936507936507936,19,14,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8235294117647058,0.0,0.0,0.4186046511627907,19,0.0,67.0,3.526315789473684,1.7000000000000002,79.6,4.189473684210526,14.9,2.7,-0.6,0.3,-0.9,0.0698025676987808,0.609,0.305,0.323,0.5,2.1,W (+5),W (+5)
7.0,7.0,2022-10-30,26-280,SAS,MIN,1,22.95,6.0,15.0,.400,1.0,5.0,.200,5,5.0,1.000,2.0,4.0,6.0,1.0,0.0,0.0,4.0,4.0,18.0,7.6,-1,10.0,5.0,0.5,35,29,31,27,51,28,34,35,44,29,48,53,29,25,53,50,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.945945945945946,0.8285714285714286,0.8157894736842105,0.9642857142857144,0.796875,0.9032258064516128,0.8095238095238095,0.4861111111111111,0.7857142857142857,0.0,0.4461538461538462,0.0,0.7619047619047619,0.803030303030303,0.6744186046511628,0.8333333333333334,0.7794117647058824,0.7936507936507936,19,14,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8235294117647058,0.0,0.0,0.4186046511627907,19,1.0,56.0,2.9473684210526314,5.599999999999996,64.0,3.3684210526315788,14.9,2.7,-0.6,0.3,-0.9,0.0698025676987808,0.609,0.305,0.323,0.5,2.1,W (+9),W (+9)
8.0,8.0,2022-11-02,26-283,SAS,TOR,1,24.916666666666668,6.0,12.0,.500,2.0,4.0,.500,3,4.0,.750,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,17.0,10.9,-30,8.0,4.0,0.5,35,29,31,27,51,28,34,35,44,29,48,53,29,25,53,50,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.945945945945946,0.8285714285714286,0.8157894736842105,0.9642857142857144,0.796875,0.9032258064516128,0.8095238095238095,0.4861111111111111,0.7857142857142857,0.0,0.4461538461538462,0.0,0.7619047619047619,0.803030303030303,0.6744186046511628,0.8333333333333334,0.7794117647058824,0.7936507936507936,19,14,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8235294117647058,0.0,0.0,0.4186046511627907,19,4.0,59.0,3.1052631578947367,9.699999999999998,47.399999999999984,2.4947368421052625,14.9,2.7,-0.6,0.3,-0.9,0.0698025676987808,0.609,0.305,0.323,0.5,2.1,L (-43),L (-43)
9.0,9.0,2022-11-04,26-285,SAS,LAC,0,19.1,2.0,4.0,.500,0.0,0.0,,3,5.0,.600,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,7.0,6.5,-4,4.0,2.0,0.5,35,29,31,27,51,28,34,35,44,29,48,53,29,25,53,50,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.945945945945946,0.8285714285714286,0.8157894736842105,0.9642857142857144,0.796875,0.9032258064516128,0.8095238095238095,0.4861111111111111,0.7857142857142857,0.0,0.4461538461538462,0.0,0.7619047619047619,0.803030303030303,0.6744186046511628,0.8333333333333334,0.7794117647058824,0.7936507936507936,19,14,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8235294117647058,0.0,0.0,0.4186046511627907,19,2.0,63.0,3.3157894736842106,5.3,74.89999999999999,3.9421052631578943,14.9,2.7,-0.6,0.3,-0.9,0.0698025676987808,0.609,0.305,0.323,0.5,2.1,L (-7),L (-7)
10.0,10.0,2022-11-05,26-286,SAS,DEN,0,18.383333333333333,3.0,5.0,.600,0.0,1.0,.000,2,2.0,1.000,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,8.0,9.1,-12,4.0,3.0,0.75,35,29,31,27,51,28,34,35,44,29,48,53,29,25,53,50,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.945945945945946,0.8285714285714286,0.8157894736842105,0.9642857142857144,0.796875,0.9032258064516128,0.8095238095238095,0.4861111111111111,0.7857142857142857,0.0,0.4461538461538462,0.0,0.7619047619047619,0.803030303030303,0.6744186046511628,0.8333333333333334,0.7794117647058824,0.7936507936507936,19,14,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8235294117647058,0.0,0.0,0.4186046511627907,19,6.0,60.0,3.1578947368421053,8.299999999999999,66.39999999999999,3.494736842105263,14.9,2.7,-0.6,0.3,-0.9,0.0698025676987808,0.609,0.305,0.323,0.5,2.1,L (-25),L (-25)
