Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,1.0,2022-10-19,19-152,SAS,CHO,1,27.433333333333334,2.0,8.0,.250,0.0,2.0,.000,0,1.0,.000,2.0,5.0,7.0,2.0,2.0,0.0,0.0,2.0,4.0,4.3,-2,6.0,2.0,0.3333333333333333,16,26,30,12,47,22,32,41,37,44,46,40,27,24,49,45,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4324324324324324,0.7428571428571429,0.7894736842105263,0.4285714285714285,0.734375,0.7096774193548387,0.7619047619047619,0.5694444444444444,0.0,0.5692307692307692,0.0,0.6567164179104478,0.7301587301587301,0.6060606060606061,0.627906976744186,0.8,0.7205882352941176,0.7142857142857143,11,5,7,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.2941176470588235,0.0,0.0,0.1627906976744186,19,6.0,36.0,1.894736842105263,4.3,47.29999999999999,2.489473684210526,11.4,0.2,-4.0,-2.8,-1.2,0.0662423130866328,0.509,0.243,0.21,-0.7,-0.5,L (-27),L (-27)
2.0,2.0,2022-10-21,19-154,SAS,IND,1,21.066666666666663,2.0,4.0,.500,0.0,1.0,.000,0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,1.0,3.0,4.0,2.4,+2,3.0,2.0,0.6666666666666666,16,26,30,12,47,22,32,41,37,44,46,40,27,24,49,45,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4324324324324324,0.7428571428571429,0.7894736842105263,0.4285714285714285,0.734375,0.7096774193548387,0.7619047619047619,0.5694444444444444,0.0,0.5692307692307692,0.0,0.6567164179104478,0.7301587301587301,0.6060606060606061,0.627906976744186,0.8,0.7205882352941176,0.7142857142857143,11,5,7,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.2941176470588235,0.0,0.0,0.1627906976744186,19,5.0,56.0,2.9473684210526314,2.4000000000000004,63.0,3.3157894736842106,11.4,0.2,-4.0,-2.8,-1.2,0.0662423130866328,0.509,0.243,0.21,-0.7,-0.5,W (+3),W (+3)
3.0,3.0,2022-10-22,19-155,SAS,PHI,1,10.283333333333331,0.0,3.0,.000,0.0,2.0,.000,1,2.0,.500,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,-0.6,-9,1.0,0.0,0.0,16,26,30,12,47,22,32,41,37,44,46,40,27,24,49,45,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4324324324324324,0.7428571428571429,0.7894736842105263,0.4285714285714285,0.734375,0.7096774193548387,0.7619047619047619,0.5694444444444444,0.0,0.5692307692307692,0.0,0.6567164179104478,0.7301587301587301,0.6060606060606061,0.627906976744186,0.8,0.7205882352941176,0.7142857142857143,11,5,7,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.2941176470588235,0.0,0.0,0.1627906976744186,19,0.0,63.0,3.3157894736842106,-1.0,72.0,3.789473684210526,11.4,0.2,-4.0,-2.8,-1.2,0.0662423130866328,0.509,0.243,0.21,-0.7,-0.5,W (+9),W (+9)
4.0,4.0,2022-10-24,19-157,SAS,MIN,1,23.383333333333333,7.0,9.0,.778,0.0,2.0,.000,0,0.0,,2.0,2.0,4.0,1.0,1.0,0.0,1.0,5.0,14.0,11.2,+13,7.0,7.0,1.0,16,26,30,12,47,22,32,41,37,44,46,40,27,24,49,45,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4324324324324324,0.7428571428571429,0.7894736842105263,0.4285714285714285,0.734375,0.7096774193548387,0.7619047619047619,0.5694444444444444,0.0,0.5692307692307692,0.0,0.6567164179104478,0.7301587301587301,0.6060606060606061,0.627906976744186,0.8,0.7205882352941176,0.7142857142857143,11,5,7,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.2941176470588235,0.0,0.0,0.1627906976744186,19,10.0,62.0,3.263157894736842,11.2,65.39999999999999,3.4421052631578943,11.4,0.2,-4.0,-2.8,-1.2,0.0662423130866328,0.509,0.243,0.21,-0.7,-0.5,W (+9),W (+9)
5.0,5.0,2022-10-26,19-159,SAS,MIN,1,27.633333333333333,5.0,13.0,.385,2.0,6.0,.333,0,0.0,,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,12.0,6.5,+2,7.0,3.0,0.4285714285714285,16,26,30,12,47,22,32,41,37,44,46,40,27,24,49,45,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4324324324324324,0.7428571428571429,0.7894736842105263,0.4285714285714285,0.734375,0.7096774193548387,0.7619047619047619,0.5694444444444444,0.0,0.5692307692307692,0.0,0.6567164179104478,0.7301587301587301,0.6060606060606061,0.627906976744186,0.8,0.7205882352941176,0.7142857142857143,11,5,7,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.2941176470588235,0.0,0.0,0.1627906976744186,19,3.0,65.0,3.421052631578948,6.499999999999997,80.99999999999999,4.263157894736842,11.4,0.2,-4.0,-2.8,-1.2,0.0662423130866328,0.509,0.243,0.21,-0.7,-0.5,L (-12),L (-12)
6.0,6.0,2022-10-28,19-161,SAS,CHI,1,31.266666666666666,5.0,8.0,.625,2.0,4.0,.500,1,2.0,.500,0.0,6.0,6.0,5.0,1.0,1.0,3.0,3.0,13.0,11.8,+4,4.0,3.0,0.75,16,26,30,12,47,22,32,41,37,44,46,40,27,24,49,45,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4324324324324324,0.7428571428571429,0.7894736842105263,0.4285714285714285,0.734375,0.7096774193548387,0.7619047619047619,0.5694444444444444,0.0,0.5692307692307692,0.0,0.6567164179104478,0.7301587301587301,0.6060606060606061,0.627906976744186,0.8,0.7205882352941176,0.7142857142857143,11,5,7,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.2941176470588235,0.0,0.0,0.1627906976744186,19,13.0,54.0,2.8421052631578947,11.4,69.89999999999999,3.678947368421052,11.4,0.2,-4.0,-2.8,-1.2,0.0662423130866328,0.509,0.243,0.21,-0.7,-0.5,W (+5),W (+5)
7.0,,2022-10-30,19-163,SAS,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,16,26,30,12,47,22,32,41,37,44,46,40,27,24,49,45,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4324324324324324,0.7428571428571429,0.7894736842105263,0.4285714285714285,0.734375,0.7096774193548387,0.7619047619047619,0.5694444444444444,0.0,0.5692307692307692,0.0,0.6567164179104478,0.7301587301587301,0.6060606060606061,0.627906976744186,0.8,0.7205882352941176,0.7142857142857143,11,5,7,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.2941176470588235,0.0,0.0,0.1627906976744186,19,,57.0,3.0,0.0,69.6,3.663157894736842,11.4,0.2,-4.0,-2.8,-1.2,0.0662423130866328,0.509,0.243,0.21,-0.7,-0.5,W (+9),W (+9)
8.0,7.0,2022-11-02,19-166,SAS,TOR,1,9.816666666666666,1.0,4.0,.250,0.0,2.0,.000,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.6,-13,2.0,1.0,0.5,16,26,30,12,47,22,32,41,37,44,46,40,27,24,49,45,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4324324324324324,0.7428571428571429,0.7894736842105263,0.4285714285714285,0.734375,0.7096774193548387,0.7619047619047619,0.5694444444444444,0.0,0.5692307692307692,0.0,0.6567164179104478,0.7301587301587301,0.6060606060606061,0.627906976744186,0.8,0.7205882352941176,0.7142857142857143,11,5,7,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.2941176470588235,0.0,0.0,0.1627906976744186,19,1.0,62.0,3.263157894736842,1.5999999999999996,55.49999999999999,2.921052631578947,11.4,0.2,-4.0,-2.8,-1.2,0.0662423130866328,0.509,0.243,0.21,-0.7,-0.5,L (-43),L (-43)
9.0,8.0,2022-11-04,19-168,SAS,LAC,1,22.1,3.0,8.0,.375,0.0,4.0,.000,0,0.0,,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,6.0,3.0,-5,4.0,3.0,0.75,16,26,30,12,47,22,32,41,37,44,46,40,27,24,49,45,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4324324324324324,0.7428571428571429,0.7894736842105263,0.4285714285714285,0.734375,0.7096774193548387,0.7619047619047619,0.5694444444444444,0.0,0.5692307692307692,0.0,0.6567164179104478,0.7301587301587301,0.6060606060606061,0.627906976744186,0.8,0.7205882352941176,0.7142857142857143,11,5,7,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.2941176470588235,0.0,0.0,0.1627906976744186,19,1.0,64.0,3.3684210526315788,3.0000000000000018,77.19999999999999,4.063157894736841,11.4,0.2,-4.0,-2.8,-1.2,0.0662423130866328,0.509,0.243,0.21,-0.7,-0.5,L (-7),L (-7)
10.0,9.0,2022-11-05,19-169,SAS,DEN,1,24.183333333333334,2.0,2.0,1.000,1.0,1.0,1.000,0,0.0,,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,5.0,7.0,+6,1.0,1.0,1.0,16,26,30,12,47,22,32,41,37,44,46,40,27,24,49,45,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.4324324324324324,0.7428571428571429,0.7894736842105263,0.4285714285714285,0.734375,0.7096774193548387,0.7619047619047619,0.5694444444444444,0.0,0.5692307692307692,0.0,0.6567164179104478,0.7301587301587301,0.6060606060606061,0.627906976744186,0.8,0.7205882352941176,0.7142857142857143,11,5,7,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.2941176470588235,0.0,0.0,0.1627906976744186,19,8.0,58.0,3.0526315789473686,6.999999999999999,67.69999999999999,3.5631578947368414,11.4,0.2,-4.0,-2.8,-1.2,0.0662423130866328,0.509,0.243,0.21,-0.7,-0.5,L (-25),L (-25)
