Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
1.0,,2022-10-19,19-217,SAS,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,11,8,24,24,14,11,11,16,7,35,24,34,14,2,24,29,4.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3142857142857143,0.2105263157894736,0.8571428571428571,0.375,0.4516129032258064,0.2619047619047619,0.1527777777777778,0.2857142857142857,0.0,0.1076923076923077,0.0,0.5223880597014925,0.3809523809523809,0.5151515151515151,0.3255813953488372,0.0666666666666666,0.3529411764705882,0.4603174603174603,19,15,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8823529411764706,0.0,0.0,0.4186046511627907,19,,42.0,2.210526315789474,0.0,51.59999999999999,2.7157894736842096,3.5,-1.6,-9.6,-7.9,-1.8,0.0198511166253101,0.393,0.242,0.205,-1.3,-1.9,L (-27),L (-27)
2.0,,2022-10-21,19-219,SAS,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,11,8,24,24,14,11,11,16,7,35,24,34,14,2,24,29,4.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3142857142857143,0.2105263157894736,0.8571428571428571,0.375,0.4516129032258064,0.2619047619047619,0.1527777777777778,0.2857142857142857,0.0,0.1076923076923077,0.0,0.5223880597014925,0.3809523809523809,0.5151515151515151,0.3255813953488372,0.0666666666666666,0.3529411764705882,0.4603174603174603,19,15,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8823529411764706,0.0,0.0,0.4186046511627907,19,,61.0,3.210526315789474,0.0,65.39999999999999,3.4421052631578943,3.5,-1.6,-9.6,-7.9,-1.8,0.0198511166253101,0.393,0.242,0.205,-1.3,-1.9,W (+3),W (+3)
3.0,,2022-10-22,19-220,SAS,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11,8,24,24,14,11,11,16,7,35,24,34,14,2,24,29,4.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3142857142857143,0.2105263157894736,0.8571428571428571,0.375,0.4516129032258064,0.2619047619047619,0.1527777777777778,0.2857142857142857,0.0,0.1076923076923077,0.0,0.5223880597014925,0.3809523809523809,0.5151515151515151,0.3255813953488372,0.0666666666666666,0.3529411764705882,0.4603174603174603,19,15,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8823529411764706,0.0,0.0,0.4186046511627907,19,,63.0,3.3157894736842106,0.0,71.0,3.736842105263158,3.5,-1.6,-9.6,-7.9,-1.8,0.0198511166253101,0.393,0.242,0.205,-1.3,-1.9,W (+9),W (+9)
4.0,,2022-10-24,19-222,SAS,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11,8,24,24,14,11,11,16,7,35,24,34,14,2,24,29,4.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3142857142857143,0.2105263157894736,0.8571428571428571,0.375,0.4516129032258064,0.2619047619047619,0.1527777777777778,0.2857142857142857,0.0,0.1076923076923077,0.0,0.5223880597014925,0.3809523809523809,0.5151515151515151,0.3255813953488372,0.0666666666666666,0.3529411764705882,0.4603174603174603,19,15,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8823529411764706,0.0,0.0,0.4186046511627907,19,,72.0,3.789473684210526,0.0,76.59999999999998,4.03157894736842,3.5,-1.6,-9.6,-7.9,-1.8,0.0198511166253101,0.393,0.242,0.205,-1.3,-1.9,W (+9),W (+9)
5.0,,2022-10-26,19-224,SAS,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11,8,24,24,14,11,11,16,7,35,24,34,14,2,24,29,4.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3142857142857143,0.2105263157894736,0.8571428571428571,0.375,0.4516129032258064,0.2619047619047619,0.1527777777777778,0.2857142857142857,0.0,0.1076923076923077,0.0,0.5223880597014925,0.3809523809523809,0.5151515151515151,0.3255813953488372,0.0666666666666666,0.3529411764705882,0.4603174603174603,19,15,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8823529411764706,0.0,0.0,0.4186046511627907,19,,68.0,3.5789473684210527,0.0,87.5,4.605263157894737,3.5,-1.6,-9.6,-7.9,-1.8,0.0198511166253101,0.393,0.242,0.205,-1.3,-1.9,L (-12),L (-12)
6.0,1.0,2022-10-28,19-226,SAS,CHI,0,15.25,4.0,6.0,.667,2.0,3.0,.667,0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,10.0,8.0,-18,3.0,2.0,0.6666666666666666,11,8,24,24,14,11,11,16,7,35,24,34,14,2,24,29,4.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3142857142857143,0.2105263157894736,0.8571428571428571,0.375,0.4516129032258064,0.2619047619047619,0.1527777777777778,0.2857142857142857,0.0,0.1076923076923077,0.0,0.5223880597014925,0.3809523809523809,0.5151515151515151,0.3255813953488372,0.0666666666666666,0.3529411764705882,0.4603174603174603,19,15,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8823529411764706,0.0,0.0,0.4186046511627907,19,7.0,60.0,3.1578947368421053,8.0,73.3,3.857894736842105,3.5,-1.6,-9.6,-7.9,-1.8,0.0198511166253101,0.393,0.242,0.205,-1.3,-1.9,W (+5),W (+5)
7.0,2.0,2022-10-30,19-228,SAS,MIN,0,8.233333333333333,2.0,3.0,.667,0.0,0.0,,2,4.0,.500,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,3.9,+8,3.0,2.0,0.6666666666666666,11,8,24,24,14,11,11,16,7,35,24,34,14,2,24,29,4.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3142857142857143,0.2105263157894736,0.8571428571428571,0.375,0.4516129032258064,0.2619047619047619,0.1527777777777778,0.2857142857142857,0.0,0.1076923076923077,0.0,0.5223880597014925,0.3809523809523809,0.5151515151515151,0.3255813953488372,0.0666666666666666,0.3529411764705882,0.4603174603174603,19,15,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8823529411764706,0.0,0.0,0.4186046511627907,19,0.0,57.0,3.0,3.1,66.5,3.5,3.5,-1.6,-9.6,-7.9,-1.8,0.0198511166253101,0.393,0.242,0.205,-1.3,-1.9,W (+9),W (+9)
8.0,,2022-11-02,19-231,SAS,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11,8,24,24,14,11,11,16,7,35,24,34,14,2,24,29,4.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3142857142857143,0.2105263157894736,0.8571428571428571,0.375,0.4516129032258064,0.2619047619047619,0.1527777777777778,0.2857142857142857,0.0,0.1076923076923077,0.0,0.5223880597014925,0.3809523809523809,0.5151515151515151,0.3255813953488372,0.0666666666666666,0.3529411764705882,0.4603174603174603,19,15,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8823529411764706,0.0,0.0,0.4186046511627907,19,,63.0,3.3157894736842106,0.0,57.09999999999999,3.005263157894736,3.5,-1.6,-9.6,-7.9,-1.8,0.0198511166253101,0.393,0.242,0.205,-1.3,-1.9,L (-43),L (-43)
9.0,,2022-11-04,19-233,SAS,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11,8,24,24,14,11,11,16,7,35,24,34,14,2,24,29,4.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3142857142857143,0.2105263157894736,0.8571428571428571,0.375,0.4516129032258064,0.2619047619047619,0.1527777777777778,0.2857142857142857,0.0,0.1076923076923077,0.0,0.5223880597014925,0.3809523809523809,0.5151515151515151,0.3255813953488372,0.0666666666666666,0.3529411764705882,0.4603174603174603,19,15,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8823529411764706,0.0,0.0,0.4186046511627907,19,,65.0,3.421052631578948,0.0,80.19999999999999,4.221052631578947,3.5,-1.6,-9.6,-7.9,-1.8,0.0198511166253101,0.393,0.242,0.205,-1.3,-1.9,L (-7),L (-7)
10.0,,2022-11-05,19-234,SAS,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11,8,24,24,14,11,11,16,7,35,24,34,14,2,24,29,4.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.3142857142857143,0.2105263157894736,0.8571428571428571,0.375,0.4516129032258064,0.2619047619047619,0.1527777777777778,0.2857142857142857,0.0,0.1076923076923077,0.0,0.5223880597014925,0.3809523809523809,0.5151515151515151,0.3255813953488372,0.0666666666666666,0.3529411764705882,0.4603174603174603,19,15,18,73.0,17.0,23.0,20.0,43.0,0.2602739726027397,0.8823529411764706,0.0,0.0,0.4186046511627907,19,,66.0,3.473684210526316,0.0,74.7,3.931578947368421,3.5,-1.6,-9.6,-7.9,-1.8,0.0198511166253101,0.393,0.242,0.205,-1.3,-1.9,L (-25),L (-25)
