Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alize Johnson,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Doug McDermott,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Jordan Hall,Shared Games with Joshua Primo,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Doug McDermott,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Doug McDermott,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins
30,30,,2022-12-19,29-095,SAS,@,HOU,W (+19),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
31,31,22,2022-12-22,29-098,SAS,@,NOP,L (-9),0,21.333333333333332,5.0,11.0,.455,2.0,5.0,.400,2,3,.667,1,2,3,3,0,0,1,2,14,9.5,-2,6.0,3.0,0.5,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
32,32,23,2022-12-23,29-099,SAS,@,ORL,L (-20),0,18.066666666666666,2.0,10.0,.200,0.0,4.0,.000,3,3,1.000,1,0,1,3,2,0,1,1,7,4.2,-15,6.0,2.0,0.3333333333333333,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
33,33,,2022-12-26,29-102,SAS,,UTA,W (+4),Did Not Play,0.0,,,Did Not Play,,,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
34,34,24,2022-12-27,29-103,SAS,@,OKC,L (-16),0,25.85,3.0,10.0,.300,1.0,4.0,.250,2,2,1.000,1,1,2,1,1,0,1,1,9,4.5,-18,6.0,2.0,0.3333333333333333,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
35,35,25,2022-12-29,29-105,SAS,,NYK,W (+7),0,19.2,3.0,6.0,.500,1.0,3.0,.333,2,2,1.000,1,2,3,4,2,0,0,1,9,11.7,+8,3.0,2.0,0.6666666666666666,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
36,36,26,2022-12-31,29-107,SAS,,DAL,L (-1),0,16.783333333333335,2.0,4.0,.500,0.0,1.0,.000,0,0,,1,3,4,5,0,0,2,0,4,5.1,+5,3.0,2.0,0.6666666666666666,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
37,37,27,2023-01-02,29-109,SAS,@,BRK,L (-36),0,21.616666666666667,5.0,9.0,.556,1.0,2.0,.500,0,0,,2,2,4,3,0,0,0,2,11,10.0,-10,7.0,4.0,0.5714285714285714,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
38,38,28,2023-01-04,29-111,SAS,@,NYK,L (-3),0,29.033333333333335,9.0,14.0,.643,2.0,5.0,.400,0,0,,1,2,3,4,1,0,2,3,20,15.7,-5,9.0,7.0,0.7777777777777778,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
39,39,29,2023-01-06,29-113,SAS,,DET,W (+12),0,19.666666666666668,3.0,6.0,.500,1.0,4.0,.250,2,2,1.000,0,2,2,5,1,0,1,2,9,9.3,+2,2.0,2.0,1.0,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
40,40,30,2023-01-07,29-114,SAS,,BOS,L (-5),0,28.866666666666667,7.0,14.0,.500,4.0,9.0,.444,0,0,,0,3,3,4,1,2,3,0,18,14.1,+6,5.0,3.0,0.6,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
41,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
42,41,31,2023-01-09,29-116,SAS,@,MEM,L (-8),0,24.766666666666666,6.0,12.0,.500,2.0,6.0,.333,2,2,1.000,1,4,5,5,2,0,2,3,16,14.2,-5,6.0,4.0,0.6666666666666666,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
43,42,32,2023-01-11,29-118,SAS,@,MEM,L (-6),0,22.533333333333335,5.0,10.0,.500,2.0,6.0,.333,0,0,,0,1,1,5,1,1,1,3,12,10.3,+6,4.0,3.0,0.75,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
44,43,33,2023-01-13,29-120,SAS,,GSW,L (-31),0,21.016666666666666,4.0,9.0,.444,1.0,5.0,.200,0,0,,1,2,3,5,1,1,0,3,9,9.6,-13,4.0,3.0,0.75,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
45,44,34,2023-01-15,29-122,SAS,,SAC,L (-13),0,30.033333333333335,8.0,13.0,.615,4.0,6.0,.667,1,1,1.000,0,1,1,4,1,0,0,1,21,18.8,+1,7.0,4.0,0.5714285714285714,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
46,45,35,2023-01-17,29-124,SAS,,BRK,W (+8),0,26.583333333333332,4.0,9.0,.444,1.0,4.0,.250,0,0,,2,2,4,1,1,2,1,1,9,8.0,+4,5.0,3.0,0.6,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
47,46,36,2023-01-20,29-127,SAS,,LAC,L (-5),0,22.233333333333334,6.0,10.0,.600,3.0,5.0,.600,2,3,.667,2,2,4,3,1,0,1,0,17,16.1,+1,5.0,3.0,0.6,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
48,47,37,2023-01-23,29-130,SAS,@,POR,L (-20),0,19.016666666666666,3.0,7.0,.429,2.0,4.0,.500,3,3,1.000,1,2,3,2,0,0,0,1,11,9.6,-22,3.0,1.0,0.3333333333333333,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
49,48,38,2023-01-25,29-132,SAS,@,LAL,L (-9),0,24.683333333333334,3.0,12.0,.250,1.0,6.0,.167,0,0,,1,6,7,3,0,0,2,1,7,2.0,+8,6.0,2.0,0.3333333333333333,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
50,49,,2023-01-26,29-133,SAS,@,LAC,L (-38),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
51,50,,2023-01-28,29-135,SAS,,PHO,L (-10),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
52,51,,2023-01-30,29-137,SAS,,WAS,L (-21),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
53,52,39,2023-02-01,29-139,SAS,,SAC,L (-10),0,28.866666666666667,8.0,13.0,.615,2.0,6.0,.333,1,1,1.000,2,6,8,3,2,0,4,4,19,14.8,-4,7.0,6.0,0.8571428571428571,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
54,53,40,2023-02-03,29-141,SAS,,PHI,L (-12),1,25.8,4.0,9.0,.444,2.0,4.0,.500,0,0,,0,1,1,7,2,0,1,2,10,10.7,+2,5.0,2.0,0.4,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
55,54,41,2023-02-06,29-144,SAS,@,CHI,L (-24),1,31.216666666666665,5.0,14.0,.357,1.0,4.0,.250,0,0,,0,0,0,3,4,0,2,3,11,6.1,-8,10.0,4.0,0.4,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
56,55,42,2023-02-08,29-146,SAS,@,TOR,L (-14),1,31.033333333333335,4.0,15.0,.267,2.0,8.0,.250,4,4,1.000,2,5,7,3,1,3,1,0,14,12.2,-12,7.0,2.0,0.2857142857142857,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
57,56,,2023-02-10,29-148,NOP,,CLE,L (-11),Inactive,0.0,,,Inactive,,,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,,,,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
58,57,43,2023-02-13,29-151,NOP,@,OKC,W (+3),0,34.11666666666667,4.0,8.0,.500,0.0,4.0,.000,2,2,1.000,0,2,2,3,5,2,0,3,10,13.9,+4,4.0,4.0,1.0,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
59,58,44,2023-02-15,29-153,NOP,@,LAL,L (-18),0,18.733333333333334,2.0,7.0,.286,1.0,3.0,.333,3,6,.500,0,3,3,2,2,1,2,4,8,4.1,-3,4.0,1.0,0.25,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
60,59,45,2023-02-23,29-161,NOP,@,TOR,L (-5),1,28.916666666666668,4.0,8.0,.500,2.0,6.0,.333,1,1,1.000,0,3,3,3,3,0,2,4,11,9.4,-4,2.0,2.0,1.0,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
61,60,46,2023-02-25,29-163,NOP,@,NYK,L (-22),1,33.71666666666667,6.0,13.0,.462,3.0,8.0,.375,1,1,1.000,1,1,2,4,4,0,1,3,16,14.9,-27,5.0,3.0,0.6,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
62,Rk,G,Date,Age,Tm,,Opp,,GS,0.0,,,FG%,,,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,,,,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
63,61,47,2023-02-27,29-165,NOP,,ORL,L (-8),1,26.933333333333334,3.0,4.0,.750,0.0,1.0,.000,2,2,1.000,0,2,2,2,2,0,1,5,8,7.4,-7,3.0,3.0,1.0,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
64,62,48,2023-03-01,29-167,NOP,@,POR,W (+11),1,20.0,2.0,2.0,1.000,1.0,1.0,1.000,0,0,,0,2,2,0,0,0,2,2,5,2.2,-16,1.0,1.0,1.0,0,7,19,20,6,39,16,29,36,37,0,0,29,37,29,24,21,38,32,4.0,37.0,35.0,38.0,28.0,64.0,31.0,42.0,72.0,56.0,9.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.1891891891891892,0.5428571428571428,0.5263157894736842,0.2142857142857142,0.609375,0.5161290322580645,0.6904761904761905,0.5,0.6607142857142857,0.0,0.0,0.4328358208955223,0.5873015873015873,0.4393939393939394,0.5581395348837209,0.7,0.5588235294117647,0.5079365079365079
