,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
0,1975-76,22.0,BOS,NBA,SG,22.0,,5.7,1.1,2.0,0.556,0.5,0.7,0.688,0.2,0.4,0.6,0.3,0.1,0.1,1.1,2.8
1,1976-77,23.0,IND,NBA,SG,27.0,,6.1,1.0,2.2,0.441,0.5,0.7,0.7,0.3,0.1,0.4,0.4,0.2,0.1,1.0,2.4
2,Career,,,NBA,,49.0,,5.9,1.0,2.1,0.49,0.5,0.7,0.6940000000000001,0.3,0.2,0.5,0.3,0.2,0.1,1.0,2.6
3,,,,,,,,,,,,,,,,,,,,,,
4,1 season,,IND,NBA,,27.0,,6.1,1.0,2.2,0.441,0.5,0.7,0.7,0.3,0.1,0.4,0.4,0.2,0.1,1.0,2.4
5,1 season,,BOS,NBA,,22.0,,5.7,1.1,2.0,0.556,0.5,0.7,0.688,0.2,0.4,0.6,0.3,0.1,0.1,1.1,2.8
