Player,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p1,p12,p13,p14
Kareem Abdul-Jabbar,Kareem Abdul-Jabbar Ñ”? Twitter: kaj33,(Formerly known as Ferdinand Lewis Alcindor Jr.),"(Lew, Cap, Murdock, Big Fella, The Tower of Power)",Position: Center Ñ”? Shoots: Right,"7-2, 225lb (218cm, 102kg)","Born: April 16, 1947 (Age: 76-185d) in New York, New York us",College: UCLA,"High School: Power Memorial in New York, New York","Draft: Milwaukee Bucks, 1st round (1st pick, 1st overall), 1969 NBA Draft","NBA Debut: October 18, 1969",Hall of Fame: Inducted as Player in 1995 (Full List),Career Length: 20 years,,
Mahmoud Abdul-Rauf,(Formerly known as Chris Wayne Jackson),Position: Point Guard Ñ”? Shoots: Right,"6-1, 162lb (185cm, 73kg)","Born: March 9, 1969 (Age: 54-223d) in Gulfport, Mississippi us",College: LSU,"High School: Gulfport in Gulfport, Mississippi","Draft: Denver Nuggets, 1st round (3rd pick, 3rd overall), 1990 NBA Draft","NBA Debut: November 10, 1990",Career Length: 9 years,,,,Mahmoud Abdul-Rauf,
Tariq Abdul-Wahad,(Formerly known as Olivier Michael Saint-Jean),Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 223lb (198cm, 101kg)","Born: November 3, 1974 (Age: 48-349d) in Maisons Alfort, France fr","Colleges: Michigan, San Jose State","High School: Lycee Aristide Briand in Evreux, France","Draft: Sacramento Kings, 1st round (11th pick, 11th overall), 1997 NBA Draft","NBA Debut: November 11, 1997",Career Length: 6 years,,,,Tariq Abdul-Wahad,
Shareef Abdur-Rahim,Julius Shareef Abdur-Rahim Ñ”? Twitter: ShareefAbdur_R,(Reef),"Position: Power Forward, Small Forward, and Center Ñ”? Shoots: Right","6-9, 225lb (206cm, 102kg)","Born: December 11, 1976 (Age: 46-311d) in Marietta, Georgia us",College: California,"High School: Wheeler in Marietta, Georgia","Draft: Vancouver Grizzlies, 1st round (3rd pick, 3rd overall), 1996 NBA Draft","NBA Debut: November 1, 1996",Career Length: 12 years,,,,
Tom Abernethy,Position: Small Forward and Power Forward Ñ”? Shoots: Right,"6-7, 220lb (201cm, 99kg)","Born: May 6, 1954 (Age: 69-165d) in South Bend, Indiana us",College: Indiana,"High School: Saint Joseph in South Bend, Indiana","Draft: Los Angeles Lakers, 3rd round (9th pick, 43rd overall), 1976 NBA Draft","NBA Debut: November 19, 1976",Career Length: 5 years,,,,,Thomas Craig Abernethy,
Forest Able,(Frosty),Position: Guard Ñ”? Shoots: Right,"6-3, 180lb (190cm, 81kg)","Born: July 27, 1932 (Age: 91-083d)",College: Western Kentucky,"High School: Fairdale in Louisville, Kentucky","Draft: Syracuse Nationals, 3rd round (5th pick, 21st overall), 1956 NBA Draft","NBA Debut: October 28, 1956",Career Length: 1 year,,,,Forest Edward Able,
John Abramovic,(Brooms),Position: Forward Ñ”? Shoots: Right,"6-3, 195lb (190cm, 88kg)","Born: February 9, 1919 in Etna, Pennsylvania us","Died: June 9, 2000 (Aged 81-121d)",College: Salem University,"High School: Etna in Etna, Pennsylvania","NBA Debut: November 2, 1946",Career Length: 2 years,,,,John Abramovic Jr.,
?°ex Abrines,Alejandro Abrines Ñ”? Twitter: alexabrines Ñ”? Instagram: alexabrines,(Full name Alejandro Abrines Redondo),Position: Shooting Guard Ñ”? Shoots: Right,"6-6, 200lb (198cm, 90kg)","Born: August 1, 1993 (Age: 30-078d) in Palma de Mallorca, Spain es","Draft: Oklahoma City Thunder, 2nd round (2nd pick, 32nd overall), 2013 NBA Draft","NBA Debut: October 26, 2016",Career Length: 3 years,,,,,,
Precious Achiuwa,Precious Ezinna Achiuwa Ñ”? Twitter: PreciousAchiuwa Ñ”? Instagram: Precious,Position: Center and Power Forward Ñ”? Shoots: Right,"6-8, 225lb (203cm, 102kg)","Born: September 19, 1999 (Age: 24-029d) in Port Harcourt, Nigeria ng",College: Memphis,"High Schools: Our Savior Lutheran in Bronx, New York, St. Benedict's Prep in Newark, New Jersey, Montverde Academy in Montverde, Florida",Recruiting Rank: 2019 (14),"Draft: Miami Heat, 1st round (20th pick, 20th overall), 2020 NBA Draft","NBA Debut: December 23, 2020",Experience: 3 years,,,,
Alex Acker,Position: Shooting Guard Ñ”? Shoots: Right,"6-5, 185lb (196cm, 83kg)","Born: January 21, 1983 (Age: 40-270d) in Compton, California us",College: Pepperdine,"High School: Eisenhower in Rialto, California","Draft: Detroit Pistons, 2nd round (30th pick, 60th overall), 2005 NBA Draft","NBA Debut: February 21, 2006",Career Length: 2 years,,,,,Alex Acker,
